lon	lat	name	concello	origen
-8.172870217067269	43.53362624920575	Castro de Sequeiro/Castro de Narón	Narón	holdout_68
-8.220621570398505	43.54366705275839	Castro de Trasancos	Narón	holdout_68
-8.158893830961198	43.53438144117154	Castro de Vicás	Narón	holdout_68
-8.14047244366622	43.52154202964775	Castro de Ancos	Neda	holdout_68
-8.119504115401668	43.484762875184245	Castro de Viladonelle	Neda	holdout_68
-8.149740461365019	43.50786201500216	Castros	Neda	holdout_68
-8.055496892379018	43.543599965426836	Castro de Riboira	San Sadurniño	holdout_68
-8.079881377191462	43.537082151009194	Castro de Rupiallo	San Sadurniño	holdout_68
-8.032826260167933	43.577979015085575	Coto da Croa	San Sadurniño	holdout_68
-8.081000277632068	43.48946910625164	A Croa	San Sadurniño	holdout_68
-8.073395247811263	43.580510855618954	A Croa do Castro	San Sadurniño	holdout_68
-8.034265949049319	43.54670389888377	A Croa do Redo	San Sadurniño	holdout_68
-8.06556223656323	43.54359118222014	Castro Das Croas	San Sadurniño	holdout_68
-8.075233266384542	43.58367794747816	Castro de Castrelo	San Sadurniño	holdout_68
-8.042097773882631	43.54078893976058	Castro de croas de Ramil	San Sadurniño	holdout_68
-8.196140240247656	43.57563888498038	O Castrillón	Valdoviño	holdout_68
-8.17116511354815	43.59217497513028	O Castro	Valdoviño	holdout_68
-8.093620081527554	43.639579102678184	Os Castros	Valdoviño	holdout_68
-8.187677498290292	43.59215509043921	Zona arqueolóxica da Igrexa e Castro de Santo Tomás de Taraza	Valdoviño	holdout_68
-8.066000016189715	43.62601595138847	Castro	Valdoviño	holdout_68
-8.147683735016127	43.62230830936563	Castro da Punta do Vico	Valdoviño	holdout_68
-8.133215420002537	43.58414054293756	Castro de Aviño	Valdoviño	holdout_68
-8.175190518498438	43.55739167363033	Castro de Carreira de Abaixo	Valdoviño	holdout_68
-8.09873394334149	43.6341480312583	Castro de Casianes	Valdoviño	holdout_68
-8.110405528230721	43.64384397902806	Castro de Coto Redondo	Valdoviño	holdout_68
-8.093326577375208	43.59606386925918	Castro de Crecente	Valdoviño	holdout_68
-8.119373302895987	43.63140985564435	Castro de Lagoa	Valdoviño	holdout_68
-8.170071095103031	43.57590727862178	Castro de Lodeiro	Valdoviño	holdout_68
-8.08926923552419	43.61891345626826	Castro de Lousada	Valdoviño	holdout_68
-8.142725393719834	43.603889598179116	Castro de Poulo	Valdoviño	holdout_68
-8.148872875517807	43.618480398789906	Castro de Punta Frouxeira	Valdoviño	holdout_68
-8.198712287595123	43.60215405961929	Castro de Punta Taraza	Valdoviño	holdout_68
-8.04803489861526	43.597800467565406	Castro de Vidueiros	Valdoviño	holdout_68
-8.08589185535877	43.637237042304854	Castro de Vilarrube/Os Castros de Ferreirías	Valdoviño	holdout_68
-8.135936419804226	43.61914947103172	Castro e Mina do Pereiro	Valdoviño	holdout_68
-8.277895015787124	43.434758215182214	Castro de Punta de Santa Mariña	Ares	catalogo_no_visto
-8.181000342935837	43.426805424081635	Castro das Modias	Cabanas	catalogo_no_visto
-8.103115339917228	43.43498477014666	Castro de Cerdeiras	Cabanas	catalogo_no_visto
-8.101751809613516	43.426892020816595	Coto do Castro	Cabanas	catalogo_no_visto
-8.142942702224357	43.41834204375706	Castro do Chao	Pontedeume	catalogo_no_visto
-8.2246340900384	43.447247309092795	Castro de San Victorio	Mugardos	catalogo_no_visto
