bucket	relevance	year	cites	venue	title	doi	oa_url	source_api	query
arq-falsos	0.4	2026	0	The Visual Computer	Enhancing pulmonary nodule detection via triaxial projection aggregation and false positive reduction	10.1007/s00371-026-04533-8		crossref	archaeological lidar automated detection false positive modern features quarry reduction
arq-falsos	0.4	2026	0	International Journal of Artificial Intelligence, Data Science, and Machine Learning	Production Deployment of Computer-Aided Detection Systems in Mammography Screening: Throughput, False Positive Reduction, and Clinical Workflow Integration	10.63282/3050-9262.ijaidsml-v7i2p121		crossref	archaeological lidar automated detection false positive modern features quarry reduction
osm-negativos	0.4	2026	0	Remote Sensing	Self-Supervised Pre-Training Style Adaptation-Guided Remote Sensing Image Change Detection Network	10.3390/rs18152523		crossref	openstreetmap ancillary layers generate negative training samples remote sensing detection
neg-sinteticos	0.4	2026	0	Scientific Reports	Incorporation of seasonal land cover to develop seasonally integrated land cover map for change detection in Dhaka mega City	10.1038/s41598-025-17478-0		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
osm-negativos	0.4	2025	2	Remote Sensing	A Method for Auto Generating a Remote Sensing Building Detection Sample Dataset Based on OpenStreetMap and Bing Maps	10.3390/rs17142534		crossref	openstreetmap ancillary layers generate negative training samples remote sensing detection
neg-sinteticos	0.4	2025	13	Remote Sensing of Environment	Practical global sampling methods for estimating area and map accuracy of land cover and change	10.1016/j.rse.2025.114714		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
arq-falsos	0.4	2024	16	Expert Systems with Applications	Pulmonary nodule detection based on model fusion and adaptive false positive reduction	10.1016/j.eswa.2023.121890		crossref	archaeological lidar automated detection false positive modern features quarry reduction
arq-falsos	0.4	2024	9	Medical Physics	Robust explanation supervision for false positive reduction in pulmonary nodule detection	10.1002/mp.16937		crossref	archaeological lidar automated detection false positive modern features quarry reduction
osm-negativos	0.4	2024	8	Remote Sensing	Improved Architecture and Training Strategies of YOLOv7 for Remote Sensing Image Object Detection	10.3390/rs16173321		crossref	openstreetmap ancillary layers generate negative training samples remote sensing detection
neg-sinteticos	0.4	2024	3	Land	Feature-Differencing-Based Self-Supervised Pre-Training for Land-Use/Land-Cover Change Detection in High-Resolution Remote Sensing Images	10.3390/land13070927		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
arq-falsos	0.4	2023	6	Biomedical Signal Processing and Control	Quantum-Involution inspire false positive reduction in pulmonary nodule detection	10.1016/j.bspc.2023.104850		crossref	archaeological lidar automated detection false positive modern features quarry reduction
osm-negativos	0.4	2023	4	Remote Sensing	Novel Land Cover Change Detection Deep Learning Framework with Very Small Initial Samples Using Heterogeneous Remote Sensing Images	10.3390/rs15184609		crossref	openstreetmap ancillary layers generate negative training samples remote sensing detection
osm-negativos	0.4	2023	2	Remote Sensing	Novel Grid Collection and Management Model of Remote Sensing Change Detection Samples	10.3390/rs15235528		crossref	openstreetmap ancillary layers generate negative training samples remote sensing detection
osm-negativos	0.4	2023	3	Remote Sensing Letters	Barlow twin self-supervised pre-training for remote sensing change detection	10.1080/2150704x.2023.2264493		crossref	openstreetmap ancillary layers generate negative training samples remote sensing detection
neg-sinteticos	0.4	2023	9	Remote Sensing	Map of Land Cover Agreement: Ensambling Existing Datasets for Large-Scale Training Data Provision	10.3390/rs15153774		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
arq-falsos	0.4	2022	10	Land	Potential of Multitemporal Lidar for the Detection of Subtle Archaeological Features under Perennial Dense Forest	10.3390/land11111964		crossref	archaeological lidar automated detection false positive modern features quarry reduction
arq-falsos	0.4	2022	23	Expert Systems with Applications	A novel multi-scale CNNs for false positive reduction in pulmonary nodule detection	10.1016/j.eswa.2022.117652		crossref	archaeological lidar automated detection false positive modern features quarry reduction
arq-falsos	0.4	2022	11	Diagnostics	Evaluation of Computer-Aided Detection (CAD) in Screening Automated Breast Ultrasound Based on Characteristics of CAD Marks and False-Positive Marks	10.3390/diagnostics12030583		crossref	archaeological lidar automated detection false positive modern features quarry reduction
osm-negativos	0.4	2022	22	IEEE Geoscience and Remote Sensing Letters	FALSE: False Negative Samples Aware Contrastive Learning for Semantic Segmentation of High-Resolution Remote Sensing Image	10.1109/lgrs.2022.3222836		crossref	openstreetmap ancillary layers generate negative training samples remote sensing detection
osm-negativos	0.4	2022	5	IEEE Geoscience and Remote Sensing Letters	Training Samples Enriching Approach for Classification Improvement of VHR Remote Sensing Image	10.1109/lgrs.2021.3067927		crossref	openstreetmap ancillary layers generate negative training samples remote sensing detection
arq-falsos	0.4	2021	27	Artificial Intelligence in Medicine	Multiscale CNN with compound fusions for false positive reduction in lung nodule detection	10.1016/j.artmed.2021.102017		crossref	archaeological lidar automated detection false positive modern features quarry reduction
arq-falsos	0.4	2021	2	Computers, Materials &amp; Continua	An Efficient False-Positive Reduction System for Cerebral Microbleeds Detection	10.32604/cmc.2021.013966		crossref	archaeological lidar automated detection false positive modern features quarry reduction
arq-falsos	0.4	2020	19	Neural Computing and Applications	Deep autoencoder for false positive reduction in handgun detection	10.1007/s00521-020-05365-w		crossref	archaeological lidar automated detection false positive modern features quarry reduction
neg-sinteticos	0.4	2020	20	Geosciences	Automated Land Cover Change Detection and Forest Succession Monitoring Using LiDAR Point Clouds and GIS Analyses	10.3390/geosciences10080321		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
neg-sinteticos	0.4	2020	306	ISPRS Journal of Photogrammetry and Remote Sensing	Improved land cover map of Iran using Sentinel imagery within Google Earth Engine and a novel automatic workflow for land cover classification using migrated training samples	10.1016/j.isprsjprs.2020.07.013		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
arq-falsos	0.4	2019	68	Journal of Computer Applications in Archaeology	Learning to Look at LiDAR: The Use of R-CNN in the Automated Detection of Archaeological Objects in LiDAR Data from the Netherlands	10.5334/jcaa.32		crossref	archaeological lidar automated detection false positive modern features quarry reduction
arq-falsos	0.4	2019	15	PeerJ	Lymph node detection in MR Lymphography: false positive reduction using multi-view convolutional neural networks	10.7717/peerj.8052		crossref	archaeological lidar automated detection false positive modern features quarry reduction
arq-falsos	0.4	2019	25	Electronics	False Positive Decremented Research for Fire and Smoke Detection in Surveillance Camera using Spatial and Temporal Features Based on Deep Learning	10.3390/electronics8101167		crossref	archaeological lidar automated detection false positive modern features quarry reduction
arq-falsos	0.4	2019	78	Neural Networks	Multi-scale gradual integration CNN for false positive reduction in pulmonary nodule detection	10.1016/j.neunet.2019.03.003		crossref	archaeological lidar automated detection false positive modern features quarry reduction
neg-sinteticos	0.4	2019	43	Remote Sensing	Photon-Counting Lidar: An Adaptive Signal Detection Method for Different Land Cover Types in Coastal Areas	10.3390/rs11040471		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
neg-sinteticos	0.4	2019	18	International Journal of Applied Earth Observation and Geoinformation	Comparing map-based and library-based training approaches for urban land-cover fraction mapping from Sentinel-2 imagery	10.1016/j.jag.2019.02.003		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
arq-falsos	0.4	2018	67	IEEE Access	False-Positive Reduction on Lung Nodules Detection in Chest Radiographs by Ensemble of Convolutional Neural Networks	10.1109/access.2018.2817023		crossref	archaeological lidar automated detection false positive modern features quarry reduction
arq-falsos	0.4	2018	108	Medical Physics	A deep 3D residual<scp>CNN</scp>for false‐positive reduction in pulmonary nodule detection	10.1002/mp.12846		crossref	archaeological lidar automated detection false positive modern features quarry reduction
arq-transfer	0.375	2026	1	Journal of Healthcare Leadership	Translation, Cultural Adaptation and Validation: Exploring the Transferability of a Health Management Competency Model to the Norwegian Healthcare	10.2147/jhl.s572228		crossref	transferability archaeological detection model between regions landscapes validation
arq-transfer	0.375	2025	4	PLOS One	AI-ming backwards: Vanishing archaeological landscapes in Mesopotamia and automatic detection of sites on CORONA imagery	10.1371/journal.pone.0330419		crossref	transferability archaeological detection model between regions landscapes validation
arq-transfer	0.375	2025	1	Transportation Research Procedia	A Model Typology Approach for Improving Spatial Transferability of Freight Demand Estimates: Case Study of Geographically Dissimilar Regions in India	10.1016/j.trpro.2025.06.049		crossref	transferability archaeological detection model between regions landscapes validation
arq-transfer	0.375	2023	3	Ecological Modelling	Transferability of tsetse habitat models between different regions in Kenya and Rwanda	10.1016/j.ecolmodel.2023.110548		crossref	transferability archaeological detection model between regions landscapes validation
arq-transfer	0.375	2022	0	Sustainability	Predicting Freshwater Microbial Pollution Using a Spatial Model: Transferability between Catchments	10.3390/su142013583		crossref	transferability archaeological detection model between regions landscapes validation
arq-transfer	0.375	2021	0	International Journal of Integrated Care	Validation of the Transferability model for digital solutions supporting Integrated Care	10.5334/ijic.icic20475		crossref	transferability archaeological detection model between regions landscapes validation
arq-transfer	0.375	2021	9	Journal of Electronic Testing	Model Transferability from ImageNet to Lithography Hotspot Detection	10.1007/s10836-021-05925-5		crossref	transferability archaeological detection model between regions landscapes validation
arq-transfer	0.375	2020	13	International Journal of Fatigue	Fatigue crack growth in railway axle specimens – Transferability and model validation	10.1016/j.ijfatigue.2019.105421		crossref	transferability archaeological detection model between regions landscapes validation
arq-transfer	0.375	2020	8	Forest Ecosystems	Trade-offs between wood production and forest grouse habitats in two regions with distinctive landscapes	10.1186/s40663-020-00227-2		crossref	transferability archaeological detection model between regions landscapes validation
arq-mineria	0.364	2026	0	Discover Oncology	Development and validation of a robust cuproptosis related signature for primary glioma via machine learning aided by loop training and validation	10.1007/s12672-026-04458-7		crossref	archaeology deep learning iterative training expert validation loop hillfort barrow mound
arq-mineria	0.364	2026	0	Journal of Dentistry	Expert validation improve deep learning-based segmentation in periapical radiographs	10.1016/j.jdent.2026.106382		crossref	archaeology deep learning iterative training expert validation loop hillfort barrow mound
desequilibrio	0.364	2026	0	Machine Learning and Knowledge Extraction	Class-Conditional Conformal Prediction for Reliable Anomaly Detection Under Extreme Class Imbalance	10.3390/make8070190		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2026	0	Sensors	HRL-Det: Hierarchical Reinforcement Learning for Sequential Object Detection in Aerial Imagery	10.3390/s26134232		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2026	6	Symmetry	MFE-DETR: Multimodal Feature-Enhanced Detection Transformer for RGB–Infrared Object Detection in Aerial Imagery	10.3390/sym18030417		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2026	0	IEEE Access	A Wavelet-Attention Lightweight Detector for Small-Object Detection in Aerial Imagery	10.1109/access.2026.3696979		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2026	0	IEEE Access	Rare-Beat Detection in Heterogeneous ECG: Federated Learning Under Severe Class Imbalance and Class-Missing Clients	10.1109/access.2026.3715579		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2026	0	Sensors	Research on a CEF-YOLOv8n-Based Method for Small Object Detection in UAV Aerial Imagery	10.3390/s26154818		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2026	1	Electronics	BFRI-YOLO: Harmonizing Multi-Scale Features for Precise Small Object Detection in Aerial Imagery	10.3390/electronics15020297		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2026	0	Scientific Reports	FDA_YOLOv8: refined small object detection in unmanned aerial vehicle imagery	10.1038/s41598-026-51902-3		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2026	0	Applied System Innovation	Quality 4.0 Framework for Detecting Post-Quality-Gate Rare Failures in Automotive Manufacturing Under Extreme Class Imbalance	10.3390/asi9070132		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2026	0	Remote Sensing	Semantic Consistency and Uncertainty-Driven Small-Object Detection for Class Imbalance	10.3390/rs18132208		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2025	0	International Journal of Computer Applications Technology and Research	YOLOv9 Algorithm Improvement for Small Object Detection in UAV Aerial Imagery	10.7753/ijcatr1404.1011		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2025	6	Applied Sciences	DGBL-YOLOv8s: An Enhanced Object Detection Model for Unmanned Aerial Vehicle Imagery	10.3390/app15052789		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2025	19	Sensors	YOLO-MARS: An Enhanced YOLOv8n for Small Object Detection in UAV Aerial Imagery	10.3390/s25082534		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2025	2	Animals	An Efficient Algorithm for Small Livestock Object Detection in Unmanned Aerial Vehicle Imagery	10.3390/ani15121794		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2025	0	International Journal of Advanced Computer Science and Applications	Parameter-Free Negative Extreme Anomalous Undersampling Techniques on Class Imbalance Problems	10.14569/ijacsa.2025.0160887		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2025	5	Electronics	GLDS-YOLO: An Improved Lightweight Model for Small Object Detection in UAV Aerial Imagery	10.3390/electronics14193831		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2025	0	Drones	Towards Efficient Object Detection in Large-Scale UAV Aerial Imagery via Multi-Task Classification	10.3390/drones9010029		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2025	1	Scientific Reports	Enhanced small object detection in UAV aerial imagery through attention gated backbone and context aware fusion	10.1038/s41598-025-32074-y		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
arq-mineria	0.364	2024	0	Scalable Computing: Practice and Experience	Application of Closed-loop Theory in Deep Learning Training Guided by High-strength Intelligent Machinery	10.12694/scpe.v25i3.2709		crossref	archaeology deep learning iterative training expert validation loop hillfort barrow mound
desequilibrio	0.364	2024	99	Sensors	SOD-YOLOv8—Enhancing YOLOv8 for Small Object Detection in Aerial Imagery and Traffic Scenes	10.3390/s24196209		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2024	3	Electronics	MBSDet: A Novel Method for Marine Object Detection in Aerial Imagery with Complex Background Suppression	10.3390/electronics13234764		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2023	42	Sensors	Lightweight Object Detection Algorithm for UAV Aerial Imagery	10.3390/s23135786		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2023	7	Sensors	YOLOv4 with Deformable-Embedding-Transformer Feature Extractor for Exact Object Detection in Aerial Imagery	10.3390/s23052522		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2023	12	Sensors	SenseLite: A YOLO-Based Lightweight Model for Small Object Detection in Aerial Imagery	10.3390/s23198118		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
desequilibrio	0.364	2023	40	Drones	Efficient YOLOv7-Drone: An Enhanced Object Detection Approach for Drone Aerial Imagery	10.3390/drones7100616		crossref	extreme class imbalance rare object detection aerial imagery negative sampling strategy
arq-mineria	0.364	2021	28	MethodsX	Machine learning performance validation and training using a ‘perfect’ expert system	10.1016/j.mex.2021.101477		crossref	archaeology deep learning iterative training expert validation loop hillfort barrow mound
arq-mineria	0.364	2021	18	Journal of Marine Science and Engineering	Deep Learning for Deep Waters: An Expert-in-the-Loop Machine Learning Framework for Marine Sciences	10.3390/jmse9020169		crossref	archaeology deep learning iterative training expert validation loop hillfort barrow mound
paisaje-moderno	0.333	2025	2	Remote Sensing	Advances of Remote Sensing in Land Cover and Land Use Mapping	10.3390/rs17121980		crossref	modern land use interference archaeological remote sensing survey masking anthropogenic
paisaje-moderno	0.333	2025	10	Remote Sensing	Hierarchical Transfer Learning with Transformers to Improve Semantic Segmentation in Remote Sensing Land Use	10.3390/rs17020290		crossref	modern land use interference archaeological remote sensing survey masking anthropogenic
paisaje-moderno	0.333	2025	4	Remote Sensing	Adapting Cross-Sensor High-Resolution Remote Sensing Imagery for Land Use Classification	10.3390/rs17050927		crossref	modern land use interference archaeological remote sensing survey masking anthropogenic
arq-multimodal	0.333	2024	6	Archaeological Prospection	Towards better differentiation of archaeological objects based on geomorphometric features of a digital elevation model, the case of the Old Oder Canal	10.1002/arp.1927		crossref	archaeological prospection combining digital terrain model and aerial orthophotography CNN
paisaje-moderno	0.333	2024	30	Remote Sensing	Spatiotemporal Analysis of Land Surface Temperature in Response to Land Use and Land Cover Changes: A Remote Sensing Approach	10.3390/rs16071286		crossref	modern land use interference archaeological remote sensing survey masking anthropogenic
paisaje-moderno	0.333	2024	3	Remote Sensing	Use of Remote Sensing and Biogeochemical Modeling to Simulate the Impact of Climatic and Anthropogenic Factors on Forest Carbon Fluxes	10.3390/rs16020232		crossref	modern land use interference archaeological remote sensing survey masking anthropogenic
paisaje-moderno	0.333	2019	0	Remote Sensing	Correction: Z. Liu and Y. Liu. Does Anthropogenic Land Use Change Play a Role in Changes of Precipitation Frequency and Intensity over the Loess Plateau of China? Remote Sens. 2018, 10, 1818	10.3390/rs11131603		crossref	modern land use interference archaeological remote sensing survey masking anthropogenic
paisaje-moderno	0.333	2019	4	Remote Sensing	Editorial of Special Issue “Remote Sensing for Land Cover/Land Use Mapping at Local and Regional Scales”	10.3390/rs11192202		crossref	modern land use interference archaeological remote sensing survey masking anthropogenic
paisaje-moderno	0.333	2019	71	Remote Sensing	Urban Land Use and Land Cover Classification Using Multisource Remote Sensing Images and Social Media Data	10.3390/rs11222719		crossref	modern land use interference archaeological remote sensing survey masking anthropogenic
paisaje-moderno	0.333	2018	22	Remote Sensing	Fully Connected Conditional Random Fields for High-Resolution Remote Sensing Land Use/Land Cover Classification with Convolutional Neural Networks	10.3390/rs10121889		crossref	modern land use interference archaeological remote sensing survey masking anthropogenic
paisaje-moderno	0.333	2018	29	Remote Sensing	Monitoring of Land Use/Land-Cover Changes in the Arid Transboundary Middle Rio Grande Basin Using Remote Sensing	10.3390/rs10122005		crossref	modern land use interference archaeological remote sensing survey masking anthropogenic
neg-sinteticos	0.3	2026	0	Advances in Archaeological Practice	Sampling Matters: What Simulation Modeling and Microrefuse Sampling Practice Reveal about Archaeological Sampling, Training, and Design	10.1017/aap.2025.10146		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
neg-sinteticos	0.3	2026	0	Global NEST Journal	GMVG: A ViT Embedded Graph-Mamba Network for HSI/LiDAR Land Cover Classification	10.30955/gnj.08129		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
neg-sinteticos	0.3	2026	0	IEEE Access	Label-Free Land-Cover Mapping From Airborne LiDAR via SAM Distillation With Convolutional LoRA Adapters	10.1109/access.2026.3689916		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
osm-negativos	0.3	2025	18	Remote Sensing of Environment	Integrating remote sensing with OpenStreetMap data for comprehensive scene understanding through multi-modal self-supervised learning	10.1016/j.rse.2024.114573		crossref	openstreetmap ancillary layers generate negative training samples remote sensing detection
neg-sinteticos	0.3	2025	1	Land	Interchangeability of Cross-Platform Orthophotographic and LiDAR Data in DeepLabV3+-Based Land Cover Classification Method	10.3390/land14020217		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
arq-falsos	0.3	2024	10	Archaeological Prospection	Bathymetric LiDAR and Semi‐Automated Feature Extraction Assist Underwater Archaeological Surveys	10.1002/arp.1939		crossref	archaeological lidar automated detection false positive modern features quarry reduction
neg-sinteticos	0.3	2024	9	Archaeological Prospection	Issues of Sampling and Representativeness in Large‐Scale LiDAR‐Derived Archaeological Surveys in Mediterranean Contexts	10.1002/arp.1951		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
neg-sinteticos	0.3	2024	0	Land	High-Resolution Land Use Land Cover Dataset for Meteorological Modelling—Part 2: ECOCLIMAP-SG-ML an Ensemble Land Cover Map	10.3390/land13111875		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
neg-sinteticos	0.3	2024	5	Remote Sensing	Identifying Plausible Labels from Noisy Training Data for a Land Use and Land Cover Classification Application in Amazônia Legal	10.3390/rs16122080		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
osm-negativos	0.3	2023	6	Remote Sensing	Remote Sensing and Deep Learning to Understand Noisy OpenStreetMap	10.3390/rs15184639		crossref	openstreetmap ancillary layers generate negative training samples remote sensing detection
osm-negativos	0.3	2023	72	IEEE Transactions on Geoscience and Remote Sensing	Local Information-Enhanced Graph-Transformer for Hyperspectral Image Change Detection With Limited Training Samples	10.1109/tgrs.2023.3269892		crossref	openstreetmap ancillary layers generate negative training samples remote sensing detection
osm-negativos	0.3	2023	13	ISPRS Open Journal of Photogrammetry and Remote Sensing	Towards global scale segmentation with OpenStreetMap and remote sensing	10.1016/j.ophoto.2023.100031		crossref	openstreetmap ancillary layers generate negative training samples remote sensing detection
osm-negativos	0.3	2023	6	IEEE Transactions on Geoscience and Remote Sensing	Classification With Unbalanced Samples by Self-Sampling and Semicorrelated Co-Training— An Application to Algal Bloom Detection	10.1109/tgrs.2023.3299312		crossref	openstreetmap ancillary layers generate negative training samples remote sensing detection
neg-sinteticos	0.3	2023	34	Land	Thematic Comparison between ESA WorldCover 2020 Land Cover Product and a National Land Use Land Cover Map	10.3390/land12020490		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
neg-sinteticos	0.3	2023	2	Journal of Computer Applications in Archaeology	Executable Map Paper (EMaP) for Archaeological LiDAR	10.5334/jcaa.106		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
neg-sinteticos	0.3	2023	0	International Journal of Research Publication and Reviews	Detection of the Change in Land cover and Land Surface Temperature of Dhaka District from 1989 to 2019	10.55248/gengpi.4.1223.123510		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
neg-sinteticos	0.3	2023	0	International Journal of Science and Research (IJSR)	Generation of Land use Land Cover Map and its Significance in Ground Water Dynamics: For Part of Hyderabad City	10.21275/sr23403230041		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
neg-sinteticos	0.3	2023	8	Frontiers in Ecology and Evolution	Which land cover product provides the most accurate land use land cover map of the Yellow River Basin?	10.3389/fevo.2023.1275054		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
neg-sinteticos	0.3	2023	0	International Journal of Science and Research (IJSR)	Change Detection of Land Use and Land Cover Over Ghataprabha River Basin	10.21275/sr23930164256		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
osm-negativos	0.3	2022	18	IEEE Transactions on Geoscience and Remote Sensing	MEDNet: Multiexpert Detection Network With Unsupervised Clustering of Training Samples	10.1109/tgrs.2021.3093556		crossref	openstreetmap ancillary layers generate negative training samples remote sensing detection
neg-sinteticos	0.3	2022	8	Archaeological Prospection	Field systems and later prehistoric land use: New insights into land use detectability and palaeodemography in the Netherlands through LiDAR, automatic detection and traditional field data	10.1002/arp.1891		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
neg-sinteticos	0.3	2022	2	South African Journal of Geomatics	The South African land cover change detection derived from 2013_2014 and 2017_2018 land cover products	10.4314/sajg.v8i2.4		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
neg-sinteticos	0.3	2021	27	Remote Sensing	From Land Cover Map to Land Use Map: A Combined Pixel-Based and Object-Based Approach Using Multi-Temporal Landsat Data, a Random Forest Classifier, and Decision Rules	10.3390/rs13091700		crossref	synthetic negative sampling from land cover map training archaeological detection lidar
