dataset	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	longitude	latitude	wms_source	wms_layer	dem_status	error
val	wl-tile-v1-13435	wl-neg-neg-pt-dgpc-112831	neg-pt-dgpc-112831	0	hard_negative	val	PT	Calçada da Belavista			-8.5849280501009	41.07015168542056	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13447	wl-neg-neg-pt-dgpc-112926	neg-pt-dgpc-112926	0	hard_negative	val	PT	Calçada de Novias			-8.61641896766503	41.09194972122268	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13422	wl-neg-neg-pt-dgpc-112689	neg-pt-dgpc-112689	0	hard_negative	val	PT	Canelas / Paranho			-8.596022019801612	41.066727249751146	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13439	wl-neg-neg-pt-dgpc-112854	neg-pt-dgpc-112854	0	hard_negative	val	PT	Capela de Crasto			-8.579966679787987	41.06005859476957	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13472	wl-neg-neg-pt-dgpc-112419	neg-pt-dgpc-112419	0	hard_negative	val	PT	Carvalhal 1			-8.593675682590462	41.7279665890531	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13473	wl-neg-neg-pt-dgpc-112420	neg-pt-dgpc-112420	0	hard_negative	val	PT	Carvalhal 2			-8.595198967273014	41.72759704794694	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13487	wl-neg-neg-pt-dgpc-107835	neg-pt-dgpc-107835	0	hard_negative	val	PT	Carvalhas Alvas 2			-7.631231186494405	41.46379996485325	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13417	wl-neg-neg-pt-dgpc-112657	neg-pt-dgpc-112657	0	hard_negative	val	PT	Castelo de Crestuma			-8.505044115441315	41.068550545290485	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13429	wl-neg-neg-pt-dgpc-112789	neg-pt-dgpc-112789	0	hard_negative	val	PT	Castelo de Gaia			-8.624432705392545	41.13959688907197	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13376	wl-neg-neg-pt-dgpc-107262	neg-pt-dgpc-107262	0	hard_negative	val	PT	Castelo de Guimarães			-8.290415363594562	41.448036366555655	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13488	wl-neg-neg-pt-dgpc-107849	neg-pt-dgpc-107849	0	hard_negative	val	PT	Castelo dos Mouros / Cidadelha de Jales			-7.557427891185221	41.46718797025837	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13466	wl-neg-neg-pt-dgpc-111980	neg-pt-dgpc-111980	0	hard_negative	val	PT	Chã da Mourisca			-8.537781691703318	41.824991315542604	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13470	wl-neg-neg-pt-dgpc-112398	neg-pt-dgpc-112398	0	hard_negative	val	PT	Costeira			-8.522475924395803	41.70731842881318	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13378	wl-neg-neg-pt-dgpc-107440	neg-pt-dgpc-107440	0	hard_negative	val	PT	Covas			-8.335294962542482	41.529891014664486	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13375	wl-neg-neg-pt-dgpc-106902	neg-pt-dgpc-106902	0	hard_negative	val	PT	Crasto			-8.354809769218763	41.42370064393128	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13382	wl-neg-neg-pt-dgpc-108119	neg-pt-dgpc-108119	0	hard_negative	val	PT	Cruzeiro			-8.25135853527677	41.50865166286569	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13454	wl-neg-neg-pt-dgpc-109895	neg-pt-dgpc-109895	0	hard_negative	val	PT	Curutelo			-8.605392309346145	41.65325637268409	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13416	wl-neg-neg-pt-dgpc-111371	neg-pt-dgpc-111371	0	hard_negative	val	PT	Ermida			-8.49217766642086	41.33277702213259	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13485	wl-neg-neg-pt-dgpc-110183	neg-pt-dgpc-110183	0	hard_negative	val	PT	Fragas da Cadeia			-7.242423133505653	41.73685509040637	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13372	wl-neg-neg-pt-dgpc-107819	neg-pt-dgpc-107819	0	hard_negative	val	PT	Golães			-8.185189702586863	41.46162942267676	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13388	wl-neg-neg-pt-dgpc-109114	neg-pt-dgpc-109114	0	hard_negative	val	PT	Gravuras das Bragadas			-8.03747071113323	41.61246778563611	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13386	wl-neg-neg-pt-dgpc-109021	neg-pt-dgpc-109021	0	hard_negative	val	PT	Gravuras de Parada			-8.046743417194067	41.604263829012986	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13448	wl-neg-neg-pt-dgpc-112943	neg-pt-dgpc-112943	0	hard_negative	val	PT	Gravuras rupestres do Cabedelo			-8.667331641027916	41.13732903124638	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13383	wl-neg-neg-pt-dgpc-114473	neg-pt-dgpc-114473	0	hard_negative	val	PT	Guimarães - Extensão do Museu Alberto Sampaio/ Palacete da Praça de São Tiago com a Rua Gravador Molarinho 16-34			-8.293505836573624	41.44301174326196	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13418	wl-neg-neg-pt-dgpc-112658	neg-pt-dgpc-112658	0	hard_negative	val	PT	Gulpilhares / Necrópole do Alto da Vela			-8.630917283916007	41.072567542741055	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13374	wl-neg-neg-pt-dgpc-106891	neg-pt-dgpc-106891	0	hard_negative	val	PT	Igreja de Infantas			-8.242206873761061	41.42320587888173	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13420	wl-neg-neg-pt-dgpc-112672	neg-pt-dgpc-112672	0	hard_negative	val	PT	Inscrição de Pedroso			-8.573604318499429	41.08179701589803	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13479	wl-neg-neg-pt-dgpc-104847	neg-pt-dgpc-104847	0	hard_negative	val	PT	Louredo/ Fornelos			-7.812096565431066	41.24972403628716	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13380	wl-neg-neg-pt-dgpc-107992	neg-pt-dgpc-107992	0	hard_negative	val	PT	Lápide das Taipas/ Ara de Trajano/Ara de Nerva/ Penedo da Moura			-8.344014494704846	41.487044924206224	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13459	wl-neg-neg-pt-dgpc-110175	neg-pt-dgpc-110175	0	hard_negative	val	PT	Mamoa 1 da Boalhosa			-8.471090379534143	41.737492727980246	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13443	wl-neg-neg-pt-dgpc-112900	neg-pt-dgpc-112900	0	hard_negative	val	PT	Mamoa 1 de Santa Lomédia			-8.463551992484142	41.04779590093835	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13460	wl-neg-neg-pt-dgpc-110176	neg-pt-dgpc-110176	0	hard_negative	val	PT	Mamoa 2 da Boalhosa			-8.471369364095379	41.737770565020334	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13437	wl-neg-neg-pt-dgpc-112845	neg-pt-dgpc-112845	0	hard_negative	val	PT	Mamoa 2 da Gestosa			-8.491741794355331	41.04394232141598	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13402	wl-neg-neg-pt-dgpc-109880	neg-pt-dgpc-109880	0	hard_negative	val	PT	Mamoa 2 da Lama dos Eidos			-8.15593382802984	41.65276836038539	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13395	wl-neg-neg-pt-dgpc-109420	neg-pt-dgpc-109420	0	hard_negative	val	PT	Mamoa 2 da Serra de S. Mamede			-8.22710165111301	41.630916297646046	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13407	wl-neg-neg-pt-dgpc-110049	neg-pt-dgpc-110049	0	hard_negative	val	PT	Mamoa 2 de Penedo Covo			-8.140460994342448	41.662530252760455	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13444	wl-neg-neg-pt-dgpc-112903	neg-pt-dgpc-112903	0	hard_negative	val	PT	Mamoa 2 de Santa Lomédia			-8.463627752900738	41.04807762933694	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13461	wl-neg-neg-pt-dgpc-110180	neg-pt-dgpc-110180	0	hard_negative	val	PT	Mamoa 3 da Boalhosa			-8.471088314103394	41.738047270630005	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13401	wl-neg-neg-pt-dgpc-109872	neg-pt-dgpc-109872	0	hard_negative	val	PT	Mamoa 3 da Lama dos Eidos			-8.157614460534125	41.652704980083314	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13445	wl-neg-neg-pt-dgpc-112911	neg-pt-dgpc-112911	0	hard_negative	val	PT	Mamoa 3 de Santa Lomédia			-8.46393684059633	41.04803774652774	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13458	wl-neg-neg-pt-dgpc-110172	neg-pt-dgpc-110172	0	hard_negative	val	PT	Mamoa 4 da Boalhosa			-8.471087514462264	41.73721428639596	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13403	wl-neg-neg-pt-dgpc-109891	neg-pt-dgpc-109891	0	hard_negative	val	PT	Mamoa 4 da Lama dos Eidos			-8.157146390652779	41.65300219718451	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13400	wl-neg-neg-pt-dgpc-109864	neg-pt-dgpc-109864	0	hard_negative	val	PT	Mamoa 5 da Lama dos Eidos			-8.158634678516107	41.652263581080696	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13405	wl-neg-neg-pt-dgpc-109940	neg-pt-dgpc-109940	0	hard_negative	val	PT	Mamoa 6 da Lama dos Eidos			-8.151901084079666	41.65553318400979	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13452	wl-neg-neg-pt-dgpc-109700	neg-pt-dgpc-109700	0	hard_negative	val	PT	Mamoa I de Fojo do Lobal			-8.564408553777408	41.70719508744525	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13432	wl-neg-neg-pt-dgpc-112822	neg-pt-dgpc-112822	0	hard_negative	val	PT	Mamoa da Gougeva			-8.478222259138372	41.02780590658548	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13425	wl-neg-neg-pt-dgpc-112726	neg-pt-dgpc-112726	0	hard_negative	val	PT	Mamoa da Madalena			-8.650817381426497	41.10994541801745	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13419	wl-neg-neg-pt-dgpc-112669	neg-pt-dgpc-112669	0	hard_negative	val	PT	Mamoa da Raposa/Mamoa de Pedroso			-8.57448768191663	41.078165453187076	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13457	wl-neg-neg-pt-dgpc-110120	neg-pt-dgpc-110120	0	hard_negative	val	PT	Mamoa das Regedoiras			-8.476151613894867	41.73042450064124	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13467	wl-neg-neg-pt-dgpc-111986	neg-pt-dgpc-111986	0	hard_negative	val	PT	Mamoa de Chã da Mourisca			-8.53826942174119	41.82527665253799	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13464	wl-neg-neg-pt-dgpc-111295	neg-pt-dgpc-111295	0	hard_negative	val	PT	Mamoa de Chã das Crivas			-8.536499436734658	41.8286250537756	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13394	wl-neg-neg-pt-dgpc-109388	neg-pt-dgpc-109388	0	hard_negative	val	PT	Mamoa de Mariolas			-8.027680640926464	41.686774102322445	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13442	wl-neg-neg-pt-dgpc-112893	neg-pt-dgpc-112893	0	hard_negative	val	PT	Mamoa de Matosinhos			-8.614009635970492	41.03588761880637	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13408	wl-neg-neg-pt-dgpc-110067	neg-pt-dgpc-110067	0	hard_negative	val	PT	Mamoa de Pena Cova			-8.097909769655976	41.66286747641014	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13450	wl-neg-neg-pt-dgpc-109351	neg-pt-dgpc-109351	0	hard_negative	val	PT	Mamoa de Sandiães			-8.560923602054817	41.6274106867011	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13465	wl-neg-neg-pt-dgpc-111297	neg-pt-dgpc-111297	0	hard_negative	val	PT	Mamoa de São Mamede			-8.504870159751599	41.81407215072259	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13434	wl-neg-neg-pt-dgpc-112827	neg-pt-dgpc-112827	0	hard_negative	val	PT	Mamoa do Alto da Cimalha			-8.51469205557104	41.057039360376805	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13436	wl-neg-neg-pt-dgpc-112842	neg-pt-dgpc-112842	0	hard_negative	val	PT	Mamoa do Alto da Serra			-8.590079297430488	41.08280142285979	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13396	wl-neg-neg-pt-dgpc-109447	neg-pt-dgpc-109447	0	hard_negative	val	PT	Mamoa do Alto da Serrinha			-8.080236710845186	41.63238397261415	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13449	wl-neg-neg-pt-dgpc-108616	neg-pt-dgpc-108616	0	hard_negative	val	PT	Mamoa do Monte das Lajes			-8.529997300569216	41.796677096179465	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13393	wl-neg-neg-pt-dgpc-109378	neg-pt-dgpc-109378	0	hard_negative	val	PT	Mamoa dos Moinhos			-8.076085510772812	41.686186795289714	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13390	wl-neg-neg-pt-dgpc-109229	neg-pt-dgpc-109229	0	hard_negative	val	PT	Miliário da Ponte do Arco			-7.9845196435547825	41.678668577967265	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13406	wl-neg-neg-pt-dgpc-110025	neg-pt-dgpc-110025	0	hard_negative	val	PT	Miliário de Zebral			-8.024901227487995	41.66084158858216	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13462	wl-neg-neg-pt-dgpc-110616	neg-pt-dgpc-110616	0	hard_negative	val	PT	Monte Maior 1			-8.6087150945135	41.66323598888538	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13409	wl-neg-neg-pt-dgpc-110079	neg-pt-dgpc-110079	0	hard_negative	val	PT	Monte das Carvalhas			-8.125776950278121	41.663421682971915	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13480	wl-neg-neg-pt-dgpc-107840	neg-pt-dgpc-107840	0	hard_negative	val	PT	Monte de Santa Comba			-7.332672907422369	41.465947900615234	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13377	wl-neg-neg-pt-dgpc-107319	neg-pt-dgpc-107319	0	hard_negative	val	PT	Monte de Santa Eulália			-8.321016855005102	41.452933365770136	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13440	wl-neg-neg-pt-dgpc-112873	neg-pt-dgpc-112873	0	hard_negative	val	PT	Necrópole da Serra de Negrelos			-8.590892104121632	41.07261520147575	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13384	wl-neg-neg-pt-dgpc-107677	neg-pt-dgpc-107677	0	hard_negative	val	PT	Necrópole de São Pedro			-8.092944067523836	41.57600871996898	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13392	wl-neg-neg-pt-dgpc-109370	neg-pt-dgpc-109370	0	hard_negative	val	PT	Outeiro da Coroa			-8.08846895808115	41.68587708012407	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13412	wl-neg-neg-pt-dgpc-106067	neg-pt-dgpc-106067	0	hard_negative	val	PT	Pala da Moura			-7.1895762919079065	41.19824506310881	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13404	wl-neg-neg-pt-dgpc-109932	neg-pt-dgpc-109932	0	hard_negative	val	PT	Pedra Escrita			-8.082391332075478	41.65505574982358	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13413	wl-neg-neg-pt-dgpc-106211	neg-pt-dgpc-106211	0	hard_negative	val	PT	Penas Curvas 1			-6.682407654534239	41.29508285334156	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13398	wl-neg-neg-pt-dgpc-109568	neg-pt-dgpc-109568	0	hard_negative	val	PT	Penedo Pegadinha			-8.098871820862954	41.63681165264383	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13455	wl-neg-neg-pt-dgpc-109904	neg-pt-dgpc-109904	0	hard_negative	val	PT	Penedo de granito insculturado conhecido por Pedra do Cavalinho			-8.605878481802563	41.78022948398549	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13414	wl-neg-neg-pt-dgpc-106953	neg-pt-dgpc-106953	0	hard_negative	val	PT	Pio			-6.472499289658512	41.37607037928329	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13438	wl-neg-neg-pt-dgpc-112851	neg-pt-dgpc-112851	0	hard_negative	val	PT	Ponte da Retorta			-8.496119140789384	41.020311126011954	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13385	wl-neg-neg-pt-dgpc-109010	neg-pt-dgpc-109010	0	hard_negative	val	PT	Ponte de Agra			-8.04843654787675	41.602923547129045	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13373	wl-neg-neg-pt-dgpc-111765	neg-pt-dgpc-111765	0	hard_negative	val	PT	Ponte de Bouças/Sangido			-8.19725947418364	41.4483354117919	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
val	wl-tile-v1-13410	wl-neg-neg-pt-dgpc-110101	neg-pt-dgpc-110101	0	hard_negative	val	PT	Ponte de Campos			-8.007870295620423	41.66403863160759	dgt_ortos2021_rgb	Ortos2021-RGB	unsupported_country	WCS MDT target currently supports Spain/EPSG:25830 only
