tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	feature_radius_m	relief_score	rank_desc	error	status
wl-tile-v1-03922	wl-neg-neg-es-pba-15470	neg-es-pba-15470	0	hard_negative	train	ES	A Medorra/Mámoa de Aldea de Abaixo 3	Ordes	Beán (Santa María)		megalithic_mound	120.0	-0.11661763	5055		ok
wl-tile-v1-03923	wl-neg-neg-es-pba-15471	neg-es-pba-15471	0	hard_negative	train	ES	A Medorra/Mámoa de Aldea de Abaixo 4	Ordes	Beán (Santa María)		megalithic_mound	120.0	-0.48601214	6828		ok
wl-tile-v1-05091	wl-neg-neg-es-pba-42396	neg-es-pba-42396	0	hard_negative	train	ES	A Medorriña/Medorra do Coto Redondo	Baralla	Pacios (Santa María)		megalithic_mound	120.0	-0.34293830	6159		ok
wl-tile-v1-05007	wl-neg-neg-es-pba-38985	neg-es-pba-38985	0	hard_negative	train	ES	A Mina	A Pobra do Brollón	Ferreiros (San Salvador)		mining_or_quarry	120.0	0.13117972	3886		ok
wl-tile-v1-07427	wl-neg-neg-es-pba-60601	neg-es-pba-60601	0	hard_negative	train	ES	A Mina dos Lameiros	Vilardevós	Vilar de Cervos (San Vicente)		mining_or_quarry	120.0	0.08853231	4082		ok
wl-tile-v1-06609	wl-neg-neg-es-pba-30140	neg-es-pba-30140	0	hard_negative	train	ES	A Modia	Xermade	Xermade (Santa María)		megalithic_mound	120.0	-0.04278472	4710		ok
wl-tile-v1-06482	wl-neg-neg-es-pba-43240	neg-es-pba-43240	0	hard_negative	train	ES	A Modia de Gocendre	Vilalba	Goiriz (Santiago)		megalithic_mound	120.0	-0.90126694	8116		ok
wl-tile-v1-06610	wl-neg-neg-es-pba-30141	neg-es-pba-30141	0	hard_negative	train	ES	A Modia/Medoña da Zaipa	Xermade	Xermade (Santa María)		megalithic_mound	120.0	-0.39405792	6416		ok
wl-tile-v1-05008	wl-neg-neg-es-pba-38986	neg-es-pba-38986	0	hard_negative	train	ES	A Modorra	A Pobra do Brollón	Eixón (San Xurxo)		megalithic_mound	120.0	0.59616236	2288		ok
wl-tile-v1-06046	wl-neg-neg-es-pba-37805	neg-es-pba-37805	0	hard_negative	train	ES	A Modorra Grande	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	120.0	-0.10928450	5019		ok
wl-tile-v1-06044	wl-neg-neg-es-pba-37803	neg-es-pba-37803	0	hard_negative	train	ES	A Modorra de Bacorelle	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	120.0	-0.44513295	6667		ok
wl-tile-v1-06316	wl-neg-neg-es-pba-42147	neg-es-pba-42147	0	hard_negative	train	ES	A Modorra do Cruceiro	Sarria	Santalla de Arxemil (Santalla)		megalithic_mound	120.0	-0.32040583	6045		ok
wl-tile-v1-06045	wl-neg-neg-es-pba-37804	neg-es-pba-37804	0	hard_negative	train	ES	A Modorra dos Chaos	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	120.0	-0.34830746	6187		ok
wl-tile-v1-07326	wl-neg-neg-es-pba-56894	neg-es-pba-56894	0	hard_negative	train	ES	A Muria/O Foio	Rubiá	O Barrio de Cascallá (Nosa Señora da Asunción)		mining_or_quarry	120.0	-0.23407535	5625		ok
wl-tile-v1-03540	wl-neg-neg-es-pba-10048	neg-es-pba-10048	0	hard_negative	train	ES	A Mámoa	Fisterra	Duio (San Vicenzo)		megalithic_mound	120.0	-1.01505214	8313		ok
wl-tile-v1-09448	wl-neg-neg-es-pba-74608	neg-es-pba-74608	0	hard_negative	train	ES	A Mámoa 2	Vila de Cruces	Ferreirós (San Xes)		megalithic_mound	120.0	-1.03485905	8347		ok
wl-tile-v1-06043	wl-neg-neg-es-pba-37802	neg-es-pba-37802	0	hard_negative	train	ES	A Mámoa 3	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	120.0	-0.44244531	6649		ok
wl-tile-v1-07113	wl-neg-neg-es-pba-51258	neg-es-pba-51258	0	hard_negative	train	ES	A Mámoa de Calvelo	Maceda	Zorelle (Santiago)		megalithic_mound	120.0	0.67037271	2083		ok
wl-tile-v1-03026	wl-neg-neg-es-pba-884	neg-es-pba-884	0	hard_negative	train	ES	A Mámoa de Costa da Vide	Aranga	Cambás (San Pedro)		megalithic_mound	120.0	0.14050309	3836		ok
wl-tile-v1-03027	wl-neg-neg-es-pba-885	neg-es-pba-885	0	hard_negative	train	ES	A Mámoa de Ferreiros	Aranga	Vilarraso (San Lourenzo)		megalithic_mound	120.0	-0.90359285	8121		ok
wl-tile-v1-03028	wl-neg-neg-es-pba-886	neg-es-pba-886	0	hard_negative	train	ES	A Mámoa de Vilarraso	Aranga	Vilarraso (San Lourenzo)		megalithic_mound	120.0	0.79022752	1782		ok
wl-tile-v1-03029	wl-neg-neg-es-pba-887	neg-es-pba-887	0	hard_negative	train	ES	A Mámoa do Marco de Buño	Aranga	Cambás (San Pedro)		megalithic_mound	120.0	-0.22963100	5607		ok
wl-tile-v1-03030	wl-neg-neg-es-pba-888	neg-es-pba-888	0	hard_negative	train	ES	A Mámoa do Monte dos Croios Brancos	Aranga	Aranga (San Paio)		megalithic_mound	120.0	-0.99505800	8278		ok
wl-tile-v1-03031	wl-neg-neg-es-pba-889	neg-es-pba-889	0	hard_negative	train	ES	A Mámoa do Pousadoiro	Aranga	Aranga (San Paio)		megalithic_mound	120.0	0.48224786	2601		ok
wl-tile-v1-03032	wl-neg-neg-es-pba-890	neg-es-pba-890	0	hard_negative	train	ES	A Mámoa/A Medoña	Aranga	Aranga (San Paio)		megalithic_mound	120.0	-0.69552755	7620		ok
wl-tile-v1-07327	wl-neg-neg-es-pba-56895	neg-es-pba-56895	0	hard_negative	train	ES	A Pala I	Rubiá	O Porto (San Cristovo)		mining_or_quarry	120.0	0.70753986	1985		ok
wl-tile-v1-07328	wl-neg-neg-es-pba-56896	neg-es-pba-56896	0	hard_negative	train	ES	A Pala I	Rubiá	O Porto (San Cristovo)		mining_or_quarry	120.0	-0.10459918	4996		ok
wl-tile-v1-07329	wl-neg-neg-es-pba-56897	neg-es-pba-56897	0	hard_negative	train	ES	A Pala I	Rubiá	O Porto (San Cristovo)		mining_or_quarry	120.0	-0.35317301	6205		ok
wl-tile-v1-07330	wl-neg-neg-es-pba-56923	neg-es-pba-56923	0	hard_negative	train	ES	A Pala I	Rubiá	O Porto (San Cristovo)		mining_or_quarry	120.0	-1.15395543	8464		ok
wl-tile-v1-07331	wl-neg-neg-es-pba-56924	neg-es-pba-56924	0	hard_negative	train	ES	A Pala II	Rubiá	O Porto (San Cristovo)		mining_or_quarry	120.0	0.53822902	2442		ok
wl-tile-v1-07332	wl-neg-neg-es-pba-56925	neg-es-pba-56925	0	hard_negative	train	ES	A Pala II	Rubiá	O Porto (San Cristovo)		mining_or_quarry	120.0	0.17480473	3700		ok
wl-tile-v1-07333	wl-neg-neg-es-pba-56926	neg-es-pba-56926	0	hard_negative	train	ES	A Pala II	Rubiá	O Porto (San Cristovo)		mining_or_quarry	120.0	-0.80905074	7946		ok
wl-tile-v1-06262	wl-neg-neg-es-pba-40686	neg-es-pba-40686	0	hard_negative	train	ES	A Pedra Chantada	Ribeira de Piquín	Navallos (San Pedro)		megalithic_mound	120.0	0.62851952	2196		ok
wl-tile-v1-05315	wl-neg-neg-es-pba-29114	neg-es-pba-29114	0	hard_negative	train	ES	A Torre do Braña/As Torres	Cospeito	Vilapene (Santa María)		historic_fortification	120.0	1.50212757	692		ok
wl-tile-v1-06611	wl-neg-neg-es-pba-30142	neg-es-pba-30142	0	hard_negative	train	ES	Abrigo Curaceiro 1	Xermade	Burgás (Santa Baia)		rock_art_surface	120.0	0.58852014	2313		ok
wl-tile-v1-05678	wl-neg-neg-es-pba-34130	neg-es-pba-34130	0	hard_negative	train	ES	Abrigo da Pena da Capela	Mondoñedo	Figueiras (San Martiño)		rock_art_surface	120.0	-0.68624506	7595		ok
wl-tile-v1-06483	wl-neg-neg-es-pba-43242	neg-es-pba-43242	0	hard_negative	train	ES	Abrigo de Dos Niñas	Vilalba	Santaballa (San Pedro)		rock_art_surface	120.0	1.88063700	421		ok
wl-tile-v1-06047	wl-neg-neg-es-pba-37807	neg-es-pba-37807	0	hard_negative	train	ES	Abrigo de Monte Agudo	Paradela	Santalla de Paradela (Santalla)		rock_art_surface	120.0	3.01304051	76		ok
wl-tile-v1-05679	wl-neg-neg-es-pba-34131	neg-es-pba-34131	0	hard_negative	train	ES	Abrigo de Monte Lourido	Mondoñedo	A Couboeira (Santa María Madanela)		rock_art_surface	120.0	0.72824317	1936		ok
wl-tile-v1-06317	wl-neg-neg-es-pba-42148	neg-es-pba-42148	0	hard_negative	train	ES	Abrigo de Pena Moura	Sarria	Barbadelo (Santiago)		rock_art_surface	120.0	1.32212259	886		ok
wl-tile-v1-09350	wl-neg-neg-es-pba-70706	neg-es-pba-70706	0	hard_negative	train	ES	Achado de Areeiro	Tomiño	Tebra (Santa María)		rock_art_surface	120.0	0.56844320	2354		ok
wl-tile-v1-05062	wl-neg-neg-es-pba-26911	neg-es-pba-26911	0	hard_negative	train	ES	Agro da Mámoa/Mámoa de Árbol	Antas de Ulla	Árbol (Santalla)		megalithic_mound	120.0	-0.82701112	7988		ok
wl-tile-v1-07433	wl-neg-neg-es-pba-65159	neg-es-pba-65159	0	hard_negative	train	ES	Aloque/Almarra/Bouziña de Moledo	A Guarda	Camposancos (Santa Isabel)		roman_built_context	120.0	-0.85076382	8035		ok
wl-tile-v1-06066	wl-neg-neg-es-pba-36986	neg-es-pba-36986	0	hard_negative	train	ES	Alto da Medorra	Pedrafita do Cebreiro	Zanfoga (San Martiño)		megalithic_mound	120.0	2.20983975	245		ok
wl-tile-v1-08724	wl-neg-neg-es-pba-68165	neg-es-pba-68165	0	hard_negative	train	ES	Anta do Meixueiro/Anta de Meixoeiro	Mos	Cela (San Pedro)		rock_art_surface	120.0	0.86129029	1612		ok
wl-tile-v1-09423	wl-neg-neg-es-pba-73288	neg-es-pba-73288	0	hard_negative	train	ES	Ara votiva de San Mamede de Martores	Valga	Valga (San Miguel)		roman_built_context	120.0	0.13792922	3849		ok
wl-tile-v1-07114	wl-neg-neg-es-pba-51261	neg-es-pba-51261	0	hard_negative	train	ES	As Cerdeiras	Maceda	Foncuberta (Santa María)		roman_built_context	120.0	-0.53947392	7071		ok
wl-tile-v1-07334	wl-neg-neg-es-pba-56959	neg-es-pba-56959	0	hard_negative	train	ES	As Cheices	Rubiá	Quereño (San Cristovo)		mining_or_quarry	120.0	1.55492878	645		ok
wl-tile-v1-07335	wl-neg-neg-es-pba-56960	neg-es-pba-56960	0	hard_negative	train	ES	As Cheices	Rubiá	Quereño (San Cristovo)		mining_or_quarry	120.0	-0.94309555	8183		ok
wl-tile-v1-07336	wl-neg-neg-es-pba-56961	neg-es-pba-56961	0	hard_negative	train	ES	As Cheices	Rubiá	Quereño (San Cristovo)		mining_or_quarry	120.0	0.86027497	1614		ok
wl-tile-v1-07337	wl-neg-neg-es-pba-56962	neg-es-pba-56962	0	hard_negative	train	ES	As Cheices	Rubiá	Quereño (San Cristovo)		mining_or_quarry	120.0	0.37496595	2942		ok
wl-tile-v1-07434	wl-neg-neg-es-pba-65197	neg-es-pba-65197	0	hard_negative	train	ES	As Covas	A Guarda	Salcidos (San Lourenzo)		roman_built_context	120.0	1.13512236	1147		ok
wl-tile-v1-05772	wl-neg-neg-es-pba-35096	neg-es-pba-35096	0	hard_negative	train	ES	As Covas de Castañedo	Navia de Suarna	Castañedo (Santiago)		rock_art_surface	120.0	1.33700051	862		ok
wl-tile-v1-08419	wl-neg-neg-es-pba-66262	neg-es-pba-66262	0	hard_negative	train	ES	As Laxes	Gondomar	Couso (San Cristovo)		rock_art_surface	120.0	-0.21127672	5505		ok
wl-tile-v1-07686	wl-neg-neg-es-pba-66074	neg-es-pba-66074	0	hard_negative	train	ES	As Mamuelas 1	Agolada	Ventosa (San Xulián)		megalithic_mound	120.0	-0.09367114	4946		ok
wl-tile-v1-07687	wl-neg-neg-es-pba-66075	neg-es-pba-66075	0	hard_negative	train	ES	As Mamuelas 2	Agolada	Ventosa (San Xulián)		megalithic_mound	120.0	-0.60284910	7332		ok
wl-tile-v1-07688	wl-neg-neg-es-pba-66076	neg-es-pba-66076	0	hard_negative	train	ES	As Mamuelas 3	Agolada	Ventosa (San Xulián)		megalithic_mound	120.0	-0.27560857	5836		ok
wl-tile-v1-07689	wl-neg-neg-es-pba-66077	neg-es-pba-66077	0	hard_negative	train	ES	As Mamuelas 4	Agolada	Ventosa (San Xulián)		megalithic_mound	120.0	0.02354151	4378		ok
wl-tile-v1-07690	wl-neg-neg-es-pba-66078	neg-es-pba-66078	0	hard_negative	train	ES	As Mamuelas 5	Agolada	Ventosa (San Xulián)		megalithic_mound	120.0	-0.27942994	5856		ok
wl-tile-v1-07691	wl-neg-neg-es-pba-66079	neg-es-pba-66079	0	hard_negative	train	ES	As Mamuelas 6	Agolada	Ventosa (San Xulián)		megalithic_mound	120.0	-0.32126345	6053		ok
wl-tile-v1-06191	wl-neg-neg-es-pba-38423	neg-es-pba-38423	0	hard_negative	train	ES	As Medorras	Portomarín	Caborrecelle (San Xulián)		megalithic_mound	120.0	0.30100151	3206		ok
wl-tile-v1-05762	wl-neg-neg-es-pba-35258	neg-es-pba-35258	0	hard_negative	train	ES	As Medorras/A Casa das Mouras/Medorra de Ligonde 1	Monterroso	Ligonde (Santiago)		megalithic_mound	120.0	0.21853430	3515		ok
wl-tile-v1-05763	wl-neg-neg-es-pba-35259	neg-es-pba-35259	0	hard_negative	train	ES	As Medorras/A Casa das Mouras/Medorra de Ligonde 2	Monterroso	Ligonde (Santiago)		megalithic_mound	120.0	-0.07394471	4862		ok
wl-tile-v1-05764	wl-neg-neg-es-pba-35260	neg-es-pba-35260	0	hard_negative	train	ES	As Medorras/A Casa das Mouras/Medorra de Ligonde 3	Monterroso	Ligonde (Santiago)		megalithic_mound	120.0	-0.19682932	5423		ok
wl-tile-v1-05765	wl-neg-neg-es-pba-35282	neg-es-pba-35282	0	hard_negative	train	ES	As Medorras/A Casa das Mouras/Medorra de Ligonde 4	Monterroso	Ligonde (Santiago)		megalithic_mound	120.0	-0.33605721	6128		ok
wl-tile-v1-03924	wl-neg-neg-es-pba-15509	neg-es-pba-15509	0	hard_negative	train	ES	As Medorras/Mámoa das Medorras de Santa Cruz	Ordes	Santa Cruz de Montaos (Santa Cruz)		megalithic_mound	120.0	-0.06813291	4836		ok
wl-tile-v1-06053	wl-neg-neg-es-pba-37845	neg-es-pba-37845	0	hard_negative	train	ES	As Modorras 1	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	120.0	-0.43697370	6610		ok
wl-tile-v1-06054	wl-neg-neg-es-pba-37846	neg-es-pba-37846	0	hard_negative	train	ES	As Modorras 2	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	120.0	0.15575158	3782		ok
wl-tile-v1-06055	wl-neg-neg-es-pba-37847	neg-es-pba-37847	0	hard_negative	train	ES	As Modorras 3	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	120.0	-0.26122826	5754		ok
wl-tile-v1-05995	wl-neg-neg-es-pba-37276	neg-es-pba-37276	0	hard_negative	train	ES	As Modorras 4	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	120.0	0.07965792	4122		ok
wl-tile-v1-05996	wl-neg-neg-es-pba-37277	neg-es-pba-37277	0	hard_negative	train	ES	As Modorriñas	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	120.0	-0.55429300	7136		ok
wl-tile-v1-07981	wl-neg-neg-es-pba-78752	neg-es-pba-78752	0	hard_negative	train	ES	As Mámoas	Cerdedo-Cotobade	Folgoso (Santa María)		megalithic_mound	120.0	0.18979477	3636		ok
wl-tile-v1-06503	wl-neg-neg-es-pba-43279	neg-es-pba-43279	0	hard_negative	train	ES	As Mámoas de Moscaran 1	Vilalba	Árbol (San Lourenzo)		megalithic_mound	120.0	-0.36719855	6274		ok
wl-tile-v1-06504	wl-neg-neg-es-pba-43280	neg-es-pba-43280	0	hard_negative	train	ES	As Mámoas de Vilate 1	Vilalba	Lanzós (San Martiño)		megalithic_mound	120.0	-0.74106600	7753		ok
wl-tile-v1-06621	wl-neg-neg-es-pba-30179	neg-es-pba-30179	0	hard_negative	train	ES	As Penas do Castelo	Xermade	Lousada (Santo André)		historic_fortification	120.0	0.96428401	1399		ok
wl-tile-v1-07338	wl-neg-neg-es-pba-56963	neg-es-pba-56963	0	hard_negative	train	ES	As Perdigueiras	Rubiá	Pardollán (Santo Estevo)		mining_or_quarry	120.0	1.18431934	1062		ok
wl-tile-v1-07692	wl-neg-neg-es-pba-66080	neg-es-pba-66080	0	hard_negative	train	ES	As Sete Mámoas	Agolada	Ferreiroa (San Pedro)		megalithic_mound	120.0	0.11202344	3983		ok
wl-tile-v1-06758	wl-neg-neg-es-pba-50577	neg-es-pba-50577	0	hard_negative	train	ES	Bouzas	A Gudiña	Pentes (San Mamede)		roman_built_context	120.0	-1.12808143	8440		ok
wl-tile-v1-05680	wl-neg-neg-es-pba-34211	neg-es-pba-34211	0	hard_negative	train	ES	Calzada romana de Lindín	Mondoñedo	Lindín (Santiago)		roman_built_context	120.0	-0.19904598	5438		ok
wl-tile-v1-07712	wl-neg-neg-es-pba-66114	neg-es-pba-66114	0	hard_negative	train	ES	Campo da Mámoa	Agolada	Brántega (San Lourenzo)		megalithic_mound	120.0	0.46932849	2635		ok
wl-tile-v1-08328	wl-neg-neg-es-pba-64483	neg-es-pba-64483	0	hard_negative	train	ES	Campo da Mámoa 1	Forcarei	Pardesoa (Santiago)		megalithic_mound	120.0	-0.21490722	5522		ok
wl-tile-v1-08329	wl-neg-neg-es-pba-64484	neg-es-pba-64484	0	hard_negative	train	ES	Campo da Mámoa 2	Forcarei	Pardesoa (Santiago)		megalithic_mound	120.0	-0.14369602	5187		ok
wl-tile-v1-08252	wl-neg-neg-es-pba-63991	neg-es-pba-63991	0	hard_negative	train	ES	Campo da Mámoa 3	Forcarei	Pardesoa (Santiago)		megalithic_mound	120.0	0.05635946	4242		ok
wl-tile-v1-04597	wl-neg-neg-es-pba-25211	neg-es-pba-25211	0	hard_negative	train	ES	Cancela Encrucillada/Mámoa de Fornelos	Tordoia	Andoio (San Mamede)		megalithic_mound	120.0	-0.11288641	5041		ok
wl-tile-v1-05942	wl-neg-neg-es-pba-41795	neg-es-pba-41795	0	hard_negative	train	ES	Capela e Necrópole de San Pedro de Cela	O Saviñao	Diomondi (San Paio)		necropolis_or_burial	120.0	-0.30856864	5998		ok
wl-tile-v1-06336	wl-neg-neg-es-pba-42279	neg-es-pba-42279	0	hard_negative	train	ES	Capela e necrópole de San Marcos	Sarria	Biville (San Miguel)		necropolis_or_burial	120.0	1.80822257	465		ok
wl-tile-v1-06289	wl-neg-neg-es-pba-41944	neg-es-pba-41944	0	hard_negative	train	ES	Casa Torre de Barrio	Sarria	Louseiro (San Martiño)		historic_fortification	120.0	-0.46752171	6754		ok
wl-tile-v1-06290	wl-neg-neg-es-pba-41945	neg-es-pba-41945	0	hard_negative	train	ES	Casa Torre de Outeiro	Sarria	Goián (San Miguel)		historic_fortification	120.0	-0.10039445	4982		ok
wl-tile-v1-05886	wl-neg-neg-es-pba-37167	neg-es-pba-37167	0	hard_negative	train	ES	Casa de Mámoa	O Páramo	A Torre (San Martiño)		megalithic_mound	120.0	-0.45740091	6713		ok
wl-tile-v1-06769	wl-neg-neg-es-pba-57591	neg-es-pba-57591	0	hard_negative	train	ES	Casa reitoral de Pedrafita	A Teixeira	Pedrafita (San Martiño)		megalithic_mound	120.0	-1.17143280	8474		ok
wl-tile-v1-06069	wl-neg-neg-es-pba-37086	neg-es-pba-37086	0	hard_negative	train	ES	Casas (2) de Pedrafita	Pedrafita do Cebreiro	Pedrafita do Cebreiro (Santo Antón)		megalithic_mound	120.0	-1.94163850	8625		ok
wl-tile-v1-05681	wl-neg-neg-es-pba-34394	neg-es-pba-34394	0	hard_negative	train	ES	Castelo	Mondoñedo	Figueiras (San Martiño)		historic_fortification	120.0	4.05860115	22		ok
wl-tile-v1-06580	wl-neg-neg-es-pba-43110	neg-es-pba-43110	0	hard_negative	train	ES	Castelo	Viveiro	Galdo (Santa María)		historic_fortification	120.0	2.55516826	153		ok
wl-tile-v1-06581	wl-neg-neg-es-pba-43142	neg-es-pba-43142	0	hard_negative	train	ES	Castelo	Viveiro	Faro (San Xiao)		historic_fortification	120.0	-0.36435537	6261		ok
wl-tile-v1-06582	wl-neg-neg-es-pba-43143	neg-es-pba-43143	0	hard_negative	train	ES	Castelo	Viveiro	Celeiro (Santiago)		historic_fortification	120.0	2.01202279	353		ok
wl-tile-v1-06740	wl-neg-neg-es-pba-32082	neg-es-pba-32082	0	hard_negative	train	ES	Castelo	Xove	Portocelo (San Tirso)		historic_fortification	120.0	0.27194860	3326		ok
wl-tile-v1-06741	wl-neg-neg-es-pba-32083	neg-es-pba-32083	0	hard_negative	train	ES	Castelo	Xove	Portocelo (San Tirso)		historic_fortification	120.0	2.06931371	316		ok
wl-tile-v1-05766	wl-neg-neg-es-pba-35341	neg-es-pba-35341	0	hard_negative	train	ES	Castelo Longo de Ambarría	Monterroso	San Breixo (San Salvador)		historic_fortification	120.0	-0.19676633	5421		ok
wl-tile-v1-06254	wl-neg-neg-es-pba-40334	neg-es-pba-40334	0	hard_negative	train	ES	Castelo Vello	Ribeira de Piquín	San Xurxo de Piquín (San Xurxo)		mining_or_quarry	120.0	-0.55210490	7124		ok
