tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	feature_radius_m	dem_path	status	error	dem_core_mean	dem_context_mean	dem_prominence_m	slope_annulus_mean	slope_context_mean	slope_ratio	lrm_abs_annulus_mean	lrm_abs_context_mean	lrm_abs_ratio	lrm_core_mean	lrm_context_mean	lrm_core_delta	hillshade_edge_annulus_mean	hillshade_edge_context_mean	hillshade_edge_ratio	ring_sector_coverage	ring_sector_balance
wl-tile-v1-02608	wl-neg-neg-es-pba-9939	neg-es-pba-9939	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 10	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02608-neg-es-pba-9939-mdt5.tif	ok		272.91534424	256.54827881	16.36706543	10.10016441	10.71282768	0.94281031	0.78289157	0.63316828	1.23646682	1.18657577	0.18461585	1.00195992	0.22943626	0.23912911	0.95946605	0.41666667	0.68453907
wl-tile-v1-02609	wl-neg-neg-es-pba-9940	neg-es-pba-9940	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 11	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02609-neg-es-pba-9940-mdt5.tif	ok		279.64562988	265.18395996	14.46166992	9.63898849	11.69449139	0.82423324	0.70873100	1.14686573	0.61797208	0.93616283	0.84242797	0.09373486	0.21794581	0.24160878	0.90206081	0.05555556	0.65579961
wl-tile-v1-02610	wl-neg-neg-es-pba-9941	neg-es-pba-9941	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 12	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02610-neg-es-pba-9941-mdt5.tif	ok		281.09756470	268.18869019	12.90887451	9.14753628	11.53776646	0.79283424	1.03041708	0.97081000	1.06139934	0.44220585	0.67204249	-0.22983664	0.23261292	0.20652094	1.12634059	0.36111111	0.74543664
wl-tile-v1-02611	wl-neg-neg-es-pba-9942	neg-es-pba-9942	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 13	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02611-neg-es-pba-9942-mdt5.tif	ok		277.36584473	263.77667236	13.58917236	9.77502060	11.28295994	0.86635250	0.83060753	0.86923963	0.95555645	0.77283537	0.50284499	0.26999038	0.18597531	0.22406469	0.83000722	0.33333333	0.62731337
wl-tile-v1-02653	wl-neg-neg-es-pba-20407	neg-es-pba-20407	0	hard_negative	test_trasancos	ES	Mámoa de Campo da Cruz 2	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02653-neg-es-pba-20407-mdt5.tif	ok		461.92837524	461.56845093	0.35992432	4.75522327	5.21670914	0.91153698	0.80893934	0.86635953	0.93372244	0.08957893	-0.01741329	0.10699222	0.29924017	0.31982371	0.93564098	0.16666667	0.56266616
wl-tile-v1-02612	wl-neg-neg-es-pba-9943	neg-es-pba-9943	0	hard_negative	test_trasancos	ES	Mámoa de Catabois	Ferrol	Serantes (San Salvador)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02612-neg-es-pba-9943-mdt5.tif	ok		86.38594055	83.41921997	2.96672058	2.92289257	3.17202306	0.92146006	0.47707611	0.39739227	1.20051683	0.24715267	0.10062358	0.14652909	0.22632040	0.26424661	0.85647418	0.44444444	0.57818512
wl-tile-v1-02662	wl-neg-neg-es-pba-24842	neg-es-pba-24842	0	hard_negative	test_trasancos	ES	Mámoa de Coto da Fraga 1	Valdoviño	Pantín (Santiago)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02662-neg-es-pba-24842-mdt5.tif	ok		253.44268799	232.51594543	20.92674255	8.45685482	14.75515842	0.57314565	1.18456435	1.02181566	1.15927403	1.05891156	0.78533351	0.27357805	0.20618822	0.20347241	1.01334732	0.52777778	0.60223269
wl-tile-v1-02663	wl-neg-neg-es-pba-24843	neg-es-pba-24843	0	hard_negative	test_trasancos	ES	Mámoa de Coto da Fraga 2	Valdoviño	Pantín (Santiago)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02663-neg-es-pba-24843-mdt5.tif	ok		224.05014038	202.11570740	21.93443298	13.58718491	15.03599072	0.90364414	1.44802356	0.85905433	1.68560184	1.49668622	-0.09712020	1.59380642	0.24075606	0.22383082	1.07561624	0.52777778	0.55553173
wl-tile-v1-02613	wl-neg-neg-es-pba-9944	neg-es-pba-9944	0	hard_negative	test_trasancos	ES	Mámoa de Espadanido 1	Ferrol	Marmancón (San Pedro)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02613-neg-es-pba-9944-mdt5.tif	ok		234.85939026	222.47985840	12.37953186	11.20848274	14.37885284	0.77951161	1.04082620	1.76426053	0.58995040	1.00729096	0.16295835	0.84433261	0.20719904	0.23436797	0.88407576	0.02777778	0.64038348
wl-tile-v1-02614	wl-neg-neg-es-pba-9945	neg-es-pba-9945	0	hard_negative	test_trasancos	ES	Mámoa de Espadanido 2	Ferrol	Marmancón (San Pedro)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02614-neg-es-pba-9945-mdt5.tif	ok		236.02870178	225.61463928	10.41406250	12.65287685	14.52350712	0.87119982	1.35481226	1.52708805	0.88718674	0.48426887	0.54404116	-0.05977228	0.23037580	0.23021844	1.00068351	0.27777778	0.59341768
wl-tile-v1-02615	wl-neg-neg-es-pba-9946	neg-es-pba-9946	0	hard_negative	test_trasancos	ES	Mámoa de Ferreiros	Ferrol	Brión (Santa María)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02615-neg-es-pba-9946-mdt5.tif	ok		162.89239502	153.43482971	9.45756531	9.72018242	11.20301723	0.86763969	0.85875493	1.42697477	0.60180106	0.70929211	0.42076457	0.28852755	0.30199957	0.34187695	0.88335749	0.11111111	0.61670247
wl-tile-v1-02616	wl-neg-neg-es-pba-9947	neg-es-pba-9947	0	hard_negative	test_trasancos	ES	Mámoa de Leixa 1	Ferrol	Leixa (San Pedro)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02616-neg-es-pba-9947-mdt5.tif	ok		21.12195206	20.52735329	0.59459877	1.60290456	1.93511426	0.82832553	0.30653584	0.35687742	0.85893874	-0.03817463	0.04028812	-0.07846275	0.33257309	0.30687699	1.08373420	0.22222222	0.72137612
wl-tile-v1-02617	wl-neg-neg-es-pba-9974	neg-es-pba-9974	0	hard_negative	test_trasancos	ES	Mámoa de Leixa 2	Ferrol	Leixa (San Pedro)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02617-neg-es-pba-9974-mdt5.tif	ok		21.43041611	20.34205818	1.08835793	2.08339524	2.02796030	1.02733532	0.37730107	0.43857878	0.86028116	0.22032876	-0.15858276	0.37891153	0.30322635	0.30599144	0.99096351	0.27777778	0.67113768
wl-tile-v1-02627	wl-neg-neg-es-pba-14222	neg-es-pba-14222	0	hard_negative	test_trasancos	ES	Mámoa de Leixa 3/Mámoa de Trasancos	Narón	Trasancos (San Mateo)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02627-neg-es-pba-14222-mdt5.tif	ok		23.40602493	22.53676414	0.86926079	1.84118223	1.65586567	1.11191522	0.32262734	0.31275642	1.03156104	0.07417601	-0.02402627	0.09820228	0.28227669	0.26164457	1.07885552	0.27777778	0.73517490
wl-tile-v1-02664	wl-neg-neg-es-pba-24844	neg-es-pba-24844	0	hard_negative	test_trasancos	ES	Mámoa de Liñeiro	Valdoviño	Vilarrube (San Martiño)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02664-neg-es-pba-24844-mdt5.tif	ok		223.63323975	226.06330872	-2.43006897	6.50966215	4.91884184	1.32341359	0.55195469	0.52214295	1.05709498	-0.00100725	0.02010619	-0.02111345	0.39665824	0.42465681	0.93406778	0.30555556	0.70525662
wl-tile-v1-02665	wl-neg-neg-es-pba-24845	neg-es-pba-24845	0	hard_negative	test_trasancos	ES	Mámoa de Loira	Valdoviño	Loira (San Pedro)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02665-neg-es-pba-24845-mdt5.tif	ok		184.96990967	185.78010559	-0.81019592	7.40615034	6.53636742	1.13306824	1.12195718	0.99562997	1.12688169	0.29130879	0.05764702	0.23366177	0.35180947	0.31657797	1.11128854	0.33333333	0.51394812
wl-tile-v1-02654	wl-neg-neg-es-pba-20408	neg-es-pba-20408	0	hard_negative	test_trasancos	ES	Mámoa de Moimentos 1	San Sadurniño	Santa Mariña do Monte (Santa Mariña)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02654-neg-es-pba-20408-mdt5.tif	ok		301.94985962	301.46456909	0.48529053	6.03858805	5.82445955	1.03676367	0.52602822	0.79929137	0.65811822	0.18633395	0.29652995	-0.11019599	0.27256092	0.27795020	0.98061065	0.16666667	0.71639518
wl-tile-v1-02655	wl-neg-neg-es-pba-20409	neg-es-pba-20409	0	hard_negative	test_trasancos	ES	Mámoa de Moimentos 2	San Sadurniño	Santa Mariña do Monte (Santa Mariña)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02655-neg-es-pba-20409-mdt5.tif	ok		302.05731201	298.79074097	3.26657104	3.71151376	5.47280598	0.67817382	0.38418376	0.51646483	0.74387208	0.33290169	-0.12255204	0.45545372	0.25616679	0.25923321	0.98817119	0.11111111	0.72529237
wl-tile-v1-02618	wl-neg-neg-es-pba-9975	neg-es-pba-9975	0	hard_negative	test_trasancos	ES	Mámoa de Monteventoso	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02618-neg-es-pba-9975-mdt5.tif	ok		217.20516968	200.80419922	16.40097046	15.41071892	16.57437515	0.92979185	1.71899986	1.56540382	1.09811912	0.64073759	0.83014178	-0.18940419	0.24583425	0.20398022	1.20518668	0.30555556	0.52285063
wl-tile-v1-02619	wl-neg-neg-es-pba-9976	neg-es-pba-9976	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 1	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02619-neg-es-pba-9976-mdt5.tif	ok		161.12768555	152.11877441	9.00891113	12.46513653	13.73100376	0.90780956	1.44147408	1.81355250	0.79483449	0.57721293	0.04146370	0.53574923	0.26768562	0.30883181	0.86676829	0.22222222	0.48555529
wl-tile-v1-02620	wl-neg-neg-es-pba-9977	neg-es-pba-9977	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 2	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02620-neg-es-pba-9977-mdt5.tif	ok		160.32281494	149.18721008	11.13560486	14.03952408	14.00784397	1.00226160	1.66706610	1.58037734	1.05485320	0.99759251	-0.03823234	1.03582485	0.27477387	0.30442551	0.90259804	0.33333333	0.47443808
wl-tile-v1-02621	wl-neg-neg-es-pba-9978	neg-es-pba-9978	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 3	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02621-neg-es-pba-9978-mdt5.tif	ok		205.06886292	199.56190491	5.50695801	5.37416410	8.89050674	0.60448344	0.70556396	0.98930639	0.71319054	0.34171730	0.16283368	0.17888363	0.17196423	0.18707590	0.91922172	0.13888889	0.61961144
wl-tile-v1-02622	wl-neg-neg-es-pba-9979	neg-es-pba-9979	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 4	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02622-neg-es-pba-9979-mdt5.tif	ok		208.80632019	204.91320801	3.89311218	7.18930817	8.92204189	0.80579180	0.81891692	1.38216078	0.59249034	0.20145299	0.10394505	0.09750794	0.26333359	0.28286299	0.93095809	0.05555556	0.63624370
wl-tile-v1-02623	wl-neg-neg-es-pba-9980	neg-es-pba-9980	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 5	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02623-neg-es-pba-9980-mdt5.tif	ok		256.51507568	229.67713928	26.83793640	12.97606087	14.55207062	0.89169859	1.18125629	1.30088151	0.90804296	1.85204136	0.34402704	1.50801432	0.25132546	0.22109942	1.13670790	0.27777778	0.70518861
wl-tile-v1-02624	wl-neg-neg-es-pba-9981	neg-es-pba-9981	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 6	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02624-neg-es-pba-9981-mdt5.tif	ok		255.61692810	228.34803772	27.26889038	13.45655727	14.80145073	0.90913773	1.33402824	1.26785123	1.05219620	1.99342811	0.26709750	1.72633061	0.25472051	0.22284006	1.14306428	0.47222222	0.70885384
wl-tile-v1-02628	wl-neg-neg-es-pba-14223	neg-es-pba-14223	0	hard_negative	test_trasancos	ES	Mámoa de Muíño do Vento	Narón	Trasancos (San Mateo)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02628-neg-es-pba-14223-mdt5.tif	ok		93.03873444	86.04216003	6.99657440	4.40916681	4.37013912	1.00893054	0.64366817	0.56212765	1.14505695	0.64321989	0.28516811	0.35805178	0.24936229	0.24957004	0.99916756	0.41666667	0.67029777
wl-tile-v1-02656	wl-neg-neg-es-pba-20435	neg-es-pba-20435	0	hard_negative	test_trasancos	ES	Mámoa de Pena Escrita	San Sadurniño	Lamas (San Xiao)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02656-neg-es-pba-20435-mdt5.tif	ok		214.00715637	218.84700012	-4.83984375	4.40089560	5.48615170	0.80218263	0.44879192	0.56802398	0.79009327	-0.24092498	-0.20688203	-0.03404295	0.42663404	0.38273692	1.11469268	0.22222222	0.68186986
wl-tile-v1-02666	wl-neg-neg-es-pba-24846	neg-es-pba-24846	0	hard_negative	test_trasancos	ES	Mámoa de Pena Moura	Valdoviño	Vilarrube (San Martiño)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02666-neg-es-pba-24846-mdt5.tif	ok		148.82664490	135.31860352	13.50804138	19.68557739	17.87277412	1.10142820	2.54789162	1.79324615	1.42082648	1.64989400	-0.37930173	2.02919573	0.36873358	0.29345411	1.25652895	0.52777778	0.56717392
wl-tile-v1-02667	wl-neg-neg-es-pba-24847	neg-es-pba-24847	0	hard_negative	test_trasancos	ES	Mámoa de Portonovo 1	Valdoviño	Valdoviño (Santaia)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02667-neg-es-pba-24847-mdt5.tif	ok		308.44906616	305.71801758	2.73104858	4.93237209	4.85523129	1.01588818	0.65393317	0.77312487	0.84583124	0.39450556	0.11760703	0.27689853	0.34483400	0.34449232	1.00099185	0.19444444	0.59934008
wl-tile-v1-02668	wl-neg-neg-es-pba-24848	neg-es-pba-24848	0	hard_negative	test_trasancos	ES	Mámoa de Portonovo 2	Valdoviño	Valdoviño (Santaia)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02668-neg-es-pba-24848-mdt5.tif	ok		302.89526367	302.18954468	0.70571899	3.45053077	3.94938397	0.87368835	0.43343887	0.68588305	0.63194282	0.05428797	0.24169126	-0.18740329	0.23504457	0.29853716	0.78732096	0.13888889	0.66127563
wl-tile-v1-02669	wl-neg-neg-es-pba-24849	neg-es-pba-24849	0	hard_negative	test_trasancos	ES	Mámoa de Rioboo 1/Mámoa de Canteiros 1	Valdoviño	Meirás (San Vicente)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02669-neg-es-pba-24849-mdt5.tif	ok		68.34432983	64.65558624	3.68874359	3.02027774	2.99093461	1.00981069	0.36935851	0.37515402	0.98455166	0.36236915	0.05837007	0.30399908	0.44444710	0.37089857	1.19829822	0.19444444	0.71664705
wl-tile-v1-02670	wl-neg-neg-es-pba-24850	neg-es-pba-24850	0	hard_negative	test_trasancos	ES	Mámoa de Rioboo 2/Mámoa de Canteiros 2/M moas do Val	Valdoviño	Meirás (San Vicente)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02670-neg-es-pba-24850-mdt5.tif	ok		62.24964142	59.56470490	2.68493652	2.89884996	3.65669084	0.79275227	0.31317714	0.42903292	0.72996062	0.21254350	0.05996531	0.15257820	0.35199827	0.41769210	0.84272188	0.02777778	0.82070789
wl-tile-v1-02629	wl-neg-neg-es-pba-14224	neg-es-pba-14224	0	hard_negative	test_trasancos	ES	Mámoa de Sequeiro	Narón	San Xiao de Narón (San Xiao)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02629-neg-es-pba-14224-mdt5.tif	ok		60.87087631	55.40382385	5.46705246	4.38001299	4.63034010	0.94593764	0.41958517	0.46328530	0.90567340	0.32082102	0.12332132	0.19749969	0.38598812	0.44886079	0.85992834	0.13888889	0.65706799
wl-tile-v1-02630	wl-neg-neg-es-pba-14225	neg-es-pba-14225	0	hard_negative	test_trasancos	ES	Mámoa de Vespasante/Arca de Vespasante	Narón	Trasancos (San Mateo)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02630-neg-es-pba-14225-mdt5.tif	ok		70.73457336	73.98407745	-3.24950409	4.38085604	6.46820974	0.67729035	0.83503413	0.87008584	0.95971466	0.18808505	-0.04183177	0.22991682	0.49704185	0.50713515	0.98009741	0.30555556	0.53450227
wl-tile-v1-02631	wl-neg-neg-es-pba-14226	neg-es-pba-14226	0	hard_negative	test_trasancos	ES	Mámoa do Calvario	Narón	Trasancos (San Mateo)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02631-neg-es-pba-14226-mdt5.tif	ok		86.55667114	84.36203003	2.19464111	3.15740800	3.54402709	0.89090967	0.34990698	0.38196522	0.91607027	0.02809579	0.04822277	-0.02012698	0.35799190	0.34249857	1.04523620	0.22222222	0.69997872
wl-tile-v1-02657	wl-neg-neg-es-pba-20436	neg-es-pba-20436	0	hard_negative	test_trasancos	ES	Mámoa do Campo da Cruz 1	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02657-neg-es-pba-20436-mdt5.tif	ok		460.31805420	460.00762939	0.31042480	5.14128447	6.40852547	0.80225701	0.83227080	0.96440768	0.86298649	-0.15746064	-0.12541083	-0.03204982	0.31154644	0.33463734	0.93099724	0.22222222	0.56296496
wl-tile-v1-02648	wl-neg-neg-es-pba-14636	neg-es-pba-14636	0	hard_negative	test_trasancos	ES	Mámoa do Inglés	Neda	Viladonelle (Santo André)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02648-neg-es-pba-14636-mdt5.tif	ok		416.58023071	406.56155396	10.01867676	13.52301025	15.67026138	0.86297286	1.53682482	1.97556353	0.77791719	0.80482292	0.40811720	0.39670572	0.25599879	0.24628723	1.03943186	0.27777778	0.60787100
