osm_id	osm_type	label_class	site_class	name	confidence	evidence	archaeological_site	civilization	fortification_type	wikidata	centroid_lon	centroid_lat	area_m2	perimeter_m	equivalent_radius_m	circularity	vertices	matched_catalogue_id	matched_catalogue_name	matched_distance_m
332399998	way	1	castro	Monte do Castro	medium	site=fortification,civ=celtic	fortification	celtic		Q20546098	-8.73944723	42.52359238	18474.6	591.5	76.7	0.6635	19	wl-pos-pos-es-pba-71346	Castro de Lameán de Arriba/Monte do Castro/O Castro	10
332400381	way	1	castro	Castro de Borneiro	medium	site=fortification,civ=celtic	fortification	celtic		Q2513122	-8.95222880	43.19468508	5775.3	325.9	42.9	0.6835	23	wl-neg-neg-es-pba-4283	Mámoa de Prado Garrido	244
337411036	way	1	castro	Castro de Xermán	medium	site=fortification,civ=none	fortification				-8.66082098	42.96263158	4731.9	259.3	38.8	0.8843	21	wl-pos-pos-es-pba-24373	Bico do Castro	8
337834014	way	1	castro	Castelo de Portomeiro	medium	site=fortification,civ=none	fortification				-8.61252785	42.97745147	2637.8	194.9	29.0	0.8722	19			
346092369	way	1	castro	Castro de Soutelo	medium	site=fortification,civ=celtic	fortification	celtic		Q20550078	-8.30397146	43.11196955	11899.3	423.0	61.5	0.8356	11	wl-pos-pos-es-pba-12469	Castro de Soutelo	13
346092370	way	1	castro	Castro de Mesía	medium	site=fortification,civ=celtic	fortification	celtic		Q20550346	-8.27505405	43.11988840	6848.0	295.9	46.7	0.9832	15	wl-pos-pos-es-pba-12466	Castro de Mesía	21
351963981	way	1	castro	Castro de Bordelle	high	fortification_type=hill_fort	fortification		hill_fort	Q12385721	-8.34005734	43.21241552	6189.4	280.2	44.4	0.9909	20	wl-pos-pos-es-pba-83	Castro de Bordelle	5
363397371	way	1	castro	Castro da Portela	medium	site=settlement,civ=prehistoric	settlement	prehistoric			-8.41421442	43.10558976	13099.6	422.6	64.6	0.9218	14	wl-pos-pos-es-pba-15377	Os Castros/A Medorra/Castro de Portela	11
363823066	way	1	castro	Castro de Cestaños	medium	site=settlement,civ=prehistoric	settlement	prehistoric			-8.44660573	43.09640014	7920.4	331.7	50.2	0.9044	21	wl-pos-pos-es-pba-15915	O Castro/Castro de Cestaños	12
363823073	way	1	castro	Castro de Parada	medium	site=settlement,civ=prehistoric	settlement	prehistoric			-8.44757635	43.06295497	6617.1	297.5	45.9	0.9398	12	wl-pos-pos-es-pba-15467	A Medorra/Castro de Parada	31
363823074	way	1	castro	Castro do Pumariño	medium	site=settlement,civ=prehistoric	settlement	prehistoric			-8.44602178	43.06024729	18614.1	499.9	77.0	0.9358	12	wl-pos-pos-es-pba-15375	O Castro/Castro de Pumariño	44
363823075	way	1	castro	Castro da Medorra de Gavión	medium	site=settlement,civ=prehistoric	settlement	prehistoric			-8.44173072	43.05967555	21263.7	540.1	82.3	0.9160	12	wl-pos-pos-es-pba-15436	A Medorra do Gavián/Castro da Medorra do Gavión	34
364032612	way	1	castro	Castro do Dono	medium	site=settlement,civ=prehistoric	settlement	prehistoric			-8.42663633	43.03798355	13428.3	439.6	65.4	0.8731	12	wl-pos-pos-es-pba-15658	Castro do Dono	72
364821175	way	1	castro	Castro de Carrás	medium	site=settlement,civ=prehistoric	settlement	prehistoric			-8.40641800	43.02927032	30636.0	658.8	98.8	0.8871	10	wl-pos-pos-es-pba-15914	O Castro/Castro de Carras	20
365835671	way	1	castro	Castro da Torre	medium	site=settlement,civ=prehistoric	settlement	prehistoric			-8.37750276	43.09738961	16180.6	473.4	71.8	0.9074	14	wl-pos-pos-es-pba-15473	A Torre/Castro da Torre	33
365835672	way	1	castro	Castro de Buscás	medium	site=settlement,civ=prehistoric	settlement	prehistoric			-8.38277699	43.09783951	15743.2	462.5	70.8	0.9248	14	wl-pos-pos-es-pba-15406	Os Castros/Castro de Buscás	55
366393979	way	1	castro	Castro da Devesa	medium	site=settlement,civ=prehistoric	settlement	prehistoric			-8.35018106	43.05000716	41680.7	754.4	115.2	0.9203	11	wl-pos-pos-es-pba-15625	Castro da Devesa	34
366982747	way	1	castro	Castro de Poulo	medium	site=settlement,civ=prehistoric	settlement	prehistoric			-8.37935178	43.06337298	29454.9	658.8	96.8	0.8528	9	wl-pos-pos-es-pba-15374	O Castro/Castro de Poulo	52
366990106	way	1	castro	Castro de Barreiros	medium	site=fortification,civ=celtic	fortification	celtic			-8.34322864	43.07063593	36607.1	681.4	107.9	0.9909	20	wl-pos-pos-es-pba-15913	O Castro/Castro de Barreiros	16
366990115	way	1	castro	Castro de Pereira	medium	site=settlement,civ=prehistoric	settlement	prehistoric			-8.39709858	43.04795537	23531.2	574.2	86.5	0.8968	12	wl-pos-pos-es-pba-15373	O Castro/Castro de Pereira	34
366990145	way	1	castro	Castro da Ponte da Viña	medium	site=settlement,civ=prehistoric	settlement	prehistoric			-8.38255802	43.01750327	40456.7	733.1	113.5	0.9459	11	wl-pos-pos-es-pba-15917	O Castro/Castro de Fonte da Viña	33
367004485	way	1	castro	As Cenecas	medium	site=settlement,civ=prehistoric	settlement	prehistoric			-8.37764615	43.02448769	21677.4	524.3	83.1	0.9908	20	wl-pos-pos-es-pba-15505	As Cenicas/Castro de Vilasuso	84
367004486	way	1	castro	Castro de Recouso	medium	site=settlement,civ=celtic	settlement	celtic		Q136521212	-8.37534940	43.03586882	65960.0	914.6	144.9	0.9908	20	wl-neg-neg-es-pba-15384	Mámoa do Coto do Lobo 3	32
368211443	way	1	castro	O Castro da Cidá	high	fortification_type=hill_fort	settlement	celtic	hill_fort	Q2513720	-9.01378053	42.56120409	3114.2	235.5	31.5	0.7059	11	wl-pos-pos-es-pba-19118	Castro da Cidá	11
368530953	way	1	castro	Castelo do Carbedo	medium	site=fortification,civ=none	fortification			Q20550285	-7.12470589	42.63543559	384.1	95.5	11.1	0.5297	37			
368767989	way	1	castro	Castro de Portela	high	fortification_type=hill_fort	fortification	castro_culture	hill_fort		-7.26995160	42.54140166	1794.3	171.1	23.9	0.7705	5	wl-pos-pos-es-pba-29067	Castro Portela	70
372279820	way	0	mound	Túmulo 1 de Montes do Gato	high	archaeological_site=tumulus	tumulus				-8.10454696	43.19241995	523.4	81.5	12.9	0.9909	20	wl-neg-neg-es-pba-26617	Mámoa do Monte do Gato 01	3
372529917	way	1	castro	Castro da Xoxa	high	fortification_type=hill_fort	fortification	celtic	hill_fort		-8.30764908	43.30050169	19657.5	499.3	79.1	0.9908	20	wl-pos-pos-es-pba-3698	Castro de Pravio	24
376583043	way	1	castro	Os Castros de Salgueiros	medium	site=fortification,civ=celtic	fortification	celtic			-7.76018555	42.82873532	15047.0	458.8	69.2	0.8983	10	wl-pos-pos-es-pba-34958	Os Castros/Corga Maior/Corga do Castro/Corga	30
410310338	way	1	castro	Castro de Covas	medium	site=fortification,civ=celtic	fortification	celtic		Q61388067	-8.27393538	43.43921088	5864.5	282.1	43.2	0.9261	18	wl-pos-pos-es-pba-1685	Castro de Cervás	9
413317376	way	0	mound	Túmulo 12 de Montes do Gato	high	archaeological_site=tumulus	tumulus				-8.09882081	43.18338743	1126.0	119.5	18.9	0.9909	20	wl-neg-neg-es-pba-26679	Mámoa do Monte do Gato 12	23
413317377	way	0	mound	Túmulo 14 de Montes do Gato	high	archaeological_site=tumulus	tumulus				-8.09883045	43.18173640	1616.7	143.2	22.7	0.9908	20	wl-neg-neg-es-pba-26681	Mámoa do Monte do Gato 14	21
429120938	way	1	castro	Castro de Castrelo	medium	site=fortification,civ=celtic	fortification	celtic			-8.19498055	43.40052707	21821.4	526.1	83.3	0.9908	20	wl-pos-pos-es-pba-18252	Castro de Centroña	58
429499614	way	1	castro	Castro de Santa María	medium	site=fortification,civ=celtic	fortification	celtic		Q61389822	-8.19188483	43.36360772	7338.3	305.1	48.3	0.9908	20	wl-pos-pos-es-pba-13918	Igrexa de Castro (Parroquial de Santa María)	22
429622011	way	1	castro	Castro de Punta Roza	high	fortification_type=hill_fort	fortification	celtic	hill_fort	Q20544603	-8.31781188	43.40093497	40965.4	825.0	114.2	0.7564	12	wl-pos-pos-es-pba-15425	Castro de Punta Roza	41
429763330	way	1	castro	Castro da Punta Torrella	high	fortification_type=hill_fort	fortification	celtic	hill_fort	Q20544616	-8.30735421	43.40277168	11431.4	400.1	60.3	0.8975	10	wl-neg-neg-es-pba-16203	Batería de Punta Torrella	36
430399173	way	1	castro	Castro de Canzobre	high	fortification_type=hill_fort	fortification	celtic	hill_fort		-8.46891989	43.27764440	13959.9	431.1	66.7	0.9441	12			
456457348	way	0	mound	Coto da Esmorga (30)	high	archaeological_site=tumulus	tumulus				-8.30496273	43.47461174	524.3	84.9	12.9	0.9145	9	wl-neg-neg-es-pba-10098	Mámoa dos Montes de Brión IV-3	12
456651505	way	0	mound	Mámoa da Planeira (9)	high	archaeological_site=tumulus	tumulus				-8.28841978	43.48385068	484.6	80.9	12.4	0.9297	9	wl-neg-neg-es-pba-10009	Mámoa dos Montes de Brión I-2	12
459047171	way	0	mound	Mámoa das Teixoeiras	high	archaeological_site=tumulus	tumulus				-8.29122320	43.46935323	518.7	81.1	12.8	0.9909	20	wl-neg-neg-es-pba-9946	Mámoa de Ferreiros	2
459465434	way	0	mound	Mámoa da Chaeira (36)	high	archaeological_site=tumulus	tumulus				-8.27802600	43.47725229	374.4	68.9	10.9	0.9908	20	wl-neg-neg-es-pba-10135	Mámoa dos Montes de Brión VI-5	32
459465435	way	0	mound	Mámoa da Chaeira (38)	high	archaeological_site=tumulus	tumulus				-8.27690057	43.47779946	454.2	86.1	12.0	0.7703	9	wl-neg-neg-es-pba-10133	Mámoa dos Montes de Brión VI-3	14
459465436	way	0	mound	Mámoa da Chaeira (37)	high	archaeological_site=tumulus	tumulus				-8.27756649	43.47752082	320.3	70.6	10.1	0.8074	9	wl-neg-neg-es-pba-10134	Mámoa dos Montes de Brión VI-4	26
459898944	way	0	mound	Mámoa da Planeira (6)	high	archaeological_site=tumulus	tumulus				-8.28722218	43.48330638	552.7	86.5	13.3	0.9272	10	wl-neg-neg-es-pba-10012	Mámoa dos Montes de Brión I-5	7
460106303	way	0	mound	Mámoa da Chaeira (35)	high	archaeological_site=tumulus	tumulus				-8.27744179	43.47711858	576.9	85.5	13.6	0.9909	20	wl-neg-neg-es-pba-10135	Mámoa dos Montes de Brión VI-5	36
460218631	way	0	mound	Mámoa da Planeira (8)	high	archaeological_site=tumulus	tumulus				-8.28794267	43.48356629	340.3	68.9	10.4	0.9007	10	wl-neg-neg-es-pba-10011	Mámoa dos Montes de Brión I-4	26
460996744	way	0	mound	Mámoa da Madorra	high	archaeological_site=tumulus	tumulus				-8.29164925	43.48107493	502.4	79.8	12.6	0.9909	20	wl-neg-neg-es-pba-10103	Mámoa dos Montes de Brión IV-8	8
461036665	way	0	mound	Mámoa das Campeiras	high	archaeological_site=tumulus	tumulus				-8.29520624	43.47841521	447.8	75.4	11.9	0.9908	20	wl-neg-neg-es-pba-10101	Mámoa dos Montes de Brión IV-6	41
461036666	way	0	mound	Mámoa	high	archaeological_site=tumulus	tumulus				-8.29935877	43.48077407	189.4	50.0	7.8	0.9522	11	wl-neg-neg-es-pba-10072	Mámoa dos Montes de Brión IV-1	3
461125482	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.29533666	43.48397926	234.2	56.3	8.6	0.9270	11	wl-neg-neg-es-pba-10043	Mámoa dos Montes de Brión III-2	54
461125483	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.29377321	43.48513782	269.3	60.3	9.3	0.9303	10	wl-neg-neg-es-pba-10042	Mámoa dos Montes de Brión III-1	34
461125484	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.29127370	43.48489151	287.6	63.4	9.6	0.9000	9	wl-neg-neg-es-pba-10041	Mámoa dos Montes de Brión II-2	66
461125485	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.29048347	43.48568406	962.4	110.5	17.5	0.9908	20	wl-neg-neg-es-pba-10040	Mámoa dos Montes de Brión II-1	53
461125486	way	0	mound	Mámoa de Pico do Ponte	high	archaeological_site=tumulus	tumulus				-8.28917140	43.48429237	436.9	74.4	11.8	0.9909	20	wl-neg-neg-es-pba-9983	Mámoa dos Montes de Brión I-1	4
461125487	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.28624595	43.48153246	336.7	67.3	10.4	0.9339	10	wl-neg-neg-es-pba-10015	Mámoa dos Montes de Brión I-8	61
461125490	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.30408204	43.47867426	456.3	78.7	12.1	0.9263	12	wl-neg-neg-es-pba-10076	Mámoa dos Montes de Brión IV-2	51
461125491	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.30334600	43.47852508	124.5	41.9	6.3	0.8918	11	wl-neg-neg-es-pba-10076	Mámoa dos Montes de Brión IV-2	24
461125492	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.30360442	43.47735696	93.8	35.4	5.5	0.9430	10	wl-neg-neg-es-pba-10104	Mámoa dos Montes de Brión IV-9	22
461125493	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.30335903	43.47592235	285.7	60.2	9.5	0.9908	20	wl-neg-neg-es-pba-10075	Mámoa dos Montes de Brión IV-12	39
461125494	way	0	mound	Mámoa do Coto Grande	high	archaeological_site=tumulus	tumulus				-8.29729749	43.47502265	483.8	78.3	12.4	0.9909	20	wl-neg-neg-es-pba-10099	Mámoa dos Montes de Brión IV-4	80
461144969	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.28705290	43.48200804	508.5	81.9	12.7	0.9518	11	wl-neg-neg-es-pba-10015	Mámoa dos Montes de Brión I-8	23
461144971	way	0	mound	Mámoa da Planeira (5)	high	archaeological_site=tumulus	tumulus				-8.28595548	43.48275264	537.7	85.2	13.1	0.9316	10	wl-neg-neg-es-pba-10013	Mámoa dos Montes de Brión I-6	8
461227297	way	0	mound	Mámoa da Planeira (7)	high	archaeological_site=tumulus	tumulus				-8.28782558	43.48319418	162.7	46.9	7.2	0.9298	9	wl-neg-neg-es-pba-10011	Mámoa dos Montes de Brión I-4	27
461366119	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.30192142	43.48029777	331.0	64.8	10.3	0.9909	20	wl-neg-neg-es-pba-10136	Mámoas de Brión	73
463730626	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.12512326	43.56170630	1487.9	142.3	21.8	0.9236	10	wl-neg-neg-es-pba-14297	Mámoa do Monte dos Niños 15	53
463742669	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.12543846	43.56242892	1113.8	127.3	18.8	0.8641	8	wl-neg-neg-es-pba-14297	Mámoa do Monte dos Niños 15	67
464581180	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.10669024	43.55302563	491.9	83.3	12.5	0.8899	7			
464823228	way	0	mound	Mámoa de Montes da Marola (20)	high	archaeological_site=tumulus	tumulus				-8.10654462	43.55417846	1253.0	126.1	20.0	0.9909	20			
464823233	way	0	mound	Mámoa Alto de Pedroso (24)	high	archaeological_site=tumulus	tumulus				-8.09552283	43.55064520	922.9	115.5	17.1	0.8686	7			
464823234	way	0	mound	Mámoa Alto de Pedroso (23)	high	archaeological_site=tumulus	tumulus				-8.09737716	43.55102876	542.8	90.6	13.1	0.8319	7			
464978826	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.10241771	43.54958566	1124.5	128.3	18.9	0.8583	7			
465786232	way	0	mound	Túmulo 18 de Montes do Gato	high	archaeological_site=tumulus	tumulus				-8.09651488	43.18243170	1117.8	119.1	18.9	0.9909	20	wl-neg-neg-es-pba-26710	Mámoa do Monte do Gato 18	47
465786233	way	0	mound	Montículo 11 de Montes do Gato	high	archaeological_site=tumulus	tumulus				-8.10115245	43.18557795	438.1	74.5	11.8	0.9908	20	wl-neg-neg-es-pba-26678	Mámoa do Monte do Gato 11	6
467508195	way	0	mound	Túmulo 13 de Montes do Gato	high	archaeological_site=tumulus	tumulus				-8.09875845	43.18295849	782.8	99.6	15.8	0.9909	20	wl-neg-neg-es-pba-26680	Mámoa do Monte do Gato 13	27
467546586	way	0	mound	Montículo 7 de Montes do Gato	high	archaeological_site=tumulus	tumulus				-8.10308563	43.18897318	575.6	85.4	13.5	0.9908	20	wl-neg-neg-es-pba-26649	Mámoa do Monte do Gato 07	2
467667524	way	0	mound	Túmulo 17 de Montes do Gato	high	archaeological_site=tumulus	tumulus				-8.09937617	43.18311208	584.5	86.1	13.6	0.9909	20	wl-neg-neg-es-pba-26684	Mámoa do Monte do Gato 17	36
468561420	way	0	mound	Túmulo 10 de Montes do Gato	high	archaeological_site=tumulus	tumulus				-8.10294165	43.18659412	556.6	84.0	13.3	0.9909	20	wl-neg-neg-es-pba-26677	Mámoa do Monte do Gato 10	2
468561425	way	0	mound	Túmulo 2 de Montes do Gato	high	archaeological_site=tumulus	tumulus				-8.10510636	43.19172491	677.7	92.7	14.7	0.9909	20	wl-neg-neg-es-pba-26618	Mámoa do Monte do Gato 02	21
468561427	way	0	mound	Túmulo 6 de Montes do Gato	high	archaeological_site=tumulus	tumulus				-8.10190058	43.19049439	1054.2	115.6	18.3	0.9909	20	wl-neg-neg-es-pba-26648	Mámoa do Monte do Gato 06	5
469231568	way	0	mound	Pena dos Canteiros	high	archaeological_site=tumulus	tumulus				-8.29157036	43.47754480	161.2	48.4	7.2	0.8650	8	wl-neg-neg-es-pba-10102	Mámoa dos Montes de Brión IV-7	18
469588627	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.09854274	43.16772888	1519.0	138.8	22.0	0.9909	20	wl-neg-neg-es-pba-27031	Mámoa de Codeseiras	19
469589593	way	0	mound	Mámoa	high	archaeological_site=tumulus	tumulus				-8.09653178	43.18018392	953.3	110.0	17.4	0.9908	20	wl-neg-neg-es-pba-27067	Mámoa de Mazarelas I-4	17
469589594	way	0	mound	Túmulo 7 de Mazarelas I	high	archaeological_site=tumulus	tumulus				-8.09738366	43.17794200	210.7	54.8	8.2	0.8823	8	wl-neg-neg-es-pba-27070	Mámoa de Mazarelas I-7	3
469589595	way	0	mound	Túmulo 1 Mazarelas I	high	archaeological_site=tumulus	tumulus				-8.09897163	43.17753983	237.9	58.1	8.7	0.8844	7	wl-neg-neg-es-pba-27064	Mámoa de Mazarelas I-1	7
469589596	way	0	mound	Túmulo Mazarelas I	high	archaeological_site=tumulus	tumulus				-8.09814189	43.17723444	357.5	71.5	10.7	0.8777	7	wl-neg-neg-es-pba-27066	Mámoa de Mazarelas I-3	7
469589597	way	0	mound	Túmulo 2 Mazarelas I	high	archaeological_site=tumulus	tumulus				-8.09937449	43.17725195	306.8	66.4	9.9	0.8747	8	wl-neg-neg-es-pba-27065	Mámoa de Mazarelas I-2	4
469589599	way	0	mound	Túmulo 2 de Mazarelas II	high	archaeological_site=tumulus	tumulus				-8.09664994	43.17262652	1083.4	123.0	18.6	0.9004	8	wl-neg-neg-es-pba-26576	Mámoa de Mazarelas II-1	16
469589600	way	0	mound	Túmulo 5 de Mazarelas II	high	archaeological_site=tumulus	tumulus				-8.09781030	43.17460986	647.8	98.7	14.4	0.8359	7	wl-neg-neg-es-pba-26580	Mámoa de Mazarelas II-5	16
469589601	way	0	mound	Túmulo 3 de Mazarelas II	high	archaeological_site=tumulus	tumulus				-8.09641560	43.17298749	526.4	85.8	12.9	0.8987	8	wl-neg-neg-es-pba-26581	Mámoa de Mazarelas II-6	5
469775243	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.12363737	43.56102635	2669.7	192.0	29.2	0.9100	8	wl-neg-neg-es-pba-14259	Mámoa do Monte dos Niños 05	41
469775245	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.11948860	43.56082732	1360.6	138.9	20.8	0.8867	8	wl-neg-neg-es-pba-14260	Mámoa do Monte dos Niños 06	139
472080625	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.12112040	43.17080031	599.7	93.1	13.8	0.8688	7	wl-neg-neg-es-pba-26582	Mámoa de Sexelle 1	58
472080626	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.12184286	43.16949934	597.1	91.8	13.8	0.8904	7	wl-neg-neg-es-pba-26614	Mámoa de Sexelle 4	2
