tile_id	site_id	primary_name	municipality	split	dataset_use	center_lon_wgs84	center_lat_wgs84	bbox_wgs84	width_px	height_px	wms_layer	preview_url
tile-tra-0011	tra-naron-ga15054002	X-41 Castro de Quintá	Narón	test_o_val	positive_o_val_holdout	-8.21426440	43.55278979	-8.21743751,43.55049011,-8.21109129,43.55508947	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.21743751%2C43.55049011%2C-8.21109129%2C43.55508947&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0012	tra-naron-ga15054003	X-14 Castro de San Mateo	Narón	test	test_positive_candidate	-8.22226682	43.54375029	-8.22543945,43.54145061,-8.21909419,43.54604997	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.22543945%2C43.54145061%2C-8.21909419%2C43.54604997&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0013	tra-naron-ga15054004	X-40 Castro de Santa María	Narón	test	test_positive_candidate	-8.17813899	43.54459412	-8.18131166,43.54229444,-8.17496632,43.54689380	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.18131166%2C43.54229444%2C-8.17496632%2C43.54689380&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0014	tra-naron-ga15054005	X-10 Castro de Eiravedra	Narón	test	test_positive_candidate	-8.13376509	43.55129878	-8.13693812,43.54899910,-8.13059206,43.55359846	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.13693812%2C43.54899910%2C-8.13059206%2C43.55359846&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0015	tra-naron-ga15054006	X-09 Castro de Couto / O Petouzal	Narón	test	test_positive_candidate	-8.17873332	43.50171132	-8.18190374,43.49941164,-8.17556290,43.50401100	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.18190374%2C43.49941164%2C-8.17556290%2C43.50401100&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0016	tra-naron-ga15054007	X-11 Castro de Sequeiro	Narón	test	test_positive_candidate	-8.17284242	43.53362484	-8.17601452,43.53132516,-8.16967032,43.53592452	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.17601452%2C43.53132516%2C-8.16967032%2C43.53592452&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0017	tra-naron-ga15054009	X-15 Castro de Vicás	Narón	test	test_positive_candidate	-8.15867341	43.53438585	-8.16184555,43.53208617,-8.15550127,43.53668553	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.16184555%2C43.53208617%2C-8.15550127%2C43.53668553&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0018	tra-naron-ga15054010	X-04 Castro da Ermida	Narón	test	test_positive_candidate	-8.10421499	43.53370200	-8.10738709,43.53140232,-8.10104289,43.53600168	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.10738709%2C43.53140232%2C-8.10104289%2C43.53600168&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0019	tra-naron-ga15054037	X-07 Castro de A Pedreira	Narón	test_o_val	positive_o_val_holdout	-8.22912986	43.56080566	-8.23230339,43.55850598,-8.22595633,43.56310534	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.23230339%2C43.55850598%2C-8.22595633%2C43.56310534&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0020	tra-naron-vilasuso	Castro de Vilasuso	Narón	test_o_val	positive_o_val_holdout	-8.22056326	43.56705213	-8.22373712,43.56475245,-8.21738940,43.56935181	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.22373712%2C43.56475245%2C-8.21738940%2C43.56935181&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0021	tra-naron-x-05-castro-da-pereiruga	X-05 Castro da Pereiruga	Narón	test	test_positive_candidate	-8.11938616	43.54320222	-8.12255876,43.54090254,-8.11621356,43.54550190	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.12255876%2C43.54090254%2C-8.11621356%2C43.54550190&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0022	tra-naron-x-06-castro-da-revolta	X-06 Castro da Revolta	Narón	test	test_positive_candidate	-8.15707067	43.53927232	-8.16024306,43.53697264,-8.15389828,43.54157200	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.16024306%2C43.53697264%2C-8.15389828%2C43.54157200&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0023	tra-naron-x-48-castro-do-ramo	X-48 Castro do Ramo	Narón	test	test_positive_candidate	-8.10386314	43.51985078	-8.10703451,43.51755110,-8.10069177,43.52215046	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.10703451%2C43.51755110%2C-8.10069177%2C43.52215046&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0024	tra-neda-castro-de-ancos	Castro de Ancos	Neda	train	train_positive_candidate	-8.14037000	43.52196000	-8.14354148,43.51966032,-8.13719852,43.52425968	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.14354148%2C43.51966032%2C-8.13719852%2C43.52425968&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0025	tra-neda-castro-de-viladonelle	Castro de Viladonelle	Neda	train	train_positive_candidate	-8.12008030	43.48519520	-8.12324985,43.48289552,-8.11691075,43.48749488	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.12324985%2C43.48289552%2C-8.11691075%2C43.48749488&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0026	tra-san-sadurnino-castro-da-croa-do-redo	Castro da Croa do Redo	San Sadurniño	val	val_positive_candidate	-8.03469410	43.54679590	-8.03786689,43.54449622,-8.03152131,43.54909558	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.03786689%2C43.54449622%2C-8.03152131%2C43.54909558&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0027	tra-san-sadurnino-castro-da-croa-ou-castro-de-rupiallo	Castro da Croa ou Castro de Rupiallo	San Sadurniño	val	val_positive_candidate	-8.08040294	43.53704092	-8.08357522,43.53474124,-8.07723066,43.53934060	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.08357522%2C43.53474124%2C-8.07723066%2C43.53934060&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0028	tra-san-sadurnino-castro-de-castrelo	Castro de Castrelo	San Sadurniño	val	val_positive_candidate	-8.07517670	43.58368750	-8.07835143,43.58138782,-8.07200197,43.58598718	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.07835143%2C43.58138782%2C-8.07200197%2C43.58598718&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0029	tra-san-sadurnino-castro-de-croas-de-ramil	Castro de Croas de Ramil	San Sadurniño	val	val_positive_candidate	-8.04215600	43.54115390	-8.04532849,43.53885422,-8.03898351,43.54345358	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.04532849%2C43.53885422%2C-8.03898351%2C43.54345358&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0030	tra-san-sadurnino-castro-de-riboira	Castro de Riboira	San Sadurniño	val	val_positive_candidate	-8.05528846	43.54346474	-8.05846108,43.54116506,-8.05211584,43.54576442	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.05846108%2C43.54116506%2C-8.05211584%2C43.54576442&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0031	tra-valdovino-ga15087001	Castro de Punta Taraza	Valdoviño	train	train_positive_candidate	-8.19920000	43.60171000	-8.20237569,43.59941032,-8.19602431,43.60400968	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.20237569%2C43.59941032%2C-8.19602431%2C43.60400968&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0032	tra-valdovino-ga15087002	O Castrillón	Valdoviño	train	train_positive_candidate	-8.19638800	43.57555500	-8.19956231,43.57325532,-8.19321369,43.57785468	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.19956231%2C43.57325532%2C-8.19321369%2C43.57785468&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0033	tra-valdovino-ga15087003	Castro de Coto Redondo	Valdoviño	train	train_positive_candidate	-8.11046390	43.64390560	-8.11364182,43.64160592,-8.10728598,43.64620528	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.11364182%2C43.64160592%2C-8.10728598%2C43.64620528&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0034	tra-valdovino-ga15087004	Castro de Lagoa	Valdoviño	train	train_positive_candidate	-8.11944400	43.63166600	-8.12262127,43.62936632,-8.11626673,43.63396568	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.12262127%2C43.62936632%2C-8.11626673%2C43.63396568&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0035	tra-valdovino-ga15087005	Os Castros	Valdoviño	train	train_positive_candidate	-8.09361100	43.63972200	-8.09678869,43.63742232,-8.09043331,43.64202168	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.09678869%2C43.63742232%2C-8.09043331%2C43.64202168&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0036	tra-valdovino-ga15087006	Castro de Vilarrube / Os Castros de Ferreirías	Valdoviño	train	train_positive_candidate	-8.06598600	43.62602800	-8.06916297,43.62372832,-8.06280903,43.62832768	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.06916297%2C43.62372832%2C-8.06280903%2C43.62832768&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0037	tra-valdovino-ga15087009	Castro de Punta Frouxeira	Valdoviño	train	train_positive_candidate	-8.14910000	43.61841390	-8.15227657,43.61611422,-8.14592343,43.62071358	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.15227657%2C43.61611422%2C-8.14592343%2C43.62071358&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0038	tra-valdovino-ga15087010	Castro de Poulo	Valdoviño	train	train_positive_candidate	-8.14277800	43.60416500	-8.14595381,43.60186532,-8.13960219,43.60646468	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.14595381%2C43.60186532%2C-8.13960219%2C43.60646468&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0039	tra-valdovino-ga15087011	O Castro	Valdoviño	train	train_positive_candidate	-8.17120000	43.59218000	-8.17437518,43.58988032,-8.16802482,43.59447968	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.17437518%2C43.58988032%2C-8.16802482%2C43.59447968&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0040	tra-valdovino-ga15087012	Castro de Aviño	Valdoviño	train	train_positive_candidate	-8.13316550	43.58416430	-8.13634026,43.58186462,-8.12999074,43.58646398	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.13634026%2C43.58186462%2C-8.12999074%2C43.58646398&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0041	tra-valdovino-ga15087013	Castro de Crecente	Valdoviño	train	train_positive_candidate	-8.09333300	43.59638800	-8.09650840,43.59408832,-8.09015760,43.59868768	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.09650840%2C43.59408832%2C-8.09015760%2C43.59868768&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0042	tra-valdovino-ga15087014	Castro de Vidueiros	Valdoviño	train	train_positive_candidate	-8.04805500	43.59805500	-8.05123049,43.59575532,-8.04487951,43.60035468	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.05123049%2C43.59575532%2C-8.04487951%2C43.60035468&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0043	tra-valdovino-ga15087015	Castro de Lodeiro	Valdoviño	train	train_positive_candidate	-8.17005600	43.57591800	-8.17323032,43.57361832,-8.16688168,43.57821768	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.17323032%2C43.57361832%2C-8.16688168%2C43.57821768&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0044	tra-valdovino-ga15087016	Castro de Carreira de Abaixo	Valdoviño	train	train_positive_candidate	-8.17555500	43.55722200	-8.17872834,43.55492232,-8.17238166,43.55952168	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.17872834%2C43.55492232%2C-8.17238166%2C43.55952168&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0045	tra-valdovino-ga15087020	Zona arqueológica de la Iglesia y Castro Sto. Tomás de Taraza	Valdoviño	train	train_positive_candidate	-8.18750000	43.59222200	-8.19067518,43.58992232,-8.18432482,43.59452168	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.19067518%2C43.58992232%2C-8.18432482%2C43.59452168&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0046	tra-valdovino-ga15087022	Castro de Punta do Vico	Valdoviño	train	train_positive_candidate	-8.14770830	43.62261110	-8.15088509,43.62031142,-8.14453151,43.62491078	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.15088509%2C43.62031142%2C-8.14453151%2C43.62491078&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0047	tra-valdovino-ga15087024	Castro de Lousada	Valdoviño	train	train_positive_candidate	-8.08928626	43.61918876	-8.09246287,43.61688908,-8.08610965,43.62148844	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.09246287%2C43.61688908%2C-8.08610965%2C43.62148844&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0048	tra-valdovino-ga15087032	O Foro	Valdoviño	train	train_positive_candidate	-8.13305500	43.58416600	-8.13622976,43.58186632,-8.12988024,43.58646568	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.13622976%2C43.58186632%2C-8.12988024%2C43.58646568&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
