tile_id	site_id	primary_name	municipality	split	dataset_use	center_lon_wgs84	center_lat_wgs84	center_easting_utm29	center_northing_utm29	bbox_wgs84	tile_side_m	required_sources	download_status
tile-tra-0029	tra-san-sadurnino-castro-de-croas-de-ramil	Castro de Croas de Ramil	San Sadurniño	val	val_positive_candidate	-8.04215600	43.54115390	577383.83	4821357.48	-8.04532849,43.53885422,-8.03898351,43.54345358	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0030	tra-san-sadurnino-castro-de-riboira	Castro de Riboira	San Sadurniño	val	val_positive_candidate	-8.05528846	43.54346474	576319.94	4821601.98	-8.05846108,43.54116506,-8.05211584,43.54576442	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0031	tra-san-sadurnino-coto-da-croa-ou-a-croa-do-castro-2	Coto da Croa ou A Croa do Castro	San Sadurniño	val	val_positive_candidate	-8.03303110	43.57785460	578073.62	4825441.99	-8.03620553,43.57555492,-8.02985667,43.58015428	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0032	tra-valdovino-ga15087001	Castro de Punta Taraza	Valdoviño	train	train_positive_candidate	-8.19888800	43.60166600	564656.70	4827944.05	-8.20206368,43.59936632,-8.19571232,43.60396568	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0033	tra-valdovino-ga15087002	O Castrillón	Valdoviño	train	train_positive_candidate	-8.19638800	43.57555500	564886.51	4825046.10	-8.19956231,43.57325532,-8.19321369,43.57785468	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0034	tra-valdovino-ga15087004	Castro de Lagoa	Valdoviño	train	train_positive_candidate	-8.11944400	43.63166600	571033.21	4831340.77	-8.12262127,43.62936632,-8.11626673,43.63396568	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0035	tra-valdovino-ga15087005	Os Castros	Valdoviño	train	train_positive_candidate	-8.09361100	43.63972200	573107.37	4832257.91	-8.09678869,43.63742232,-8.09043331,43.64202168	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0036	tra-valdovino-ga15087006	Castro de Vilarrube / Os Castros de Ferreirías	Valdoviño	train	train_positive_candidate	-8.06598600	43.62602800	575352.66	4830761.73	-8.06916297,43.62372832,-8.06280903,43.62832768	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0037	tra-valdovino-ga15087009	Castro de Punta Frouxeira	Valdoviño	train	train_positive_candidate	-8.14900400	43.61851000	568663.62	4829854.79	-8.15218057,43.61621032,-8.14582743,43.62080968	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0038	tra-valdovino-ga15087010	Castro de Poulo	Valdoviño	train	train_positive_candidate	-8.14277800	43.60416500	569182.41	4828266.79	-8.14595381,43.60186532,-8.13960219,43.60646468	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0039	tra-valdovino-ga15087013	Castro de Crecente	Valdoviño	train	train_positive_candidate	-8.09333300	43.59638800	573182.33	4827445.44	-8.09650840,43.59408832,-8.09015760,43.59868768	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0040	tra-valdovino-ga15087014	Castro de Vidueiros	Valdoviño	train	train_positive_candidate	-8.04805500	43.59805500	576834.88	4827671.45	-8.05123049,43.59575532,-8.04487951,43.60035468	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0041	tra-valdovino-ga15087015	Castro de Lodeiro	Valdoviño	train	train_positive_candidate	-8.17005600	43.57591800	567012.26	4825107.31	-8.17323032,43.57361832,-8.16688168,43.57821768	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0042	tra-valdovino-ga15087016	Castro de Carreira de Abaixo	Valdoviño	train	train_positive_candidate	-8.17555500	43.55722200	566588.84	4823026.51	-8.17872834,43.55492232,-8.17238166,43.55952168	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0043	tra-valdovino-ga15087020	Zona arqueológica de la Iglesia y Castro Sto. Tomás de Taraza	Valdoviño	train	train_positive_candidate	-8.18750000	43.59222200	565586.07	4826904.12	-8.19067518,43.58992232,-8.18432482,43.59452168	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0044	tra-valdovino-ga15087024	Castro de Lousada	Valdoviño	train	train_positive_candidate	-8.08928626	43.61918876	573481.21	4829981.28	-8.09246287,43.61688908,-8.08610965,43.62148844	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0045	tra-valdovino-ga15087032	O Foro	Valdoviño	train	train_positive_candidate	-8.13305500	43.58416600	569990.29	4826053.83	-8.13622976,43.58186632,-8.12988024,43.58646568	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
