dataset	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	fusion_probability	specialist_probability	fusion_specialist_mean	fusion_specialist_product	fusion70_specialist30	fusion_rank	specialist_rank	mean_rank	product_rank	fusion70_rank	max_safety_rank
train	wl-tile-v1-06315	wl-neg-neg-es-pba-42146	neg-es-pba-42146	0	hard_negative	train	ES	A Medorra de Xisto	Sarria	San Vicenzo de Froián (San Vicenzo)		megalithic_mound	0.80992424	0.78982431	0.79987427	0.63969785	0.80389426	1385	1562	1404	1390	1385	1836
train	wl-tile-v1-05617	wl-neg-neg-es-pba-31044	neg-es-pba-31044	0	hard_negative	train	ES	A Medorra de Xoana	Friol	Santalla de Devesa (Santalla)		megalithic_mound	0.11168153	0.07574341	0.09371247	0.00845914	0.10090009	5563	6942	6387	6314	6085	6717
train	wl-tile-v1-06188	wl-neg-neg-es-pba-38388	neg-es-pba-38388	0	hard_negative	train	ES	A Medorra do Rañadoiro 1	Portomarín	Vilaxuste (San Pedro)		megalithic_mound	0.11498486	0.22737714	0.17118100	0.02614493	0.14870254	5490	4517	4982	5004	5184	6641
train	wl-tile-v1-06189	wl-neg-neg-es-pba-38389	neg-es-pba-38389	0	hard_negative	train	ES	A Medorra do Rañadoiro 2	Portomarín	Vilaxuste (San Pedro)		megalithic_mound	0.03825009	0.07655681	0.05740345	0.00292830	0.04974211	7533	6923	7290	7299	7418	7877
train	wl-tile-v1-06190	wl-neg-neg-es-pba-38420	neg-es-pba-38420	0	hard_negative	train	ES	A Medorra do Rañadoiro 3	Portomarín	Vilaxuste (San Pedro)		megalithic_mound	0.10587792	0.05177585	0.07882688	0.00548192	0.08964730	5678	7537	6744	6769	6352	6854
train	wl-tile-v1-03920	wl-neg-neg-es-pba-15468	neg-es-pba-15468	0	hard_negative	train	ES	A Medorra/Mámoa de Aldea de Abaixo 1	Ordes	Beán (Santa María)		megalithic_mound	0.12435018	0.07744198	0.10089608	0.00962992	0.11027772	5307	6901	6213	6144	5876	5723
train	wl-tile-v1-03921	wl-neg-neg-es-pba-15469	neg-es-pba-15469	0	hard_negative	train	ES	A Medorra/Mámoa de Aldea de Abaixo 2	Ordes	Beán (Santa María)		megalithic_mound	0.12476538	0.10737840	0.11607189	0.01339711	0.11954929	5302	6277	5903	5779	5700	4867
train	wl-tile-v1-03922	wl-neg-neg-es-pba-15470	neg-es-pba-15470	0	hard_negative	train	ES	A Medorra/Mámoa de Aldea de Abaixo 3	Ordes	Beán (Santa María)		megalithic_mound	0.03904396	0.06275863	0.05090130	0.00245035	0.04615836	7507	7259	7474	7434	7528	7329
train	wl-tile-v1-03923	wl-neg-neg-es-pba-15471	neg-es-pba-15471	0	hard_negative	train	ES	A Medorra/Mámoa de Aldea de Abaixo 4	Ordes	Beán (Santa María)		megalithic_mound	0.02835865	0.04230092	0.03532978	0.00119960	0.03254133	7881	7797	7940	7904	7935	7953
train	wl-tile-v1-05091	wl-neg-neg-es-pba-42396	neg-es-pba-42396	0	hard_negative	train	ES	A Medorriña/Medorra do Coto Redondo	Baralla	Pacios (Santa María)		megalithic_mound	0.30375069	0.30684790	0.30529929	0.09320526	0.30467985	3405	3807	3637	3552	3546	4432
train	wl-tile-v1-05007	wl-neg-neg-es-pba-38985	neg-es-pba-38985	0	hard_negative	train	ES	A Mina	A Pobra do Brollón	Ferreiros (San Salvador)		mining_or_quarry	0.77558197	0.96117695	0.86837946	0.74547151	0.83126046	1496	703	1150	1162	1289	1997
train	wl-tile-v1-07427	wl-neg-neg-es-pba-60601	neg-es-pba-60601	0	hard_negative	train	ES	A Mina dos Lameiros	Vilardevós	Vilar de Cervos (San Vicente)		mining_or_quarry	0.26938604	0.35709271	0.31323937	0.09619579	0.29569804	3639	3469	3578	3521	3612	4680
train	wl-tile-v1-06609	wl-neg-neg-es-pba-30140	neg-es-pba-30140	0	hard_negative	train	ES	A Modia	Xermade	Xermade (Santa María)		megalithic_mound	0.70931008	0.47859850	0.59395429	0.33947474	0.64009661	1710	2805	2149	2161	1928	2256
train	wl-tile-v1-06482	wl-neg-neg-es-pba-43240	neg-es-pba-43240	0	hard_negative	train	ES	A Modia de Gocendre	Vilalba	Goiriz (Santiago)		megalithic_mound	0.44310763	0.45692397	0.45001580	0.20246650	0.44725253	2660	2932	2783	2726	2739	3501
train	wl-tile-v1-06610	wl-neg-neg-es-pba-30141	neg-es-pba-30141	0	hard_negative	train	ES	A Modia/Medoña da Zaipa	Xermade	Xermade (Santa María)		megalithic_mound	0.32120353	0.15407840	0.23764097	0.04949053	0.27106599	3306	5455	4211	4260	3792	4300
train	wl-tile-v1-05008	wl-neg-neg-es-pba-38986	neg-es-pba-38986	0	hard_negative	train	ES	A Modorra	A Pobra do Brollón	Eixón (San Xurxo)		megalithic_mound	0.89246631	0.76458404	0.82852517	0.68236549	0.85410163	1028	1669	1297	1300	1201	1417
train	wl-tile-v1-06046	wl-neg-neg-es-pba-37805	neg-es-pba-37805	0	hard_negative	train	ES	A Modorra Grande	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	0.13860123	0.15803668	0.14831896	0.02190408	0.14443187	5062	5390	5339	5227	5260	6242
train	wl-tile-v1-06044	wl-neg-neg-es-pba-37803	neg-es-pba-37803	0	hard_negative	train	ES	A Modorra de Bacorelle	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	0.49838180	0.53429676	0.51633928	0.26628378	0.50915629	2405	2573	2465	2416	2436	3195
train	wl-tile-v1-06316	wl-neg-neg-es-pba-42147	neg-es-pba-42147	0	hard_negative	train	ES	A Modorra do Cruceiro	Sarria	Santalla de Arxemil (Santalla)		megalithic_mound	0.30082082	0.46890102	0.38486092	0.14105519	0.35124488	3422	2869	3128	3096	3234	4451
train	wl-tile-v1-06045	wl-neg-neg-es-pba-37804	neg-es-pba-37804	0	hard_negative	train	ES	A Modorra dos Chaos	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	0.07021376	0.19615511	0.13318443	0.01377279	0.10799616	6506	4878	5595	5744	5929	7623
train	wl-tile-v1-07326	wl-neg-neg-es-pba-56894	neg-es-pba-56894	0	hard_negative	train	ES	A Muria/O Foio	Rubiá	O Barrio de Cascallá (Nosa Señora da Asunción)		mining_or_quarry	0.43347639	0.57036308	0.50191974	0.24723893	0.47454240	2714	2400	2537	2510	2609	3310
train	wl-tile-v1-03540	wl-neg-neg-es-pba-10048	neg-es-pba-10048	0	hard_negative	train	ES	A Mámoa	Fisterra	Duio (San Vicenzo)		megalithic_mound	0.15343169	0.19483804	0.17413486	0.02989433	0.16585359	4840	4900	4939	4843	4912	6011
train	wl-tile-v1-09448	wl-neg-neg-es-pba-74608	neg-es-pba-74608	0	hard_negative	train	ES	A Mámoa 2	Vila de Cruces	Ferreirós (San Xes)		megalithic_mound	0.10626427	0.07240832	0.08933629	0.00769442	0.09610748	5668	7025	6505	6425	6199	6843
train	wl-tile-v1-06043	wl-neg-neg-es-pba-37802	neg-es-pba-37802	0	hard_negative	train	ES	A Mámoa 3	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	0.35208260	0.61306275	0.48257268	0.21584873	0.43037665	3126	2222	2617	2655	2815	4075
train	wl-tile-v1-07113	wl-neg-neg-es-pba-51258	neg-es-pba-51258	0	hard_negative	train	ES	A Mámoa de Calvelo	Maceda	Zorelle (Santiago)		megalithic_mound	0.52606981	0.27424137	0.40015559	0.14427011	0.45052128	2296	4076	3051	3073	2722	2488
train	wl-tile-v1-03026	wl-neg-neg-es-pba-884	neg-es-pba-884	0	hard_negative	train	ES	A Mámoa de Costa da Vide	Aranga	Cambás (San Pedro)		megalithic_mound	0.33229829	0.19642294	0.26436061	0.06527101	0.29153568	3234	4871	3958	3928	3655	4212
train	wl-tile-v1-03027	wl-neg-neg-es-pba-885	neg-es-pba-885	0	hard_negative	train	ES	A Mámoa de Ferreiros	Aranga	Vilarraso (San Lourenzo)		megalithic_mound	0.28857028	0.03656027	0.16256528	0.01055021	0.21296728	3500	7949	5121	6047	4332	4557
train	wl-tile-v1-03028	wl-neg-neg-es-pba-886	neg-es-pba-886	0	hard_negative	train	ES	A Mámoa de Vilarraso	Aranga	Vilarraso (San Lourenzo)		megalithic_mound	0.17985571	0.29498977	0.23742274	0.05305559	0.21439593	4473	3907	4212	4178	4315	2866
train	wl-tile-v1-03029	wl-neg-neg-es-pba-887	neg-es-pba-887	0	hard_negative	train	ES	A Mámoa do Marco de Buño	Aranga	Cambás (San Pedro)		megalithic_mound	0.27187412	0.35011367	0.31099390	0.09518685	0.29534599	3617	3514	3594	3533	3620	4710
train	wl-tile-v1-03030	wl-neg-neg-es-pba-888	neg-es-pba-888	0	hard_negative	train	ES	A Mámoa do Monte dos Croios Brancos	Aranga	Aranga (San Paio)		megalithic_mound	0.05316761	0.07577196	0.06446978	0.00402861	0.05994891	7022	6940	7108	7038	7104	7994
train	wl-tile-v1-03031	wl-neg-neg-es-pba-889	neg-es-pba-889	0	hard_negative	train	ES	A Mámoa do Pousadoiro	Aranga	Aranga (San Paio)		megalithic_mound	0.17983901	0.33802069	0.25892985	0.06078931	0.22729351	4475	3589	4006	4008	4196	4152
train	wl-tile-v1-03032	wl-neg-neg-es-pba-890	neg-es-pba-890	0	hard_negative	train	ES	A Mámoa/A Medoña	Aranga	Aranga (San Paio)		megalithic_mound	0.04455126	0.09453392	0.06954259	0.00421161	0.05954606	7355	6531	6984	6991	7121	8171
train	wl-tile-v1-07327	wl-neg-neg-es-pba-56895	neg-es-pba-56895	0	hard_negative	train	ES	A Pala I	Rubiá	O Porto (San Cristovo)		mining_or_quarry	0.13541140	0.38074460	0.25807800	0.05155716	0.20901136	5112	3336	4011	4210	4364	4299
train	wl-tile-v1-07328	wl-neg-neg-es-pba-56896	neg-es-pba-56896	0	hard_negative	train	ES	A Pala I	Rubiá	O Porto (San Cristovo)		mining_or_quarry	0.06696991	0.22981082	0.14839037	0.01539041	0.11582218	6612	4497	5338	5638	5765	6957
train	wl-tile-v1-07329	wl-neg-neg-es-pba-56897	neg-es-pba-56897	0	hard_negative	train	ES	A Pala I	Rubiá	O Porto (San Cristovo)		mining_or_quarry	0.17010277	0.15069162	0.16039719	0.02563306	0.16427942	4602	5511	5147	5034	4934	5555
train	wl-tile-v1-07330	wl-neg-neg-es-pba-56923	neg-es-pba-56923	0	hard_negative	train	ES	A Pala I	Rubiá	O Porto (San Cristovo)		mining_or_quarry	0.12247384	0.12736045	0.12491714	0.01559832	0.12393982	5346	5907	5748	5613	5608	4572
train	wl-tile-v1-07331	wl-neg-neg-es-pba-56924	neg-es-pba-56924	0	hard_negative	train	ES	A Pala II	Rubiá	O Porto (San Cristovo)		mining_or_quarry	0.30897406	0.51011009	0.40954207	0.15761078	0.36931487	3374	2675	2994	2982	3123	4393
train	wl-tile-v1-07332	wl-neg-neg-es-pba-56925	neg-es-pba-56925	0	hard_negative	train	ES	A Pala II	Rubiá	O Porto (San Cristovo)		mining_or_quarry	0.35997663	0.49066480	0.42532072	0.17662786	0.39918308	3083	2753	2902	2861	2977	4018
train	wl-tile-v1-07333	wl-neg-neg-es-pba-56926	neg-es-pba-56926	0	hard_negative	train	ES	A Pala II	Rubiá	O Porto (San Cristovo)		mining_or_quarry	0.58329920	0.43777545	0.51053733	0.25535407	0.53964208	2096	3015	2492	2466	2309	2775
train	wl-tile-v1-06262	wl-neg-neg-es-pba-40686	neg-es-pba-40686	0	hard_negative	train	ES	A Pedra Chantada	Ribeira de Piquín	Navallos (San Pedro)		megalithic_mound	0.30166552	0.15295569	0.22731060	0.04614146	0.25705257	3416	5470	4315	4332	3908	4235
train	wl-tile-v1-05315	wl-neg-neg-es-pba-29114	neg-es-pba-29114	0	hard_negative	train	ES	A Torre do Braña/As Torres	Cospeito	Vilapene (Santa María)		historic_fortification	0.97742200	0.97900160	0.97821180	0.95689770	0.97789588	375	519	371	370	353	684
train	wl-tile-v1-06611	wl-neg-neg-es-pba-30142	neg-es-pba-30142	0	hard_negative	train	ES	Abrigo Curaceiro 1	Xermade	Burgás (Santa Baia)		rock_art_surface	0.91731455	0.95359704	0.93545579	0.87474844	0.92819930	885	774	756	756	790	1255
train	wl-tile-v1-05678	wl-neg-neg-es-pba-34130	neg-es-pba-34130	0	hard_negative	train	ES	Abrigo da Pena da Capela	Mondoñedo	Figueiras (San Martiño)		rock_art_surface	0.25032610	0.29341569	0.27187089	0.07344960	0.26325298	3792	3915	3891	3798	3851	4905
train	wl-tile-v1-06483	wl-neg-neg-es-pba-43242	neg-es-pba-43242	0	hard_negative	train	ES	Abrigo de Dos Niñas	Vilalba	Santaballa (San Pedro)		rock_art_surface	0.91987070	0.97660207	0.94823639	0.89834763	0.93689011	864	555	678	679	741	1234
train	wl-tile-v1-06047	wl-neg-neg-es-pba-37807	neg-es-pba-37807	0	hard_negative	train	ES	Abrigo de Monte Agudo	Paradela	Santalla de Paradela (Santalla)		rock_art_surface	0.76430748	0.98152356	0.87291552	0.75018579	0.82947230	1529	477	1126	1146	1297	244
train	wl-tile-v1-05679	wl-neg-neg-es-pba-34131	neg-es-pba-34131	0	hard_negative	train	ES	Abrigo de Monte Lourido	Mondoñedo	A Couboeira (Santa María Madanela)		rock_art_surface	0.45337544	0.61061334	0.53199439	0.27683709	0.50054681	2612	2233	2404	2376	2478	2288
train	wl-tile-v1-06317	wl-neg-neg-es-pba-42148	neg-es-pba-42148	0	hard_negative	train	ES	Abrigo de Pena Moura	Sarria	Barbadelo (Santiago)		rock_art_surface	0.91695225	0.91780015	0.91737620	0.84157891	0.91720662	890	1023	884	878	862	903
train	wl-tile-v1-09350	wl-neg-neg-es-pba-70706	neg-es-pba-70706	0	hard_negative	train	ES	Achado de Areeiro	Tomiño	Tebra (Santa María)		rock_art_surface	0.02666947	0.14852751	0.08759849	0.00396115	0.06322688	7942	5549	6550	7054	7005	3840
train	wl-tile-v1-05062	wl-neg-neg-es-pba-26911	neg-es-pba-26911	0	hard_negative	train	ES	Agro da Mámoa/Mámoa de Árbol	Antas de Ulla	Árbol (Santalla)		megalithic_mound	0.02444510	0.04882784	0.03663647	0.00119360	0.03175992	8027	7625	7895	7909	7965	8475
train	wl-tile-v1-07433	wl-neg-neg-es-pba-65159	neg-es-pba-65159	0	hard_negative	train	ES	Aloque/Almarra/Bouziña de Moledo	A Guarda	Camposancos (Santa Isabel)		roman_built_context	0.07337124	0.04481344	0.05909234	0.00328802	0.06480390	6429	7728	7244	7210	6960	4157
train	wl-tile-v1-06066	wl-neg-neg-es-pba-36986	neg-es-pba-36986	0	hard_negative	train	ES	Alto da Medorra	Pedrafita do Cebreiro	Zanfoga (San Martiño)		megalithic_mound	0.97730934	0.99383086	0.98557010	0.97128018	0.98226580	378	268	272	273	296	688
train	wl-tile-v1-08724	wl-neg-neg-es-pba-68165	neg-es-pba-68165	0	hard_negative	train	ES	Anta do Meixueiro/Anta de Meixoeiro	Mos	Cela (San Pedro)		rock_art_surface	0.55673100	0.55236147	0.55454624	0.30751676	0.55542014	2189	2485	2315	2256	2243	2899
train	wl-tile-v1-09423	wl-neg-neg-es-pba-73288	neg-es-pba-73288	0	hard_negative	train	ES	Ara votiva de San Mamede de Martores	Valga	Valga (San Miguel)		roman_built_context	0.24001400	0.45420596	0.34710998	0.10901579	0.30427159	3881	2948	3350	3382	3548	3775
train	wl-tile-v1-07114	wl-neg-neg-es-pba-51261	neg-es-pba-51261	0	hard_negative	train	ES	As Cerdeiras	Maceda	Foncuberta (Santa María)		roman_built_context	0.22234607	0.31314829	0.26774718	0.06962729	0.24958674	4039	3746	3924	3860	3981	5181
train	wl-tile-v1-07334	wl-neg-neg-es-pba-56959	neg-es-pba-56959	0	hard_negative	train	ES	As Cheices	Rubiá	Quereño (San Cristovo)		mining_or_quarry	0.90417126	0.99146507	0.94781816	0.89645422	0.93035940	957	316	683	688	775	266
train	wl-tile-v1-07335	wl-neg-neg-es-pba-56960	neg-es-pba-56960	0	hard_negative	train	ES	As Cheices	Rubiá	Quereño (San Cristovo)		mining_or_quarry	0.04622936	0.06440581	0.05531759	0.00297744	0.05168230	7280	7196	7346	7291	7356	6564
train	wl-tile-v1-07336	wl-neg-neg-es-pba-56961	neg-es-pba-56961	0	hard_negative	train	ES	As Cheices	Rubiá	Quereño (San Cristovo)		mining_or_quarry	0.33295460	0.85110168	0.59202814	0.28337822	0.48839873	3230	1305	2160	2341	2534	2093
train	wl-tile-v1-07337	wl-neg-neg-es-pba-56962	neg-es-pba-56962	0	hard_negative	train	ES	As Cheices	Rubiá	Quereño (San Cristovo)		mining_or_quarry	0.70473241	0.93762784	0.82118013	0.66077673	0.77460104	1724	893	1326	1349	1478	1348
train	wl-tile-v1-07434	wl-neg-neg-es-pba-65197	neg-es-pba-65197	0	hard_negative	train	ES	As Covas	A Guarda	Salcidos (San Lourenzo)		roman_built_context	0.37053714	0.57020398	0.47037056	0.21128175	0.43043719	3017	2401	2682	2672	2813	699
train	wl-tile-v1-05772	wl-neg-neg-es-pba-35096	neg-es-pba-35096	0	hard_negative	train	ES	As Covas de Castañedo	Navia de Suarna	Castañedo (Santiago)		rock_art_surface	0.78279268	0.93171908	0.85725588	0.72934288	0.82747060	1475	934	1201	1205	1306	268
train	wl-tile-v1-08419	wl-neg-neg-es-pba-66262	neg-es-pba-66262	0	hard_negative	train	ES	As Laxes	Gondomar	Couso (San Cristovo)		rock_art_surface	0.17798440	0.23550517	0.20674479	0.04191625	0.19524063	4499	4431	4533	4438	4530	5684
train	wl-tile-v1-07686	wl-neg-neg-es-pba-66074	neg-es-pba-66074	0	hard_negative	train	ES	As Mamuelas 1	Agolada	Ventosa (San Xulián)		megalithic_mound	0.25939132	0.37541354	0.31740243	0.09737901	0.29419799	3713	3373	3549	3506	3632	4822
train	wl-tile-v1-07687	wl-neg-neg-es-pba-66075	neg-es-pba-66075	0	hard_negative	train	ES	As Mamuelas 2	Agolada	Ventosa (San Xulián)		megalithic_mound	0.05725025	0.11404314	0.08564669	0.00652900	0.07428812	6912	6124	6599	6605	6746	7917
train	wl-tile-v1-07688	wl-neg-neg-es-pba-66076	neg-es-pba-66076	0	hard_negative	train	ES	As Mamuelas 3	Agolada	Ventosa (San Xulián)		megalithic_mound	0.07660137	0.10291012	0.08975574	0.00788306	0.08449399	6364	6366	6491	6398	6475	6539
train	wl-tile-v1-07689	wl-neg-neg-es-pba-66077	neg-es-pba-66077	0	hard_negative	train	ES	As Mamuelas 4	Agolada	Ventosa (San Xulián)		megalithic_mound	0.07145543	0.13136522	0.10141032	0.00938676	0.08942837	6473	5821	6201	6176	6358	5710
train	wl-tile-v1-07690	wl-neg-neg-es-pba-66078	neg-es-pba-66078	0	hard_negative	train	ES	As Mamuelas 5	Agolada	Ventosa (San Xulián)		megalithic_mound	0.08515497	0.09279832	0.08897664	0.00790224	0.08744797	6168	6554	6517	6394	6407	6076
train	wl-tile-v1-07691	wl-neg-neg-es-pba-66079	neg-es-pba-66079	0	hard_negative	train	ES	As Mamuelas 6	Agolada	Ventosa (San Xulián)		megalithic_mound	0.10629474	0.31459578	0.21044526	0.03343988	0.16878505	5666	3736	4495	4705	4880	6842
train	wl-tile-v1-06191	wl-neg-neg-es-pba-38423	neg-es-pba-38423	0	hard_negative	train	ES	As Medorras	Portomarín	Caborrecelle (San Xulián)		megalithic_mound	0.11358552	0.06738461	0.09048507	0.00765392	0.09972525	5519	7130	6469	6431	6115	5424
train	wl-tile-v1-05762	wl-neg-neg-es-pba-35258	neg-es-pba-35258	0	hard_negative	train	ES	As Medorras/A Casa das Mouras/Medorra de Ligonde 1	Monterroso	Ligonde (Santiago)		megalithic_mound	0.07184325	0.10985526	0.09084925	0.00789236	0.08324685	6464	6220	6462	6397	6513	4052
train	wl-tile-v1-05763	wl-neg-neg-es-pba-35259	neg-es-pba-35259	0	hard_negative	train	ES	As Medorras/A Casa das Mouras/Medorra de Ligonde 2	Monterroso	Ligonde (Santiago)		megalithic_mound	0.08724599	0.07327854	0.08026227	0.00639326	0.08305576	6115	6998	6720	6624	6518	5943
train	wl-tile-v1-05764	wl-neg-neg-es-pba-35260	neg-es-pba-35260	0	hard_negative	train	ES	As Medorras/A Casa das Mouras/Medorra de Ligonde 3	Monterroso	Ligonde (Santiago)		megalithic_mound	0.13094565	0.08505727	0.10800146	0.01113788	0.11717914	5186	6731	6049	5989	5746	6366
train	wl-tile-v1-05765	wl-neg-neg-es-pba-35282	neg-es-pba-35282	0	hard_negative	train	ES	As Medorras/A Casa das Mouras/Medorra de Ligonde 4	Monterroso	Ligonde (Santiago)		megalithic_mound	0.05775967	0.06265360	0.06020663	0.00361885	0.05922785	6897	7261	7214	7131	7135	7904
train	wl-tile-v1-03924	wl-neg-neg-es-pba-15509	neg-es-pba-15509	0	hard_negative	train	ES	As Medorras/Mámoa das Medorras de Santa Cruz	Ordes	Santa Cruz de Montaos (Santa Cruz)		megalithic_mound	0.34294949	0.38561970	0.36428460	0.13224808	0.35575055	3184	3304	3241	3168	3209	4148
train	wl-tile-v1-06053	wl-neg-neg-es-pba-37845	neg-es-pba-37845	0	hard_negative	train	ES	As Modorras 1	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	0.06833951	0.05195417	0.06014684	0.00355052	0.06342391	6566	7529	7215	7147	6996	7668
train	wl-tile-v1-06054	wl-neg-neg-es-pba-37846	neg-es-pba-37846	0	hard_negative	train	ES	As Modorras 2	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	0.02957925	0.04611017	0.03784471	0.00136390	0.03453853	7836	7698	7858	7828	7870	5495
