queue	priority_order	dataset	final_split	sample_id	bank_id	label_class	label_role	name	municipality	parish	country	longitude	latitude	fusion_probability	fusion_rank	max_safety_rank	archetype_only_rank	rank_delta_fusion_to_max	negative_type	morphology_proxy	review_reason
holdout_top_false_positives	20	holdouts	test_trasancos	wl-neg-neg-es-pba-24845	neg-es-pba-24845	0	hard_negative	Mámoa de Loira	Valdoviño	Loira (San Pedro)	ES	-8.096451014104767	43.60704957345368	0.35506574	74	89	71	-15	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	21	holdouts	test_trasancos	wl-neg-neg-es-pba-9947	neg-es-pba-9947	0	hard_negative	Mámoa de Leixa 1	Ferrol	Leixa (San Pedro)	ES	-8.198684457741432	43.52031757782413	0.32482753	77	97	171	-20	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	22	holdouts	test_trasancos	wl-neg-neg-es-pba-24850	neg-es-pba-24850	0	hard_negative	Mámoa de Rioboo 2/Mámoa de Canteiros 2/M moas do Val	Valdoviño	Meirás (San Vicente)	ES	-8.199558404399172	43.572796295406846	0.32378712	78	98	202	-20	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	23	holdouts	test_trasancos	wl-neg-neg-es-pba-10008	neg-es-pba-10008	0	hard_negative	Mámoa dos Montes de Brión I-10	Ferrol	Brión (Santa María)	ES	-8.28682938315165	43.480979979060415	0.32286611	79	87	60	-8	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	24	holdouts	test_o_val	wl-neg-neg-es-pba-14299	neg-es-pba-14299	0	hard_negative	Mámoa do Val/Mámoa de Santa Margarida	Narón	O Val (Santa María A Maior)	ES	-8.20522866984784	43.546610330164974	0.32277415	80	99	83	-19	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	25	holdouts	test_trasancos	wl-neg-neg-es-pba-10013	neg-es-pba-10013	0	hard_negative	Mámoa dos Montes de Brión I-6	Ferrol	Brión (Santa María)	ES	-8.28604813778096	43.48276680801758	0.30532703	81	100	73	-19	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_low_rank_positives	1	holdouts	test_o_val	wl-pos-pos-es-pba-14588	pos-es-pba-14588	1	positive	Castro de Pena Lopesa	Narón	O Val (Santa María A Maior)	ES	-8.22594601477777	43.57701844556937	0.06230073	199	72	47	127		hilltop_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	2	holdouts	test_trasancos	wl-pos-pos-es-pba-10165	pos-es-pba-10165	1	positive	Monte do Castro/Castro de Vilela	Ferrol	Mandiá (Santa Uxía)	ES	-8.239830294287893	43.524029972263946	0.11178112	172	123	99	49		hilltop_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	3	holdouts	test_trasancos	wl-pos-pos-es-pba-14590	pos-es-pba-14590	1	positive	Castro de Santo Estevo	Narón	Sedes (Santo Estevo)	ES	-8.136844261989637	43.55153816561511	0.13038397	164	184	166	-20		generic_castro_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	4	holdouts	test_trasancos	wl-pos-pos-es-pba-24337	pos-es-pba-24337	1	positive	Os Castros	Valdoviño	Pantín (Santiago)	ES	-8.093620081527554	43.639579102678184	0.13453320	160	90	62	70		generic_castro_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	5	holdouts	test_trasancos	wl-pos-pos-es-pba-20704	pos-es-pba-20704	1	positive	A Croa	San Sadurniño	Naraío (Santa María)	ES	-8.081000277632068	43.48946910625164	0.14655968	155	71	46	84		croa_top_ring_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	6	holdouts	test_trasancos	wl-pos-pos-es-pba-8709	pos-es-pba-8709	1	positive	Castro do Río Castro	Fene	Limodre (Santa Baia)	ES	-8.186321260418124	43.42396916091138	0.16775494	141	69	44	72		valley_or_river_edge_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	7	holdouts	test_trasancos	wl-pos-pos-es-pba-24677	pos-es-pba-24677	1	positive	Castro de Casianes	Valdoviño	Pantín (Santiago)	ES	-8.09873394334149	43.6341480312583	0.17325151	138	163	152	-25		generic_castro_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	8	holdouts	test_trasancos	wl-pos-pos-es-pba-24738	pos-es-pba-24738	1	positive	Castro e Mina do Pereiro	Valdoviño	Valdoviño (Santaia)	ES	-8.135936419804226	43.61914947103172	0.23039334	106	131	164	-25		generic_castro_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	9	holdouts	test_trasancos	wl-pos-pos-es-pba-8705	pos-es-pba-8705	1	positive	Castro de Barallobre	Fene	Barallobre (Santiago)	ES	-8.178759499653474	43.46407350807626	0.25615015	96	117	127	-21		generic_castro_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	10	holdouts	test_trasancos	wl-pos-pos-es-pba-14488	pos-es-pba-14488	1	positive	Castro de Ancos	Neda	Santa María de Neda (Santa María)	ES	-8.14047244366622	43.52154202964775	0.26730012	94	53	28	41		generic_castro_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	11	holdouts	test_trasancos	wl-pos-pos-es-pba-24674	pos-es-pba-24674	1	positive	Castro da Punta do Vico	Valdoviño	Valdoviño (Santaia)	ES	-8.147683735016127	43.62230830936563	0.26762530	93	25	13	68		coastal_promontory_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	12	holdouts	test_trasancos	wl-pos-pos-es-pba-9152	pos-es-pba-9152	1	positive	Castro de Canido	Ferrol	Ferrol	ES	-8.242723079720715	43.48378570961132	0.29191905	84	105	142	-21		generic_castro_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	13	holdouts	test_trasancos	wl-pos-pos-es-pba-14593	pos-es-pba-14593	1	positive	Castro de Trasancos	Narón	Trasancos (San Mateo)	ES	-8.220621570398505	43.54366705275839	0.33627011	76	93	67	-17		generic_castro_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	14	holdouts	test_trasancos	wl-pos-pos-es-pba-14589	pos-es-pba-14589	1	positive	Castro de Petouzal/Castro da Croa	Narón	Narón	ES	-8.17901516416762	43.501629521149226	0.34422154	75	92	147	-17		croa_top_ring_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	15	holdouts	test_trasancos	wl-pos-pos-es-pba-24335	pos-es-pba-24335	1	positive	O Castro	Valdoviño	Lago (Santiago)	ES	-8.17116511354815	43.59217497513028	0.35609470	72	86	119	-14		generic_castro_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	16	holdouts	test_trasancos	wl-pos-pos-es-pba-9183	pos-es-pba-9183	1	positive	Castro de Marmancón/Castro de Papoi	Ferrol	Marmancón (San Pedro)	ES	-8.249128691469277	43.539632953340096	0.37927244	65	78	64	-13		coastal_promontory_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	17	holdouts	test_trasancos	wl-pos-pos-es-pba-20784	pos-es-pba-20784	1	positive	Castro de croas de Ramil	San Sadurniño	Lamas (San Xiao)	ES	-8.042097773882631	43.54078893976058	0.39220577	62	75	128	-13		croa_top_ring_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	18	holdouts	test_trasancos	wl-pos-pos-es-pba-24705	pos-es-pba-24705	1	positive	Castro de Lagoa	Valdoviño	Pantín (Santiago)	ES	-8.119373302895987	43.63140985564435	0.40149863	61	58	35	3		generic_castro_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	19	holdouts	test_trasancos	wl-pos-pos-es-pba-9886	pos-es-pba-9886	1	positive	Porta do Castro/Arco do Cristo	Ferrol	Ferrol	ES	-8.242394964840896	43.47839760085566	0.40925940	59	70	183	-11		generic_castro_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	20	holdouts	test_trasancos	wl-pos-pos-es-pba-14336	pos-es-pba-14336	1	positive	O Castro	Narón	Castro (Santa María)	ES	-8.1781798324184	43.544581317028644	0.43335312	57	68	177	-11		generic_castro_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	21	holdouts	test_trasancos	wl-pos-pos-es-pba-24678	pos-es-pba-24678	1	positive	Castro de Coto Redondo	Valdoviño	Pantín (Santiago)	ES	-8.110405528230721	43.64384397902806	0.47510947	54	64	111	-10		hilltop_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	22	holdouts	test_trasancos	wl-pos-pos-es-pba-14592	pos-es-pba-14592	1	positive	Castro de Sequeiro/Castro de Narón	Narón	San Xiao de Narón (San Xiao)	ES	-8.172870217067269	43.53362624920575	0.47687365	52	62	191	-10		generic_castro_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	23	holdouts	test_trasancos	wl-pos-pos-es-pba-9154	pos-es-pba-9154	1	positive	Castro de Leixa/A Croa de Leixa	Ferrol	Leixa (San Pedro)	ES	-8.20836441392536	43.522706975089974	0.48876775	51	60	116	-9		croa_top_ring_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	24	holdouts	test_trasancos	wl-pos-pos-es-pba-9184	pos-es-pba-9184	1	positive	Castro de Santa Cecilia	Ferrol	Santa Cecilia de Trasancos (Santa Cecilia)	ES	-8.199972868867611	43.51103121295041	0.51840315	50	56	72	-6		generic_castro_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_low_rank_positives	25	holdouts	test_trasancos	wl-pos-pos-es-pba-9153	pos-es-pba-9153	1	positive	Castro de Ferrol Vello	Ferrol	Ferrol	ES	-8.242683156451365	43.47962400888347	0.52383388	49	55	42	-6		generic_castro_hint	Known positive ranked low by the main fusion model; inspect as false-negative morphology.
holdout_morphology_rescues	1	holdouts	test_o_val	wl-pos-pos-es-pba-14588	pos-es-pba-14588	1	positive	Castro de Pena Lopesa	Narón	O Val (Santa María A Maior)	ES	-8.22594601477777	43.57701844556937	0.06230073	199	72	47	127		hilltop_hint	Known positive moved upward by max_safety; inspect morphology archetype missed by the main model.
holdout_morphology_rescues	2	holdouts	test_trasancos	wl-pos-pos-es-pba-20704	pos-es-pba-20704	1	positive	A Croa	San Sadurniño	Naraío (Santa María)	ES	-8.081000277632068	43.48946910625164	0.14655968	155	71	46	84		croa_top_ring_hint	Known positive moved upward by max_safety; inspect morphology archetype missed by the main model.
holdout_morphology_rescues	3	holdouts	test_trasancos	wl-pos-pos-es-pba-8709	pos-es-pba-8709	1	positive	Castro do Río Castro	Fene	Limodre (Santa Baia)	ES	-8.186321260418124	43.42396916091138	0.16775494	141	69	44	72		valley_or_river_edge_hint	Known positive moved upward by max_safety; inspect morphology archetype missed by the main model.
holdout_morphology_rescues	4	holdouts	test_trasancos	wl-pos-pos-es-pba-24337	pos-es-pba-24337	1	positive	Os Castros	Valdoviño	Pantín (Santiago)	ES	-8.093620081527554	43.639579102678184	0.13453320	160	90	62	70		generic_castro_hint	Known positive moved upward by max_safety; inspect morphology archetype missed by the main model.
holdout_morphology_rescues	5	holdouts	test_trasancos	wl-pos-pos-es-pba-24674	pos-es-pba-24674	1	positive	Castro da Punta do Vico	Valdoviño	Valdoviño (Santaia)	ES	-8.147683735016127	43.62230830936563	0.26762530	93	25	13	68		coastal_promontory_hint	Known positive moved upward by max_safety; inspect morphology archetype missed by the main model.
holdout_morphology_rescues	6	holdouts	test_trasancos	wl-pos-pos-es-pba-10165	pos-es-pba-10165	1	positive	Monte do Castro/Castro de Vilela	Ferrol	Mandiá (Santa Uxía)	ES	-8.239830294287893	43.524029972263946	0.11178112	172	123	99	49		hilltop_hint	Known positive moved upward by max_safety; inspect morphology archetype missed by the main model.
holdout_morphology_rescues	7	holdouts	test_trasancos	wl-pos-pos-es-pba-14488	pos-es-pba-14488	1	positive	Castro de Ancos	Neda	Santa María de Neda (Santa María)	ES	-8.14047244366622	43.52154202964775	0.26730012	94	53	28	41		generic_castro_hint	Known positive moved upward by max_safety; inspect morphology archetype missed by the main model.
holdout_morphology_rescues	8	holdouts	test_trasancos	wl-pos-pos-es-pba-24712	pos-es-pba-24712	1	positive	Castro de Vilarrube/Os Castros de Ferreirías	Valdoviño	Pantín (Santiago)	ES	-8.08589185535877	43.637237042304854	0.67035158	31	7	7	24		generic_castro_hint	Known positive moved upward by max_safety; inspect morphology archetype missed by the main model.
holdout_morphology_rescues	9	holdouts	test_trasancos	wl-pos-pos-es-pba-14519	pos-es-pba-14519	1	positive	Castros	Neda	Santa María de Neda (Santa María)	ES	-8.149740461365019	43.50786201500216	0.85008031	15	5	5	10		generic_castro_hint	Known positive moved upward by max_safety; inspect morphology archetype missed by the main model.
holdout_morphology_rescues	10	holdouts	test_trasancos	wl-pos-pos-es-pba-24705	pos-es-pba-24705	1	positive	Castro de Lagoa	Valdoviño	Pantín (Santiago)	ES	-8.119373302895987	43.63140985564435	0.40149863	61	58	35	3		generic_castro_hint	Known positive moved upward by max_safety; inspect morphology archetype missed by the main model.
holdout_morphology_rescues	11	holdouts	test_trasancos	wl-pos-pos-es-pba-24709	pos-es-pba-24709	1	positive	Castro de Punta Frouxeira	Valdoviño	Valdoviño (Santaia)	ES	-8.148872875517807	43.618480398789906	0.93602800	7	4	4	3		coastal_promontory_hint	Known positive moved upward by max_safety; inspect morphology archetype missed by the main model.
holdout_morphology_rescues	12	holdouts	test_trasancos	wl-pos-pos-es-pba-24710	pos-es-pba-24710	1	positive	Castro de Punta Taraza	Valdoviño	Meirás (San Vicente)	ES	-8.198712287595123	43.60215405961929	0.96686012	4	3	3	1		coastal_promontory_hint	Known positive moved upward by max_safety; inspect morphology archetype missed by the main model.
holdout_morphology_rescues	13	holdouts	test_trasancos	wl-pos-pos-es-pba-10262	pos-es-pba-10262	1	positive	Necrópole de Santa Comba/Castro de Santa Comba	Ferrol	Covas (San Martiño)	ES	-8.282642845995516	43.559082757693524	0.97212417	3	2	2	1		generic_castro_hint	Known positive moved upward by max_safety; inspect morphology archetype missed by the main model.
val_top_weak_negatives	1	val	val	wl-neg-neg-es-pba-43202	neg-es-pba-43202	0	hard_negative	O Castelo	O Vicedo	San Román de Vale (San Román)	ES	-7.649716659791161	43.73979523101907	0.95035334	43	90	110	-47	historic_fortification		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	2	val	val	wl-neg-neg-es-pba-66744	neg-es-pba-66744	0	hard_negative	Mámoa de Outeiro	Meis	Meis (San Salvador)	ES	-8.728320622467985	42.502223980991474	0.93649696	52	106	148	-54	megalithic_mound		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	3	val	val	wl-neg-neg-es-pba-64716	neg-es-pba-64716	0	hard_negative	Artesa dos Mouros	A Estrada	Callobre (San Martiño)	ES	-8.439322851707587	42.70877689915728	0.92718412	56	117	156	-61	megalithic_mound		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	4	val	val	wl-neg-neg-es-pba-29293	neg-es-pba-29293	0	hard_negative	O Castelo	Chantada	Pedrafita (Santa Baia)	ES	-7.744165519059862	42.66039310678573	0.92009952	64	131	236	-67	historic_fortification		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	5	val	val	wl-neg-neg-es-pba-61897	neg-es-pba-61897	0	hard_negative	Petróglifo do Monte Castelo	Cambados	Castrelo (Santa Cruz)	ES	-8.81471825153696	42.47067040256831	0.86993465	98	156	125	-58	rock_art_surface		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	6	val	val	wl-neg-neg-es-pba-13768	neg-es-pba-13768	0	hard_negative	Mámoa de Vilachá 4	Monfero	O Alto de Xestoso (Santa María)	ES	-7.933047075263257	43.364297501829014	0.84076929	126	221	1721	-95	megalithic_mound		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	7	val	val	wl-neg-neg-es-pba-71376	neg-es-pba-71376	0	hard_negative	Mámoa do Coto da Cruz 1	Salceda de Caselas	A Picoña (San Martiño)	ES	-8.550010560347589	42.12694262148482	0.82532299	137	162	129	-25	megalithic_mound		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	8	val	val	wl-neg-neg-es-pba-13691	neg-es-pba-13691	0	hard_negative	Mámoa da Armada	Monfero	O Alto de Xestoso (Santa María)	ES	-7.92308469670636	43.350970054874345	0.82370902	138	237	904	-99	megalithic_mound		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	9	val	val	wl-neg-neg-es-pba-64761	neg-es-pba-64761	0	hard_negative	Coto da Mámoa	A Estrada	Orazo (San Pedro)	ES	-8.356431499157418	42.74199468035481	0.82355366	139	238	528	-99	megalithic_mound		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	10	val	val	wl-neg-neg-es-pba-31891	neg-es-pba-31891	0	hard_negative	Medoña do Marco da Picota	Guitiriz	Santa Mariña de Lagostelle (Santa Mariña)	ES	-7.909246495526192	43.16321221370648	0.81119612	143	246	231	-103	megalithic_mound		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	11	val	val	wl-neg-neg-es-pba-36010	neg-es-pba-36010	0	hard_negative	Medorra do Coto 1	Outeiro de Rei	San Tomé de Gaioso (San Tom‚)	ES	-7.711660523297318	43.10754875115939	0.80427834	147	253	295	-106	megalithic_mound		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	12	val	val	wl-neg-neg-es-pba-29823	neg-es-pba-29823	0	hard_negative	Petróglifo do Piornedo	Cervantes	Donís (San Fiz)	ES	-6.875323294454912	42.85556027213712	0.78691695	161	271	321	-110	rock_art_surface		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	13	val	val	wl-neg-neg-es-pba-61896	neg-es-pba-61896	0	hard_negative	Petróglifo do Con das Sete Pías	Cambados	Oubiña (San Vicenzo)	ES	-8.781004818344071	42.524376037427814	0.78433788	163	107	86	56	rock_art_surface		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	14	val	val	wl-neg-neg-es-pba-30245	neg-es-pba-30245	0	hard_negative	Mámoa de Pena das Cruces	Guitiriz	Os Vilares (San Vicenzo)	ES	-7.929725982849318	43.23601523050398	0.77486085	168	280	324	-112	megalithic_mound		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	15	val	val	wl-neg-neg-es-pba-25994	neg-es-pba-25994	0	hard_negative	Mámoa das Lagoas 3	Vedra	Trobe (Santo André)	ES	-8.493886755582128	42.767404724121135	0.77278600	170	91	71	79	megalithic_mound		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	16	val	val	wl-neg-neg-es-pba-32009	neg-es-pba-32009	0	hard_negative	Medorra de Pegureiros 1	Guitiriz	As Negradas (San Vicenzo)	ES	-7.899188895191932	43.1181709476038	0.77180555	173	283	553	-110	megalithic_mound		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	17	val	val	wl-neg-neg-es-pba-32359	neg-es-pba-32359	0	hard_negative	Medoña das Casillas/Augas Longas	Guitiriz	Santa Mariña de Lagostelle (Santa Mariña)	ES	-7.9250203313299945	43.182760279517744	0.76339119	177	239	187	-62	megalithic_mound		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	18	val	val	wl-neg-neg-es-pba-31139	neg-es-pba-31139	0	hard_negative	Medorra de Casacabreira 5	A Fonsagrada	Monteseiro (San Bartolo)	ES	-6.9875412685714835	43.13781590194546	0.75911639	178	293	434	-115	megalithic_mound		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	19	val	val	wl-neg-neg-es-pba-35996	neg-es-pba-35996	0	hard_negative	A Medorra	Outeiro de Rei	Sobrada de Aguiar (Santa María Madanela)	ES	-7.531829204219744	43.12087868618973	0.75530238	181	297	761	-116	megalithic_mound		Weak-label negative ranked high on validation; inspect before treating it as true absence.
val_top_weak_negatives	20	val	val	wl-neg-neg-es-pba-32355	neg-es-pba-32355	0	hard_negative	Medoña da Roza da Modia Grande II-2	Guitiriz	O Buriz (San Pedro)	ES	-7.867486695481756	43.27278766875673	0.75354110	184	300	1454	-116	megalithic_mound		Weak-label negative ranked high on validation; inspect before treating it as true absence.
