dataset	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	fusion_probability	specialist_probability	fusion_specialist_mean	fusion_specialist_product	fusion70_specialist30	fusion_rank	specialist_rank	mean_rank	product_rank	fusion70_rank	max_safety_rank
train	wl-tile-v1-06189	wl-neg-neg-es-pba-38389	neg-es-pba-38389	0	hard_negative	train	ES	A Medorra do Rañadoiro 2	Portomarín	Vilaxuste (San Pedro)		megalithic_mound	0.09651507	0.07655681	0.08653594	0.00738889	0.09052759	6594	6923	6830	6808	6752	7756
train	wl-tile-v1-06190	wl-neg-neg-es-pba-38420	neg-es-pba-38420	0	hard_negative	train	ES	A Medorra do Rañadoiro 3	Portomarín	Vilaxuste (San Pedro)		megalithic_mound	0.08473945	0.05177585	0.06825765	0.00438746	0.07485037	6875	7537	7241	7259	7106	7956
train	wl-tile-v1-03920	wl-neg-neg-es-pba-15468	neg-es-pba-15468	0	hard_negative	train	ES	A Medorra/Mámoa de Aldea de Abaixo 1	Ordes	Beán (Santa María)		megalithic_mound	0.11262074	0.07744198	0.09503136	0.00872157	0.10206711	6257	6901	6634	6634	6487	5795
train	wl-tile-v1-03921	wl-neg-neg-es-pba-15469	neg-es-pba-15469	0	hard_negative	train	ES	A Medorra/Mámoa de Aldea de Abaixo 2	Ordes	Beán (Santa María)		megalithic_mound	0.14116888	0.10737840	0.12427364	0.01515849	0.13103174	5705	6277	6019	6006	5897	4857
train	wl-tile-v1-03922	wl-neg-neg-es-pba-15470	neg-es-pba-15470	0	hard_negative	train	ES	A Medorra/Mámoa de Aldea de Abaixo 3	Ordes	Beán (Santa María)		megalithic_mound	0.09063833	0.06275863	0.07669848	0.00568834	0.08227442	6734	7259	7054	7051	6941	7353
train	wl-tile-v1-03923	wl-neg-neg-es-pba-15471	neg-es-pba-15471	0	hard_negative	train	ES	A Medorra/Mámoa de Aldea de Abaixo 4	Ordes	Beán (Santa María)		megalithic_mound	0.06383719	0.04230092	0.05306905	0.00270037	0.05737631	7377	7797	7625	7636	7530	7976
train	wl-tile-v1-05091	wl-neg-neg-es-pba-42396	neg-es-pba-42396	0	hard_negative	train	ES	A Medorriña/Medorra do Coto Redondo	Baralla	Pacios (Santa María)		megalithic_mound	0.40440637	0.30684790	0.35562713	0.12409124	0.37513883	2971	3807	3388	3375	3215	3917
train	wl-tile-v1-05007	wl-neg-neg-es-pba-38985	neg-es-pba-38985	0	hard_negative	train	ES	A Mina	A Pobra do Brollón	Ferreiros (San Salvador)		mining_or_quarry	0.86189814	0.96117695	0.91153755	0.82843663	0.89168178	1039	703	895	900	951	1400
train	wl-tile-v1-07427	wl-neg-neg-es-pba-60601	neg-es-pba-60601	0	hard_negative	train	ES	A Mina dos Lameiros	Vilardevós	Vilar de Cervos (San Vicente)		mining_or_quarry	0.27458586	0.35709271	0.31583928	0.09805261	0.29933791	3912	3469	3651	3635	3747	4666
train	wl-tile-v1-06609	wl-neg-neg-es-pba-30140	neg-es-pba-30140	0	hard_negative	train	ES	A Modia	Xermade	Xermade (Santa María)		megalithic_mound	0.61626706	0.47859850	0.54743278	0.29494449	0.57496649	1920	2805	2360	2361	2173	2589
train	wl-tile-v1-06482	wl-neg-neg-es-pba-43240	neg-es-pba-43240	0	hard_negative	train	ES	A Modia de Gocendre	Vilalba	Goiriz (Santiago)		megalithic_mound	0.49639948	0.45692397	0.47666173	0.22681682	0.48455683	2471	2932	2690	2679	2598	3292
train	wl-tile-v1-06610	wl-neg-neg-es-pba-30141	neg-es-pba-30141	0	hard_negative	train	ES	A Modia/Medoña da Zaipa	Xermade	Xermade (Santa María)		megalithic_mound	0.23160856	0.15407840	0.19284348	0.03568588	0.20834951	4402	5455	4961	4977	4719	5628
train	wl-tile-v1-05008	wl-neg-neg-es-pba-38986	neg-es-pba-38986	0	hard_negative	train	ES	A Modorra	A Pobra do Brollón	Eixón (San Xurxo)		megalithic_mound	0.71926915	0.76458404	0.74192659	0.54994171	0.73286362	1554	1669	1580	1575	1565	2090
train	wl-tile-v1-06046	wl-neg-neg-es-pba-37805	neg-es-pba-37805	0	hard_negative	train	ES	A Modorra Grande	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	0.21999748	0.15803668	0.18901708	0.03476767	0.20140924	4537	5390	5011	5012	4823	5786
train	wl-tile-v1-06044	wl-neg-neg-es-pba-37803	neg-es-pba-37803	0	hard_negative	train	ES	A Modorra de Bacorelle	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	0.59356889	0.53429676	0.56393283	0.31714194	0.57578725	2026	2573	2274	2269	2168	2704
train	wl-tile-v1-06316	wl-neg-neg-es-pba-42147	neg-es-pba-42147	0	hard_negative	train	ES	A Modorra do Cruceiro	Sarria	Santalla de Arxemil (Santalla)		megalithic_mound	0.44054430	0.46890102	0.45472266	0.20657167	0.44905132	2778	2869	2792	2777	2794	3694
train	wl-tile-v1-06045	wl-neg-neg-es-pba-37804	neg-es-pba-37804	0	hard_negative	train	ES	A Modorra dos Chaos	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	0.27170375	0.19615511	0.23392943	0.05329608	0.24903916	3945	4878	4430	4423	4227	5149
train	wl-tile-v1-07326	wl-neg-neg-es-pba-56894	neg-es-pba-56894	0	hard_negative	train	ES	A Muria/O Foio	Rubiá	O Barrio de Cascallá (Nosa Señora da Asunción)		mining_or_quarry	0.32088570	0.57036308	0.44562439	0.18302136	0.39572891	3522	2400	2846	2921	3099	3249
train	wl-tile-v1-03540	wl-neg-neg-es-pba-10048	neg-es-pba-10048	0	hard_negative	train	ES	A Mámoa	Fisterra	Duio (San Vicenzo)		megalithic_mound	0.22319561	0.19483804	0.20901682	0.04348699	0.21468834	4501	4900	4737	4700	4652	5744
train	wl-tile-v1-09448	wl-neg-neg-es-pba-74608	neg-es-pba-74608	0	hard_negative	train	ES	A Mámoa 2	Vila de Cruces	Ferreirós (San Xes)		megalithic_mound	0.12165042	0.07240832	0.09702937	0.00880850	0.10687779	6064	7025	6588	6626	6387	7318
train	wl-tile-v1-06043	wl-neg-neg-es-pba-37802	neg-es-pba-37802	0	hard_negative	train	ES	A Mámoa 3	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	0.60528457	0.61306275	0.60917366	0.37107743	0.60761803	1975	2222	2095	2087	2050	2638
train	wl-tile-v1-07113	wl-neg-neg-es-pba-51258	neg-es-pba-51258	0	hard_negative	train	ES	A Mámoa de Calvelo	Maceda	Zorelle (Santiago)		megalithic_mound	0.25290998	0.27424137	0.26357568	0.06935838	0.25930940	4141	4076	4092	4061	4111	2408
train	wl-tile-v1-03026	wl-neg-neg-es-pba-884	neg-es-pba-884	0	hard_negative	train	ES	A Mámoa de Costa da Vide	Aranga	Cambás (San Pedro)		megalithic_mound	0.30354337	0.19642294	0.24998315	0.05962288	0.27140724	3659	4871	4241	4267	3996	4811
train	wl-tile-v1-03027	wl-neg-neg-es-pba-885	neg-es-pba-885	0	hard_negative	train	ES	A Mámoa de Ferreiros	Aranga	Vilarraso (San Lourenzo)		megalithic_mound	0.05195940	0.03656027	0.04425984	0.00189965	0.04733966	7693	7949	7860	7861	7807	8247
train	wl-tile-v1-03028	wl-neg-neg-es-pba-886	neg-es-pba-886	0	hard_negative	train	ES	A Mámoa de Vilarraso	Aranga	Vilarraso (San Lourenzo)		megalithic_mound	0.25449081	0.29498977	0.27474029	0.07507218	0.26664050	4123	3907	3990	3960	4029	2790
train	wl-tile-v1-03029	wl-neg-neg-es-pba-887	neg-es-pba-887	0	hard_negative	train	ES	A Mámoa do Marco de Buño	Aranga	Cambás (San Pedro)		megalithic_mound	0.33139330	0.35011367	0.34075349	0.11602533	0.33700941	3439	3514	3487	3458	3455	4534
train	wl-tile-v1-03030	wl-neg-neg-es-pba-888	neg-es-pba-888	0	hard_negative	train	ES	A Mámoa do Monte dos Croios Brancos	Aranga	Aranga (San Paio)		megalithic_mound	0.08869467	0.07577196	0.08223331	0.00672057	0.08481786	6778	6940	6933	6903	6890	7894
train	wl-tile-v1-03031	wl-neg-neg-es-pba-889	neg-es-pba-889	0	hard_negative	train	ES	A Mámoa do Pousadoiro	Aranga	Aranga (San Paio)		megalithic_mound	0.34723363	0.33802069	0.34262716	0.11737215	0.34446975	3337	3589	3476	3447	3406	4125
train	wl-tile-v1-03032	wl-neg-neg-es-pba-890	neg-es-pba-890	0	hard_negative	train	ES	A Mámoa/A Medoña	Aranga	Aranga (San Paio)		megalithic_mound	0.10780181	0.09453392	0.10116787	0.01019093	0.10382144	6361	6531	6498	6462	6453	7573
train	wl-tile-v1-07327	wl-neg-neg-es-pba-56895	neg-es-pba-56895	0	hard_negative	train	ES	A Pala I	Rubiá	O Porto (San Cristovo)		mining_or_quarry	0.25776179	0.38074460	0.31925320	0.09814141	0.29465663	4091	3336	3620	3634	3785	4269
train	wl-tile-v1-07328	wl-neg-neg-es-pba-56896	neg-es-pba-56896	0	hard_negative	train	ES	A Pala I	Rubiá	O Porto (San Cristovo)		mining_or_quarry	0.17129474	0.22981082	0.20055278	0.03936539	0.18884956	5210	4497	4855	4840	5005	6450
train	wl-tile-v1-07329	wl-neg-neg-es-pba-56897	neg-es-pba-56897	0	hard_negative	train	ES	A Pala I	Rubiá	O Porto (San Cristovo)		mining_or_quarry	0.07122071	0.15069162	0.11095616	0.01073236	0.09506198	7196	5511	6285	6405	6649	5619
train	wl-tile-v1-07330	wl-neg-neg-es-pba-56923	neg-es-pba-56923	0	hard_negative	train	ES	A Pala I	Rubiá	O Porto (San Cristovo)		mining_or_quarry	0.04908118	0.12736045	0.08822081	0.00625100	0.07256496	7768	5907	6796	6973	7167	4551
train	wl-tile-v1-07331	wl-neg-neg-es-pba-56924	neg-es-pba-56924	0	hard_negative	train	ES	A Pala II	Rubiá	O Porto (San Cristovo)		mining_or_quarry	0.39648804	0.51011009	0.45329906	0.20225255	0.43057465	3018	2675	2798	2803	2893	3988
train	wl-tile-v1-07332	wl-neg-neg-es-pba-56925	neg-es-pba-56925	0	hard_negative	train	ES	A Pala II	Rubiá	O Porto (San Cristovo)		mining_or_quarry	0.37145628	0.49066480	0.43106054	0.18226052	0.40721884	3175	2753	2924	2928	3015	4196
train	wl-tile-v1-07333	wl-neg-neg-es-pba-56926	neg-es-pba-56926	0	hard_negative	train	ES	A Pala II	Rubiá	O Porto (San Cristovo)		mining_or_quarry	0.25723197	0.43777545	0.34750371	0.11260984	0.31139502	4096	3015	3440	3494	3652	5312
train	wl-tile-v1-06262	wl-neg-neg-es-pba-40686	neg-es-pba-40686	0	hard_negative	train	ES	A Pedra Chantada	Ribeira de Piquín	Navallos (San Pedro)		megalithic_mound	0.17852129	0.15295569	0.16573849	0.02730585	0.17085161	5096	5470	5341	5313	5267	4215
train	wl-tile-v1-05315	wl-neg-neg-es-pba-29114	neg-es-pba-29114	0	hard_negative	train	ES	A Torre do Braña/As Torres	Cospeito	Vilapene (Santa María)		historic_fortification	0.97327791	0.97900160	0.97613975	0.95284063	0.97499502	361	519	415	412	395	588
train	wl-tile-v1-06611	wl-neg-neg-es-pba-30142	neg-es-pba-30142	0	hard_negative	train	ES	Abrigo Curaceiro 1	Xermade	Burgás (Santa Baia)		rock_art_surface	0.88855833	0.95359704	0.92107768	0.84732659	0.90806994	905	774	842	841	867	1246
train	wl-tile-v1-05678	wl-neg-neg-es-pba-34130	neg-es-pba-34130	0	hard_negative	train	ES	Abrigo da Pena da Capela	Mondoñedo	Figueiras (San Martiño)		rock_art_surface	0.17769619	0.29341569	0.23555594	0.05213885	0.21241204	5111	3915	4409	4448	4670	6367
train	wl-tile-v1-06483	wl-neg-neg-es-pba-43242	neg-es-pba-43242	0	hard_negative	train	ES	Abrigo de Dos Niñas	Vilalba	Santaballa (San Pedro)		rock_art_surface	0.94373372	0.97660207	0.96016790	0.92165231	0.95359423	613	555	575	575	586	888
train	wl-tile-v1-06047	wl-neg-neg-es-pba-37807	neg-es-pba-37807	0	hard_negative	train	ES	Abrigo de Monte Agudo	Paradela	Santalla de Paradela (Santalla)		rock_art_surface	0.93622524	0.98152356	0.95887440	0.91892713	0.94981473	659	477	583	583	616	243
train	wl-tile-v1-05679	wl-neg-neg-es-pba-34131	neg-es-pba-34131	0	hard_negative	train	ES	Abrigo de Monte Lourido	Mondoñedo	A Couboeira (Santa María Madanela)		rock_art_surface	0.35234419	0.61061334	0.48147877	0.21514606	0.42982494	3305	2233	2667	2733	2899	2185
train	wl-tile-v1-06317	wl-neg-neg-es-pba-42148	neg-es-pba-42148	0	hard_negative	train	ES	Abrigo de Pena Moura	Sarria	Barbadelo (Santiago)		rock_art_surface	0.89670298	0.91780015	0.90725156	0.82299413	0.90303213	866	1023	921	918	898	830
train	wl-tile-v1-09350	wl-neg-neg-es-pba-70706	neg-es-pba-70706	0	hard_negative	train	ES	Achado de Areeiro	Tomiño	Tebra (Santa María)		rock_art_surface	0.08067432	0.14852751	0.11460092	0.01198236	0.10103028	6966	5549	6204	6269	6518	3792
train	wl-tile-v1-05062	wl-neg-neg-es-pba-26911	neg-es-pba-26911	0	hard_negative	train	ES	Agro da Mámoa/Mámoa de Árbol	Antas de Ulla	Árbol (Santalla)		megalithic_mound	0.06985624	0.04882784	0.05934204	0.00341093	0.06354772	7229	7625	7450	7451	7374	8167
train	wl-tile-v1-07433	wl-neg-neg-es-pba-65159	neg-es-pba-65159	0	hard_negative	train	ES	Aloque/Almarra/Bouziña de Moledo	A Guarda	Camposancos (Santa Isabel)		roman_built_context	0.02075110	0.04481344	0.03278227	0.00092993	0.02796980	8456	7728	8138	8195	8294	4132
train	wl-tile-v1-06066	wl-neg-neg-es-pba-36986	neg-es-pba-36986	0	hard_negative	train	ES	Alto da Medorra	Pedrafita do Cebreiro	Zanfoga (San Martiño)		megalithic_mound	0.98546448	0.99383086	0.98964767	0.97938501	0.98797439	237	268	236	236	232	429
train	wl-tile-v1-08724	wl-neg-neg-es-pba-68165	neg-es-pba-68165	0	hard_negative	train	ES	Anta do Meixueiro/Anta de Meixoeiro	Mos	Cela (San Pedro)		rock_art_surface	0.55558207	0.55236147	0.55397177	0.30688213	0.55461589	2188	2485	2329	2311	2265	2917
train	wl-tile-v1-09423	wl-neg-neg-es-pba-73288	neg-es-pba-73288	0	hard_negative	train	ES	Ara votiva de San Mamede de Martores	Valga	Valga (San Miguel)		roman_built_context	0.27621704	0.45420596	0.36521150	0.12545943	0.32961372	3894	2948	3318	3358	3517	3738
train	wl-tile-v1-07114	wl-neg-neg-es-pba-51261	neg-es-pba-51261	0	hard_negative	train	ES	As Cerdeiras	Maceda	Foncuberta (Santa María)		roman_built_context	0.26588274	0.31314829	0.28951551	0.08326072	0.28006240	4005	3746	3866	3840	3909	5222
train	wl-tile-v1-07334	wl-neg-neg-es-pba-56959	neg-es-pba-56959	0	hard_negative	train	ES	As Cheices	Rubiá	Quereño (San Cristovo)		mining_or_quarry	0.94787208	0.99146507	0.96966857	0.93978206	0.96094998	575	316	494	496	532	261
train	wl-tile-v1-07335	wl-neg-neg-es-pba-56960	neg-es-pba-56960	0	hard_negative	train	ES	As Cheices	Rubiá	Quereño (San Cristovo)		mining_or_quarry	0.03506703	0.06440581	0.04973642	0.00225852	0.04386867	8131	7196	7714	7758	7898	6624
train	wl-tile-v1-07336	wl-neg-neg-es-pba-56961	neg-es-pba-56961	0	hard_negative	train	ES	As Cheices	Rubiá	Quereño (San Cristovo)		mining_or_quarry	0.55987298	0.85110168	0.70548733	0.47650884	0.64724159	2171	1305	1710	1757	1881	2001
train	wl-tile-v1-07337	wl-neg-neg-es-pba-56962	neg-es-pba-56962	0	hard_negative	train	ES	As Cheices	Rubiá	Quereño (San Cristovo)		mining_or_quarry	0.74154774	0.93762784	0.83958779	0.69529581	0.80037177	1473	893	1219	1237	1323	1263
train	wl-tile-v1-07434	wl-neg-neg-es-pba-65197	neg-es-pba-65197	0	hard_negative	train	ES	As Covas	A Guarda	Salcidos (San Lourenzo)		roman_built_context	0.41647272	0.57020398	0.49333835	0.23747440	0.46259210	2909	2401	2607	2614	2713	657
train	wl-tile-v1-05772	wl-neg-neg-es-pba-35096	neg-es-pba-35096	0	hard_negative	train	ES	As Covas de Castañedo	Navia de Suarna	Castañedo (Santiago)		rock_art_surface	0.67585213	0.93171908	0.80378561	0.62970433	0.75261222	1702	934	1355	1388	1499	264
train	wl-tile-v1-08419	wl-neg-neg-es-pba-66262	neg-es-pba-66262	0	hard_negative	train	ES	As Laxes	Gondomar	Couso (San Cristovo)		rock_art_surface	0.21610084	0.23550517	0.22580301	0.05089287	0.22192214	4589	4431	4529	4483	4557	5836
train	wl-tile-v1-07686	wl-neg-neg-es-pba-66074	neg-es-pba-66074	0	hard_negative	train	ES	As Mamuelas 1	Agolada	Ventosa (San Xulián)		megalithic_mound	0.31186344	0.37541354	0.34363849	0.11707776	0.33092847	3582	3373	3473	3451	3502	4721
train	wl-tile-v1-07687	wl-neg-neg-es-pba-66075	neg-es-pba-66075	0	hard_negative	train	ES	As Mamuelas 2	Agolada	Ventosa (San Xulián)		megalithic_mound	0.10020739	0.11404314	0.10712526	0.01142797	0.10435811	6518	6124	6370	6337	6438	7704
train	wl-tile-v1-07688	wl-neg-neg-es-pba-66076	neg-es-pba-66076	0	hard_negative	train	ES	As Mamuelas 3	Agolada	Ventosa (San Xulián)		megalithic_mound	0.09961127	0.10291012	0.10126069	0.01025101	0.10060092	6531	6366	6495	6455	6529	6601
train	wl-tile-v1-07689	wl-neg-neg-es-pba-66077	neg-es-pba-66077	0	hard_negative	train	ES	As Mamuelas 4	Agolada	Ventosa (San Xulián)		megalithic_mound	0.13096669	0.13136522	0.13116595	0.01720447	0.13108625	5872	5821	5888	5851	5892	5785
train	wl-tile-v1-07690	wl-neg-neg-es-pba-66078	neg-es-pba-66078	0	hard_negative	train	ES	As Mamuelas 5	Agolada	Ventosa (San Xulián)		megalithic_mound	0.09202098	0.09279832	0.09240965	0.00853939	0.09225418	6698	6554	6691	6655	6709	6168
train	wl-tile-v1-07691	wl-neg-neg-es-pba-66079	neg-es-pba-66079	0	hard_negative	train	ES	As Mamuelas 6	Agolada	Ventosa (San Xulián)		megalithic_mound	0.29648717	0.31459578	0.30554147	0.09327361	0.30191975	3707	3736	3729	3700	3724	4877
train	wl-tile-v1-06191	wl-neg-neg-es-pba-38423	neg-es-pba-38423	0	hard_negative	train	ES	As Medorras	Portomarín	Caborrecelle (San Xulián)		megalithic_mound	0.08805111	0.06738461	0.07771786	0.00593329	0.08185116	6789	7130	7031	7014	6953	5464
train	wl-tile-v1-05762	wl-neg-neg-es-pba-35258	neg-es-pba-35258	0	hard_negative	train	ES	As Medorras/A Casa das Mouras/Medorra de Ligonde 1	Monterroso	Ligonde (Santiago)		megalithic_mound	0.17452692	0.10985526	0.14219109	0.01917270	0.15512542	5163	6220	5700	5721	5478	4029
train	wl-tile-v1-05763	wl-neg-neg-es-pba-35259	neg-es-pba-35259	0	hard_negative	train	ES	As Medorras/A Casa das Mouras/Medorra de Ligonde 2	Monterroso	Ligonde (Santiago)		megalithic_mound	0.12633507	0.07327854	0.09980681	0.00925765	0.11041811	5966	6998	6537	6578	6315	6037
train	wl-tile-v1-05764	wl-neg-neg-es-pba-35260	neg-es-pba-35260	0	hard_negative	train	ES	As Medorras/A Casa das Mouras/Medorra de Ligonde 3	Monterroso	Ligonde (Santiago)		megalithic_mound	0.14370706	0.08505727	0.11438217	0.01222333	0.12611212	5655	6731	6207	6242	5990	6571
train	wl-tile-v1-05765	wl-neg-neg-es-pba-35282	neg-es-pba-35282	0	hard_negative	train	ES	As Medorras/A Casa das Mouras/Medorra de Ligonde 4	Monterroso	Ligonde (Santiago)		megalithic_mound	0.09860977	0.06265360	0.08063168	0.00617826	0.08782292	6558	7261	6978	6987	6824	7732
train	wl-tile-v1-03924	wl-neg-neg-es-pba-15509	neg-es-pba-15509	0	hard_negative	train	ES	As Medorras/Mámoa das Medorras de Santa Cruz	Ordes	Santa Cruz de Montaos (Santa Cruz)		megalithic_mound	0.48303485	0.38561970	0.43432728	0.18626776	0.45381031	2547	3304	2903	2892	2765	3382
train	wl-tile-v1-06053	wl-neg-neg-es-pba-37845	neg-es-pba-37845	0	hard_negative	train	ES	As Modorras 1	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	0.08012026	0.05195417	0.06603722	0.00416258	0.07167043	6980	7529	7280	7294	7186	8020
train	wl-tile-v1-06054	wl-neg-neg-es-pba-37846	neg-es-pba-37846	0	hard_negative	train	ES	As Modorras 2	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	0.07284745	0.04611017	0.05947881	0.00335901	0.06482627	7150	7698	7444	7467	7347	5546
