site_id	primary_name	municipality	parish	current_dataset_use	decision	reason	pba_name	pba_municipality	pba_parish	pba_place	pba_id_ipaga	pba_cod_impres	pba_tipoloxia	pba_x_etrs89_utm29	pba_y_etrs89_utm29	pba_lon_wgs84	pba_lat_wgs84	pba_observacio
tra-ferrol-papoy	Castro de Papoy	Ferrol	San Pedro de Marmancón	needs_geocoding	duplicate_or_alias	PBA has Castro de Marmancon/Castro de Papoi; Papoy should reconcile to that existing official row.	Castro de Marmancón/Castro de Papoi	Ferrol	Marmancón (San Pedro)	Rilo	GA15036003	Ferrol_9725		560664	4821017	-8.249128691469277	43.539632953340096	
tra-naron-o-castro	O Castro	Narón	San Martiño do Couto	positive_damaged_review	duplicate_or_alias	PBA has Castro de Petouzal/Castro da Croa in O Castro/Couto; dataset already has the official Petouzal row.	Castro de Petouzal/Castro da Croa	Narón	Narón	Castro, O	GA15054006	Narón_14853	Castro	566370	4816850	-8.17901516416762	43.501629521149226	SI.2021.392.INV
tra-neda-castros	Castros	Neda	San Martiño de Neda	needs_geocoding	coordinate_for_review_not_training	Exact topographic/toponymic PBA reference; not enough to promote as a training positive.	Castros	Neda	Santa María de Neda (Santa María)	Castros, Os	TO15055002	Neda_14979		568730	4817566	-8.149740461365019	43.50786201500216	
tra-neda-monte-de-rabadena	Monte de Rabadeña	Neda	Santa María de Neda	needs_geocoding	coordinate_for_review_not_training	Exact code from the prior note, but PBA names it Cazoletas do Monte da Rabadena, not a castro.	Cazoletas do Monte da Rabadeña	Neda	Santa María de Neda (Santa María)	Rabadeña, A	GA15055005	Neda_14980		568734	4815516	-8.149945022412972	43.489410895341756	Elemento desprazado 117 m con respecto a localización no PBA
tra-neda-santa-maria-de-neda	Castro de Santa María de Neda	Neda	Santa María de Neda	positive_damaged_review	still_blocked	Same parish as Castro de Ancos, but no PBA name/code supports automatic equivalence.												
tra-san-sadurnino-a-croa-naraio	A Croa / Naraío	San Sadurniño	Naraío	review_only	coordinate_for_toponymic_review	PBA has A Croa in Naraio/O Batan, but no ID_IPAGA; keep toponymic review-only.	A Croa	San Sadurniño	Naraío (Santa María)	O Batán		San Sadurniño_20165		574309	4815582	-8.081000277632068	43.48946910625164	
tra-san-sadurnino-castro-das-croas	Castro das Croas	San Sadurniño	San Sadurniño	needs_geocoding	coordinate_for_review_reconcile_duplicate	Strong PBA name match; reconcile with existing Castro de San Sadurnino/Galipedia row before training.	Castro Das Croas	San Sadurniño	San Sadurniño (Santa María)	A Rubiña	GA15076006	San Sadurniño_20191		575490	4821607	-8.06556223656323	43.54359118222014	"NO PBA denomínase ""Castro de San Sadurniño"""
tra-san-sadurnino-coto-da-croa-ou-a-croa-do-castro	Coto da Croa ou A Croa do Castro	San Sadurniño	Bardaos	needs_geocoding	coordinate_for_review	PBA has Coto da Croa in Bardaos/O Castro.	Coto da Croa	San Sadurniño	Bardaos (Santa María)	O Castro	GA15076005	San Sadurniño_20199		578090	4825456	-8.032826260167933	43.577979015085575	
tra-san-sadurnino-coto-da-croa-ou-a-croa-do-castro-2	Coto da Croa ou A Croa do Castro	San Sadurniño	Monte	needs_geocoding	coordinate_for_review	PBA has A Croa do Castro in Santa Marina do Monte/Escoitadoira.	A Croa do Castro	San Sadurniño	Santa Mariña do Monte (Santa Mariña)	Escoitadoira	GA15076004	San Sadurniño_20166		574811	4825700	-8.073395247811263	43.580510855618954	O planeamento identifica un ben co mesmo nome, situado na parroquia de Narahío
tra-san-sadurnino-fraga	Castro de Fraga	San Sadurniño	Santa María de Bardaos	needs_geocoding	still_blocked	No PBA Castro de Fraga match in San Sadurnino/Bardaos.												
tra-san-sadurnino-o-picho	O Picho	San Sadurniño	San Sadurniño	review_only	still_blocked	PBA Picho hits are fountains, not castro evidence.												
tra-san-sadurnino-san-cristobal	Castro de San Cristóbal	San Sadurniño	Santa María de San Sadurniño	needs_geocoding	still_blocked	No PBA San Cristobal/San Sadurnino castro match in the queried layer.												
tra-san-sadurnino-tralocastro	Tralocastro	San Sadurniño	San Xiao de Lamas	positive_damaged_review	still_blocked	No San Sadurnino Tralocastro hit; Ferrol Tralocastro is a different official site.												
tra-valdovino-as-filgueiras	Castro de As Filgueiras	Valdoviño	San Vicente de Meirás	needs_geocoding	still_blocked	PBA Filgueiras hits are in San Sadurnino and are not Valdovino/Meiras castros.												
tra-valdovino-ga15087017	Puerto de Meirás	Valdoviño	Meirás	needs_geocoding	coordinate_for_review_not_training	Exact code match, but PBA typology is Medieval, so do not use as castro training positive without review.	Porto de Meirás	Valdoviño	Meirás (San Vicente)	Carballoso, O	GA15087017	Valdoviño_25090	Medieval	565250	4829041	-8.19140505875158	43.61149392500149	
tra-valdovino-praia-frouxeira	Castro de Praia Frouxeira	Valdoviño	Santa Eulalia de Valdoviño	needs_geocoding	duplicate_or_alias	PBA has Castro de Punta Frouxeira; reconcile with existing official GA15087009 row.	Castro de Punta Frouxeira	Valdoviño	Valdoviño (Santaia)	Saíña, A	GA15087009	Valdoviño_25034	Castro	568674	4829852	-8.148872875517807	43.618480398789906	
