tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	dem_path	msrm_abs_annulus_mean	msrm_abs_context_mean	msrm_abs_ratio	msrm_core_mean	msrm_context_mean	msrm_core_delta	msrm_ring_coverage	msrm_ring_balance	best_ring_radius_m	best_ring_coverage	best_ring_balance	best_ring_abs_ratio	ring_radius_sharpness	dominant_scale_m	dominant_scale_ratio	scale_ratio_spread	scale_response_entropy	lrm_15m_abs_ratio	lrm_15m_core_delta	lrm_30m_abs_ratio	lrm_30m_core_delta	lrm_60m_abs_ratio	lrm_60m_core_delta	lrm_120m_abs_ratio	lrm_120m_core_delta	lrm_240m_abs_ratio	lrm_240m_core_delta	status	error
wl-tile-v1-02548	wl-neg-neg-es-pba-9173	neg-es-pba-9173	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón I-1	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02548-neg-es-pba-9173-mdt5.tif	0.66714025	0.61927402	1.07729410	0.43949780	0.32215431	0.11734349	0.44444444	0.69484156	150.00000000	0.47222222	0.65951895	1.06296682	0.15972222	240.00000000	1.60193138	0.91662654	0.96594920	0.68530485	-0.07000979	0.72528076	-0.19324991	0.91453605	-0.46111608	1.27632393	1.39801836	1.60193138	17.42468452	ok	
wl-tile-v1-02549	wl-neg-neg-es-pba-9201	neg-es-pba-9201	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón I-2	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02549-neg-es-pba-9201-mdt5.tif	0.80388349	0.62899143	1.27805159	0.72411591	0.36397710	0.36013880	0.50000000	0.66521133	150.00000000	0.52777778	0.71531493	1.34919015	0.16319444	240.00000000	1.57522164	0.55082195	0.99260347	1.02439969	0.03101722	1.10712586	0.09339057	1.26687930	0.32065558	1.38801880	1.47782052	1.57522164	6.64146757	ok	
wl-tile-v1-02550	wl-neg-neg-es-pba-9202	neg-es-pba-9202	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón I-3	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02550-neg-es-pba-9202-mdt5.tif	0.60689807	0.67701584	0.89643112	0.70851839	0.12728250	0.58123589	0.33333333	0.63485611	60.00000000	0.47222222	0.70474482	1.17582194	0.07986111	240.00000000	1.24751976	0.56119261	0.98238785	0.68632715	0.18200599	0.69564570	0.63223322	0.83007506	2.35267174	1.05425611	8.81189466	1.24751976	26.32089281	ok	
wl-tile-v1-02551	wl-neg-neg-es-pba-9203	neg-es-pba-9203	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón I-4	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02551-neg-es-pba-9203-mdt5.tif	0.65109116	0.59049642	1.10261660	0.41931537	0.29867041	0.12064496	0.41666667	0.69134982	150.00000000	0.47222222	0.65675432	1.07170025	0.19097222	240.00000000	1.57073055	0.92202226	0.96734707	0.64870829	0.00701152	0.74028381	-0.00937605	0.93489685	-0.26607436	1.21310877	0.33389664	1.57073055	12.97541714	ok	
wl-tile-v1-02552	wl-neg-neg-es-pba-9204	neg-es-pba-9204	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón I-5	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02552-neg-es-pba-9204-mdt5.tif	0.58661437	0.61579406	0.95261453	0.48460525	0.35659024	0.12801501	0.25000000	0.63865563	40.00000000	0.44444444	0.81081435	1.10690601	0.15625000	240.00000000	1.55976579	0.99133286	0.95083567	0.56843293	-0.01783161	0.59036447	-0.05324909	0.75988306	-0.20129919	1.11537361	0.74007368	1.55976579	12.35126781	ok	
wl-tile-v1-02553	wl-neg-neg-es-pba-9205	neg-es-pba-9205	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón I-6	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02553-neg-es-pba-9205-mdt5.tif	0.49644297	0.60783505	0.81673962	0.51683718	0.33779284	0.17904434	0.25000000	0.68542363	40.00000000	0.38888889	0.83837743	1.18515569	0.12500000	240.00000000	1.44302448	0.97066317	0.93960192	0.52135072	0.02820243	0.47236132	0.08212429	0.58351194	0.17746603	0.92257422	0.98806000	1.44302448	10.97385406	ok	
wl-tile-v1-02554	wl-neg-neg-es-pba-9206	neg-es-pba-9206	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón II-1	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02554-neg-es-pba-9206-mdt5.tif	0.68150222	0.60278928	1.13058119	0.57939941	0.23163323	0.34776618	0.47222222	0.68285507	100.00000000	0.52777778	0.69788060	1.05159663	0.15277778	240.00000000	1.57523596	0.83833351	0.97437876	0.73690245	0.06937351	0.80146997	0.21881238	1.02432602	0.82567382	1.31189857	5.29294062	1.57523596	24.77281857	ok	
wl-tile-v1-02555	wl-neg-neg-es-pba-9207	neg-es-pba-9207	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón III-1	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02555-neg-es-pba-9207-mdt5.tif	0.70253861	0.66224861	1.06083818	0.61484152	0.04927700	0.56556452	0.44444444	0.64269468	150.00000000	0.50000000	0.63990047	0.88963170	0.14236111	240.00000000	1.46789923	0.77500971	0.97412977	0.69288952	0.16550475	0.75121865	0.58559655	0.96164724	2.02964792	1.26759394	7.65821964	1.46789923	24.48908472	ok	
wl-tile-v1-02556	wl-neg-neg-es-pba-9208	neg-es-pba-9208	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón III-2	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02556-neg-es-pba-9208-mdt5.tif	0.63768899	0.64942503	0.98192858	0.57550693	0.14271607	0.43279086	0.41666667	0.63520312	100.00000000	0.50000000	0.68822003	1.19077515	0.17708333	240.00000000	1.53078964	0.94231550	0.95557848	0.58847414	0.07536042	0.61163293	0.28006791	0.82900071	1.21212426	1.22199265	5.63397253	1.53078964	20.86742878	ok	
wl-tile-v1-02599	wl-neg-neg-es-pba-9906	neg-es-pba-9906	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 01/Mámoa de Chao de Castelo 01	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02599-neg-es-pba-9906-mdt5.tif	0.48904207	0.55065298	0.88811300	0.21212585	-0.01937009	0.23149594	0.22222222	0.66146335	150.00000000	0.33333333	0.64795714	0.91949748	0.10416667	30.00000000	1.01974695	0.31240386	0.99464795	1.00783482	0.05360691	1.01974695	0.22155394	0.92423294	0.87785231	0.83669297	2.39308372	0.70734309	2.08324853	ok	
wl-tile-v1-02600	wl-neg-neg-es-pba-9907	neg-es-pba-9907	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 02/Mámoa de Chao de Castelo 02	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02600-neg-es-pba-9907-mdt5.tif	0.49813068	0.58394080	0.85304996	0.44281438	-0.01537311	0.45818749	0.27777778	0.65228420	60.00000000	0.41666667	0.51405579	1.53821569	0.15277778	15.00000000	0.98011425	0.35566626	0.99274359	0.98011425	0.13339043	0.95590371	0.45160963	0.92428696	1.47370366	0.87717678	4.03445527	0.62444799	5.47820210	ok	
wl-tile-v1-02601	wl-neg-neg-es-pba-9908	neg-es-pba-9908	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 03	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02601-neg-es-pba-9908-mdt5.tif	0.73620486	0.52038890	1.41472053	0.97164345	0.14281394	0.82882951	0.58333333	0.68940745	100.00000000	0.69444444	0.67494109	1.65218353	0.30208333	240.00000000	1.93367758	0.91994638	0.98220758	1.01373120	0.14206052	1.08122962	0.47784923	1.33631022	1.69524601	1.55095933	5.82615077	1.93367758	15.61834621	ok	
wl-tile-v1-02602	wl-neg-neg-es-pba-9909	neg-es-pba-9909	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 04	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02602-neg-es-pba-9909-mdt5.tif	0.49345672	0.54019296	0.91348232	0.60231364	0.04624274	0.55607090	0.30555556	0.63939262	40.00000000	0.55555556	0.73113801	1.44155044	0.27430556	60.00000000	0.93719988	0.14275182	0.99913382	0.87462317	0.10372407	0.88864489	0.34789653	0.93719988	1.17980418	0.87328551	3.82987568	0.79444806	9.13820082	ok	
wl-tile-v1-02603	wl-neg-neg-es-pba-9910	neg-es-pba-9910	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 05	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02603-neg-es-pba-9910-mdt5.tif	0.48555839	0.55316716	0.87777877	0.47237569	0.00604456	0.46633113	0.30555556	0.66649005	100.00000000	0.41666667	0.66485704	1.02059383	0.15625000	120.00000000	0.90031198	0.10083110	0.99941205	0.84349810	0.08533503	0.79948088	0.29442500	0.86840251	0.93286510	0.90031198	2.79346447	0.89672882	7.19948322	ok	
wl-tile-v1-02604	wl-neg-neg-es-pba-9911	neg-es-pba-9911	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 06	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02604-neg-es-pba-9911-mdt5.tif	0.49558279	0.58351588	0.84930471	0.41649634	-0.00603790	0.42253423	0.13888889	0.71598299	80.00000000	0.38888889	0.64887724	1.07971283	0.16666667	240.00000000	0.93969977	0.15661675	0.99842970	0.93376637	0.07870527	0.81994661	0.26730794	0.78308302	0.86869881	0.86471619	2.48459869	0.93969977	5.51477718	ok	
wl-tile-v1-02605	wl-neg-neg-es-pba-9912	neg-es-pba-9912	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 07	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02605-neg-es-pba-9912-mdt5.tif	0.55971557	0.61498129	0.91013430	0.38148791	0.05836678	0.32312112	0.25000000	0.69650165	40.00000000	0.52777778	0.70098050	1.39219997	0.28819444	240.00000000	0.99924335	0.13551290	0.99914418	0.94881541	0.05790109	0.88063893	0.19157446	0.86373045	0.64560434	0.92217545	1.76736167	0.99924335	3.07087356	ok	
wl-tile-v1-02606	wl-neg-neg-es-pba-9913	neg-es-pba-9913	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 08	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02606-neg-es-pba-9913-mdt5.tif	0.61843276	0.68920940	0.89730749	0.42338389	-0.08623577	0.50961966	0.22222222	0.69106857	40.00000000	0.36111111	0.70683054	1.08141266	0.11111111	15.00000000	0.99452173	0.14064086	0.99918892	0.99452173	0.06738389	0.88490943	0.24428288	0.85388088	0.86070062	0.91084021	2.63989964	0.91992324	5.02190197	ok	
wl-tile-v1-02607	wl-neg-neg-es-pba-9914	neg-es-pba-9914	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 09	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02607-neg-es-pba-9914-mdt5.tif	0.61414838	0.70880771	0.86645274	0.49015525	-0.15864946	0.64880471	0.16666667	0.66387233	60.00000000	0.36111111	0.69554777	1.01084724	0.10763889	15.00000000	0.96965417	0.14458438	0.99887946	0.96965417	0.08404792	0.88461599	0.29940150	0.82506979	1.04242870	0.84989603	3.30672836	0.83201221	6.78416586	ok	
wl-tile-v1-02608	wl-neg-neg-es-pba-9939	neg-es-pba-9939	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 10	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02608-neg-es-pba-9939-mdt5.tif	0.69689727	0.52315921	1.33209406	1.12711263	0.20221277	0.92489986	0.52777778	0.73198167	40.00000000	0.72222222	0.75456160	1.27700619	0.28125000	240.00000000	1.87983126	0.91806187	0.98121497	0.96176939	0.11102228	1.04679525	0.38709442	1.30299294	1.40302938	1.52349597	4.73450673	1.87983126	12.24750471	ok	
wl-tile-v1-02609	wl-neg-neg-es-pba-9940	neg-es-pba-9940	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 11	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02609-neg-es-pba-9940-mdt5.tif	0.64063859	0.77897173	0.82241571	0.82245111	0.59364831	0.22880280	0.27777778	0.68224438	180.00000000	0.55555556	0.71563456	1.20355448	0.15625000	240.00000000	1.31300962	0.67661845	0.97750697	0.85596431	0.01285572	0.67230256	0.03832075	0.63639117	0.14017797	0.85066701	1.02101851	1.31300962	7.33554554	ok	
wl-tile-v1-02610	wl-neg-neg-es-pba-9941	neg-es-pba-9941	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 12	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02610-neg-es-pba-9941-mdt5.tif	0.85312831	0.73227072	1.16504497	0.59675068	0.53933471	0.05741596	0.41666667	0.74363479	150.00000000	0.58333333	0.69678423	1.25791038	0.26388889	240.00000000	1.46190928	0.43472876	0.99400136	1.02718052	-0.02932641	1.04079969	-0.10316782	1.05957765	-0.28609294	1.11561462	0.06148982	1.46190928	6.06398439	ok	
wl-tile-v1-02611	wl-neg-neg-es-pba-9942	neg-es-pba-9942	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 13	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02611-neg-es-pba-9942-mdt5.tif	0.72855258	0.68008673	1.07126422	0.80574203	0.44146141	0.36428061	0.38888889	0.65876672	150.00000000	0.52777778	0.71511781	1.25660943	0.15972222	240.00000000	1.45780324	0.49978824	0.99165909	1.00371242	0.03989838	0.97861439	0.11273155	0.95801500	0.37430793	1.08949737	1.62780905	1.45780324	7.68560600	ok	
wl-tile-v1-02612	wl-neg-neg-es-pba-9943	neg-es-pba-9943	0	hard_negative	test_trasancos	ES	Mámoa de Catabois	Ferrol	Serantes (San Salvador)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02612-neg-es-pba-9943-mdt5.tif	0.55347842	0.52528548	1.05367165	0.61352658	0.22627959	0.38724700	0.30555556	0.58990247	40.00000000	0.58333333	0.56805751	1.06175086	0.25694444	240.00000000	1.34189908	0.41092218	0.99586030	0.93097691	0.01143683	1.13002028	0.05067047	1.18412958	0.20454742	1.14274352	0.67566669	1.34189908	1.96078706	ok	
wl-tile-v1-02613	wl-neg-neg-es-pba-9944	neg-es-pba-9944	0	hard_negative	test_trasancos	ES	Mámoa de Espadanido 1	Ferrol	Marmancón (San Pedro)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02613-neg-es-pba-9944-mdt5.tif	0.50092804	0.79196429	0.63251342	0.61193436	0.15526971	0.45666465	0.05555556	0.65531769	180.00000000	0.55555556	0.67109537	1.30406116	0.24652778	240.00000000	0.90425934	0.31528751	0.99118699	0.78019708	0.10172531	0.62263216	0.34546363	0.58897183	1.14980635	0.62211281	3.20927155	0.90425934	7.95683813	ok	
wl-tile-v1-02614	wl-neg-neg-es-pba-9945	neg-es-pba-9945	0	hard_negative	test_trasancos	ES	Mámoa de Espadanido 2	Ferrol	Marmancón (San Pedro)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02614-neg-es-pba-9945-mdt5.tif	0.64541519	0.68784219	0.93831870	0.39139822	0.28546616	0.10593206	0.27777778	0.60033429	40.00000000	0.41666667	0.61409763	1.14608120	0.14583333	240.00000000	1.08540297	0.23196294	0.99760033	0.87874117	-0.00785842	0.85344003	-0.03148210	0.90088374	-0.05340827	0.96866951	0.66605234	1.08540297	5.94267845	ok	
wl-tile-v1-02615	wl-neg-neg-es-pba-9946	neg-es-pba-9946	0	hard_negative	test_trasancos	ES	Mámoa de Ferreiros	Ferrol	Brión (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02615-neg-es-pba-9946-mdt5.tif	0.53841406	0.85510749	0.62964489	0.50996166	0.26631540	0.24364626	0.13888889	0.62488630	220.00000000	0.47222222	0.73343610	1.10743510	0.18402778	15.00000000	0.87383930	0.29357702	0.99267946	0.87383930	0.04213133	0.71261632	0.12568061	0.58026228	0.39289606	0.59741821	1.41605818	0.76313395	5.25018883	ok	
wl-tile-v1-02616	wl-neg-neg-es-pba-9947	neg-es-pba-9947	0	hard_negative	test_trasancos	ES	Mámoa de Leixa 1	Ferrol	Leixa (San Pedro)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02616-neg-es-pba-9947-mdt5.tif	0.62390339	0.70303452	0.88744347	0.08041925	0.14137039	-0.06095114	0.30555556	0.69066208	80.00000000	0.50000000	0.67237565	1.01512485	0.19444444	240.00000000	0.99896121	0.16038855	0.99892349	0.89240338	-0.00856996	0.87954575	-0.03199545	0.83857266	-0.10236366	0.88493776	-0.17769163	0.99896121	0.29582989	ok	
wl-tile-v1-02617	wl-neg-neg-es-pba-9974	neg-es-pba-9974	0	hard_negative	test_trasancos	ES	Mámoa de Leixa 2	Ferrol	Leixa (San Pedro)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02617-neg-es-pba-9974-mdt5.tif	0.51440483	0.61722195	0.83341954	0.31406131	-0.27572626	0.58978757	0.27777778	0.63053056	40.00000000	0.63888889	0.71848672	1.28419033	0.32638889	15.00000000	1.00819136	0.20960098	0.99774384	1.00819136	0.05452944	0.94555020	0.16752569	0.82963379	0.49569626	0.79859039	1.20049012	0.91826088	1.56440556	ok	
wl-tile-v1-02618	wl-neg-neg-es-pba-9975	neg-es-pba-9975	0	hard_negative	test_trasancos	ES	Mámoa de Monteventoso	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02618-neg-es-pba-9975-mdt5.tif	0.76421326	0.69459945	1.10022152	0.48497987	0.41081464	0.07416523	0.33333333	0.56159309	150.00000000	0.52777778	0.61295529	1.40767242	0.23263889	240.00000000	1.26482067	0.23271930	0.99843569	1.12177105	-0.02704052	1.15425340	-0.07787365	1.06664643	-0.25736642	1.03210137	0.19411564	1.26482067	8.47133064	ok	
wl-tile-v1-02619	wl-neg-neg-es-pba-9976	neg-es-pba-9976	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 1	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02619-neg-es-pba-9976-mdt5.tif	0.54749948	0.68435460	0.80002308	0.38173208	0.03433515	0.34739693	0.19444444	0.49916109	40.00000000	0.47222222	0.69131187	0.97681494	0.18402778	15.00000000	0.86453258	0.12620080	0.99907164	0.86453258	0.05865172	0.83200977	0.19694080	0.78215477	0.77060990	0.73833178	2.84178924	0.82816133	7.40744448	ok	
wl-tile-v1-02620	wl-neg-neg-es-pba-9977	neg-es-pba-9977	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 2	Ferrol	Doniños (San Román)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02620-neg-es-pba-9977-mdt5.tif	0.59388947	0.58490205	1.01536570	0.52872670	-0.01260651	0.54133321	0.22222222	0.49918455	60.00000000	0.52777778	0.58810400	1.22274675	0.22222222	60.00000000	1.10312562	0.23521087	0.99713959	0.86791475	0.11622152	0.92346527	0.40498424	1.10312562	1.45180833	1.02647058	4.88898355	0.86987119	9.89719433	ok	
