thumbnail_id	control_set_id	bank_id	review_role	country	name	wms_source	wms_base	wms_layer	bbox_epsg4326	width_px	height_px	thumbnail_path	status	bytes	error
thumb-v1-0013	control-v1-0013	pos-pt-dgpc-106425	positive	PT	Citânia de Sanfins	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.38939636,41.32085201,-8.38327203,41.32545137	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0013-pos-pt-dgpc-106425.png	exists	250142	
thumb-v1-0014	control-v1-0014	pos-pt-dgpc-106725	positive	PT	Cividade de Terroso	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.72464002,41.41056356,-8.71850724,41.41516291	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0014-pos-pt-dgpc-106725.png	exists	234272	
thumb-v1-0015	control-v1-0015	pos-pt-dgpc-107033	positive	PT	Castro de Bagunte/ Monte da Cividade/ Cividade de Bagunte	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.65862245,41.38135004,-8.65249243,41.38594939	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0015-pos-pt-dgpc-107033.png	exists	253911	
thumb-v1-0016	control-v1-0016	pos-pt-dgpc-108405	positive	PT	Cividade de Cossourado	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.64030834,41.91335584,-8.63412749,41.91795519	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0016-pos-pt-dgpc-108405.png	exists	246833	
thumb-v1-0017	control-v1-0017	pos-pt-dgpc-109676	positive	PT	Citânia de Santa Luzia	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.83856369,41.70253942,-8.83240314,41.70713877	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0017-pos-pt-dgpc-109676.png	exists	245169	
thumb-v1-0018	control-v1-0018	pos-pt-dgpc-108502	positive	PT	Cividade de Cornes	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.68380718,41.95357985,-8.67762243,41.95817920	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0018-pos-pt-dgpc-108502.png	exists	240323	
thumb-v1-0019	control-v1-0019	pos-pt-dgpc-109702	positive	PT	Castro de Vilanova/Alto da Cividade	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-7.41216990,41.63935371,-7.40601540,41.64395306	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0019-pos-pt-dgpc-109702.png	exists	253978	
thumb-v1-0020	control-v1-0020	pos-pt-dgpc-107515	positive	PT	Braga - Cividade de Baixo	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.43246014,41.54296321,-8.42631482,41.54756256	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0020-pos-pt-dgpc-107515.png	exists	231437	
thumb-v1-0021	control-v1-0021	pos-pt-dgpc-108140	positive	PT	Citânia de Sabroso	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.34462163,41.50930265,-8.33847950,41.51390200	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0021-pos-pt-dgpc-108140.png	exists	236653	
thumb-v1-0022	control-v1-0022	pos-pt-dgpc-109989	positive	PT	Cividade de Âncora	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.85798613,41.78434864,-8.85181773,41.78894799	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0022-pos-pt-dgpc-109989.png	exists	255905	
thumb-v1-0023	control-v1-0023	pos-pt-dgpc-109003	positive	PT	Cividade	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-7.30767678,41.66659511,-7.30151967,41.67119447	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0023-pos-pt-dgpc-109003.png	exists	238246	
thumb-v1-0024	control-v1-0024	pos-pt-dgpc-107539	positive	PT	Braga - Termas Romanas de Maximinos/ Alto da Cividade/ Colina de Maximinos	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.43216172,41.54379931,-8.42601632,41.54839866	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0024-pos-pt-dgpc-107539.png	exists	232289	
thumb-v1-0025	control-v1-0025	pos-es-pba-17047	positive	ES	A Croa do Castro/A Croa de Posmarcos	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.93060263,42.63059704,-8.92435103,42.63519639	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0025-pos-es-pba-17047.png	exists	628852	
thumb-v1-0026	control-v1-0026	pos-es-pba-687	positive	ES	Castro da ermida de San Marcos	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.64007487,42.90555397,-8.63379546,42.91015332	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0026-pos-es-pba-687.png	exists	643368	
thumb-v1-0027	control-v1-0027	pos-es-pba-1862	positive	ES	Castro de Punta Mourón ou Punta Caamouco	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.21851137,43.41740533,-8.21217912,43.42200469	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0027-pos-es-pba-1862.png	exists	460255	
thumb-v1-0028	control-v1-0028	pos-es-pba-1722	positive	ES	Castro do Cabo Cociñadoiro	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.50209806,43.35103975,-8.49577274,43.35563910	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0028-pos-es-pba-1722.png	exists	553846	
thumb-v1-0029	control-v1-0029	pos-es-pba-2042	positive	ES	A Roda do Castro de Maroxo	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.15873168,42.89028433,-8.15245382,42.89488368	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0029-pos-es-pba-2042.png	exists	645825	
thumb-v1-0030	control-v1-0030	pos-es-pba-1275	positive	ES	Castro de Santa Marta de Babío	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.26596206,43.30460316,-8.25964158,43.30920251	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0030-pos-es-pba-1275.png	exists	695771	
thumb-v1-0031	control-v1-0031	pos-es-pba-2764	positive	ES	Castro de Marco de Arriba	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.16522120,42.98003484,-8.15893419,42.98463420	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0031-pos-es-pba-2764.png	exists	549011	
thumb-v1-0032	control-v1-0032	pos-es-pba-2609	positive	ES	Igrexa de Castro (Parroquial de Santa María)	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.87578160,42.61952212,-8.86953112,42.62412147	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0032-pos-es-pba-2609.png	exists	696569	
thumb-v1-0033	control-v1-0033	pos-es-pba-4275	positive	ES	Campo da Romaría de San Fins de Castro	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.92674830,43.20307906,-8.92043834,43.20767842	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0033-pos-es-pba-4275.png	exists	672965	
thumb-v1-0034	control-v1-0034	pos-es-pba-3723	positive	ES	Punta do Castro	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-9.17817226,43.13557804,-9.17186928,43.14017739	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0034-pos-es-pba-3723.png	exists	494324	
thumb-v1-0035	control-v1-0035	pos-es-pba-27149	positive	ES	Castro de Cariño/Punta do Castro	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.86897227,43.73884154,-7.86260612,43.74344090	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0035-pos-es-pba-27149.png	exists	658717	
thumb-v1-0036	control-v1-0036	pos-es-pba-5561	positive	ES	Castro Sete (San Martiño de Cerdido)	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.98069838,43.59213041,-7.97434777,43.59672977	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0036-pos-es-pba-5561.png	exists	659789	
thumb-v1-0037	control-v1-0037	pos-es-pba-9621	positive	ES	Castro de Castromar	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-9.12902582,42.91112458,-9.12274584,42.91572394	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0037-pos-es-pba-9621.png	exists	687122	
thumb-v1-0038	control-v1-0038	pos-es-pba-9183	positive	ES	Castro de Marmancón/Castro de Papoi	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.25230111,43.53733328,-8.24595628,43.54193263	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0038-pos-es-pba-9183.png	exists	662522	
thumb-v1-0039	control-v1-0039	pos-es-pba-9894	positive	ES	Castro de Punta Sardiñeiro	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-9.23729691,42.92556559,-9.23101546,42.93016494	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0039-pos-es-pba-9894.png	exists	430674	
thumb-v1-0040	control-v1-0040	pos-es-pba-11754	positive	ES	Castro de San Amaro	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.28312741,43.03850351,-8.27683441,43.04310287	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0040-pos-es-pba-11754.png	exists	505883	
thumb-v1-0041	control-v1-0041	pos-es-pba-12763	positive	ES	Castro de Entretorres/Castro de Punta Galeana	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.85853922,43.31729620,-8.85221742,43.32189555	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0041-pos-es-pba-12763.png	exists	672249	
thumb-v1-0042	control-v1-0042	pos-es-pba-12426	positive	ES	Castro de Marrás/O Convento	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.08546516,42.95358551,-8.07918084,42.95818486	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0042-pos-es-pba-12426.png	exists	635883	
thumb-v1-0043	control-v1-0043	pos-es-pba-13836	positive	ES	Casa reitoral de Santa María de Castro	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.20138004,43.35704693,-8.19505409,43.36164628	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0043-pos-es-pba-13836.png	exists	706141	
thumb-v1-0044	control-v1-0044	pos-es-pba-14517	positive	ES	Casa reitoral de Santa María de Castro	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.18052019,43.54132531,-8.17417494,43.54592466	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0044-pos-es-pba-14517.png	exists	671545	
thumb-v1-0045	control-v1-0045	pos-es-pba-14227	positive	ES	Castro de Guimaráns/Alto dos Castros	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.80753923,42.93741970,-8.80125657,42.94201905	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0045-pos-es-pba-14227.png	exists	618721	
thumb-v1-0046	control-v1-0046	pos-es-pba-16735	positive	ES	Casa reitoral de Santa María de Castrofeito	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.40235827,42.91681732,-8.39607771,42.92141668	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0046-pos-es-pba-16735.png	exists	617517	
thumb-v1-0047	control-v1-0047	pos-es-pba-15425	positive	ES	Castro de Punta Roza	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.32147211,43.39871238,-8.31514182,43.40331173	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0047-pos-es-pba-15425.png	exists	661842	
thumb-v1-0048	control-v1-0048	pos-es-pba-15375	positive	ES	O Castro/Castro de Pumariño	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.44916297,43.05833985,-8.44286794,43.06293921	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0048-pos-es-pba-15375.png	exists	637445	
thumb-v1-0049	control-v1-0049	pos-es-pba-17473	positive	ES	Castro de Punta do Tallo	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.82569968,43.71208273,-7.81933638,43.71668208	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0049-pos-es-pba-17473.png	exists	650636	
thumb-v1-0050	control-v1-0050	pos-es-pba-24674	positive	ES	Castro da Punta do Vico	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.15086051,43.62000863,-8.14450696,43.62460799	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0050-pos-es-pba-24674.png	exists	653386	
thumb-v1-0051	control-v1-0051	pos-es-pba-30753	positive	ES	Castro de Marful	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.03861839,43.04848029,-7.03232437,43.05307964	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0051-pos-es-pba-30753.png	exists	683258	
thumb-v1-0052	control-v1-0052	pos-es-pba-38457	positive	ES	Castro de Santa Mariña/Castrosante	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.40732119,42.57705400,-7.40107496,42.58165336	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0052-pos-es-pba-38457.png	exists	639705	
thumb-v1-0053	control-v1-0053	pos-es-pba-27022	positive	ES	Castro de Santa Mariña	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.94695095,42.81437231,-7.94068080,42.81897166	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0053-pos-es-pba-27022.png	exists	659777	
thumb-v1-0054	control-v1-0054	pos-es-pba-28585	positive	ES	Castro de Punta de San Pedro	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.20520551,43.55914417,-7.19885838,43.56374352	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0054-pos-es-pba-28585.png	exists	411476	
thumb-v1-0055	control-v1-0055	pos-es-pba-28392	positive	ES	Castro de Castelmaría	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.12262681,42.94467569,-7.11634341,42.94927504	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0055-pos-es-pba-28392.png	exists	675071	
thumb-v1-0056	control-v1-0056	pos-es-pba-28320	positive	ES	Castro de Santa María	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.73193588,43.15226671,-7.72563118,43.15686606	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0056-pos-es-pba-28320.png	exists	674740	
thumb-v1-0057	control-v1-0057	pos-es-pba-44141	positive	ES	Castro de Cabo Burela	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.36124072,43.66763404,-7.35488213,43.67223340	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0057-pos-es-pba-44141.png	exists	614711	
thumb-v1-0058	control-v1-0058	pos-es-pba-28792	positive	ES	Castro de Marzán	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.51145963,42.59358102,-7.50521175,42.59818038	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0058-pos-es-pba-28792.png	exists	687860	
thumb-v1-0059	control-v1-0059	pos-es-pba-28508	positive	ES	Castro de Santa Mariña	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.86923732,42.55654339,-7.86299314,42.56114274	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0059-pos-es-pba-28508.png	exists	670695	
thumb-v1-0060	control-v1-0060	pos-es-pba-27820	positive	ES	Castro de Azúmara	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.38231039,43.19047139,-7.37600174,43.19507074	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0060-pos-es-pba-27820.png	exists	659461	
thumb-v1-0061	control-v1-0061	pos-es-pba-27942	positive	ES	Castro de Santa María da Frairía	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.29377472,43.00402488,-7.28748525,43.00862424	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0061-pos-es-pba-27942.png	exists	670860	
thumb-v1-0062	control-v1-0062	pos-es-pba-29460	positive	ES	Casa reitoral de Santa María do Castro	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.04540696,42.86218287,-7.03913196,42.86678222	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0062-pos-es-pba-29460.png	exists	695287	
thumb-v1-0063	control-v1-0063	pos-es-pba-11227	positive	ES	Castro de Refoxo/Castro de Cerqueira	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.44592129,43.23267524,-8.43960827,43.23727460	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0063-pos-es-pba-11227.png	exists	672408	
thumb-v1-0064	control-v1-0064	pos-es-pba-112	positive	ES	Castro Grande de Alcaiana	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.34913477,43.15939903,-8.34282933,43.16399839	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0064-pos-es-pba-112.png	exists	660497	
thumb-v1-0065	control-v1-0065	pos-es-pba-1956	positive	ES	A Roda do Castro	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.20861192,43.43483245,-8.20227785,43.43943181	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0065-pos-es-pba-1956.png	exists	692089	
thumb-v1-0066	control-v1-0066	pos-es-pba-1657	positive	ES	Castro de Castelo	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.57905022,43.29920879,-8.57273029,43.30380814	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0066-pos-es-pba-1657.png	exists	677278	
thumb-v1-0067	control-v1-0067	pos-es-pba-6108	positive	ES	Castro de Pereiriña	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-9.19116301,42.98617430,-9.18487536,42.99077365	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0067-pos-es-pba-6108.png	exists	668386	
thumb-v1-0068	control-v1-0068	pos-es-pba-5977	positive	ES	Castro de Quenxe	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-9.19401645,42.93007649,-9.18773454,42.93467584	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0068-pos-es-pba-5977.png	exists	671435	
thumb-v1-0069	control-v1-0069	pos-es-pba-9892	positive	ES	Castro de Castromiñán	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-9.28606712,42.95158847,-9.27978301,42.95618782	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0069-pos-es-pba-9892.png	exists	647573	
thumb-v1-0070	control-v1-0070	pos-es-pba-12434	positive	ES	Castro da Braña	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.28940454,43.12834460,-8.28310230,43.13294396	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0070-pos-es-pba-12434.png	exists	607233	
thumb-v1-0071	control-v1-0071	pos-es-pba-29296	positive	ES	Os Castros	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.76686606,42.59535273,-7.76061800,42.59995208	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0071-pos-es-pba-29296.png	exists	703393	
thumb-v1-0072	control-v1-0072	pos-es-pba-35343	positive	ES	Castro da Cotela	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.79551423,42.78215131,-7.78924735,42.78675066	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0072-pos-es-pba-35343.png	exists	653144	
thumb-v1-0073	control-v1-0073	pos-es-pba-36112	positive	ES	Castro do Pazo	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.67760880,43.06224516,-7.67131336,43.06684451	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0073-pos-es-pba-36112.png	exists	682155	
thumb-v1-0074	control-v1-0074	pos-es-pba-45973	positive	ES	Castro de Meimón	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.19162092,42.42477905,-8.18538989,42.42937841	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0074-pos-es-pba-45973.png	exists	675582	
thumb-v1-0075	control-v1-0075	pos-es-pba-56643	positive	ES	As Cabarquellas. Os Mouros. O Castro. As Murallas	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.26054317,41.95218335,-7.25435855,41.95678271	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0075-pos-es-pba-56643.png	exists	646163	
