bank_id	review_seed_id	control_set_id	review_role	country	province_or_district	municipality	name	typology	morphology_proxy	negative_type	review_priority	auto_review_status	auto_decision	training_use	proposed_radius_m	source	source_record_id	source_code
pos-pt-dgpc-109003	review-pos-0151	control-v1-0023	positive	PT	Vila Real	Valpaços	Cividade	Habitat	large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	109003	14232
pos-es-pba-15425	review-pos-0153	control-v1-0047	positive	ES	A Coruña	Oleiros	Castro de Punta Roza	Castro	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	15425	GA15058001
pos-es-pba-1862	review-pos-0154	control-v1-0027	positive	ES	A Coruña	Ares	Castro de Punta Mourón ou Punta Caamouco	Asentamento fortificado	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	1862	GA15004002
pos-es-pba-113	review-pos-0157		positive	ES	A Coruña	Abegondo	Castro Maior	Asentamento fortificado/defensivo	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	130.0	Xunta PBA Catálogo. Elementos (xuño 2026)	113	GA15001017
pos-es-pba-38457	review-pos-0164	control-v1-0052	positive	ES	Lugo	A Pobra do Brollón	Castro de Santa Mariña/Castrosante	Castro	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	38457	GA27047017
pos-es-pba-26700	review-pos-0165		positive	ES	Lugo	Antas de Ulla	Igrexa do Castro de Amarante (Parroquial de Santo Estevo)	Igrexa	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	26700	-
pos-es-pba-36112	review-pos-0168	control-v1-0073	positive	ES	Lugo	Outeiro de Rei	Castro do Pazo	Asentamento fortificado/defensivo	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	130.0	Xunta PBA Catálogo. Elementos (xuño 2026)	36112	GA27039066
pos-es-pba-57744	review-pos-0176		positive	ES	Ourense	A Veiga	Casa á beira da igrexa de Castromarigo		coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	57744	-
pos-es-pba-65325	review-pos-0185		positive	ES	Pontevedra	A Guarda	Castro de Cividáns/O Castriño/Marduco	Castro	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	65325	GA36023012
pos-es-pba-65696	review-pos-0186		positive	ES	Pontevedra	Agolada	Mámoa dos Cotos 1/Castro Marcelín/Monte da Vila	Túmulo	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	65696	GA36020005
pos-pt-dgpc-109806	review-pos-0194		positive	PT	Braga	Amares	Castro de Caires / Castro de Gróvios	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	109806	65
pos-pt-dgpc-107515	review-pos-0197	control-v1-0020	positive	PT	Braga	Braga	Braga - Cividade de Baixo	Edifício	large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	107515	11862
pos-pt-dgpc-109947	review-pos-0198		positive	PT	Bragança	Vinhais	Castro de Ousilhão	Povoado Fortificado	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	109947	4734
pos-pt-dgpc-108459	review-pos-0199		positive	PT	Bragança	Bragança	Castro	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	108459	17565
pos-pt-dgpc-106254	review-pos-0202		positive	PT	Porto	Trofa	Castro de Alvarelhos/ Castro de São Marçal	Povoado	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	106254	791
pos-pt-dgpc-106251	review-pos-0203		positive	PT	Porto	Amarante	Castro do Ladário	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	106251	3567
pos-pt-dgpc-107033	review-pos-0205	control-v1-0015	positive	PT	Porto	Vila do Conde	Castro de Bagunte/ Monte da Cividade/ Cividade de Bagunte	Povoado Fortificado	large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	107033	184
pos-pt-dgpc-108463	review-pos-0206		positive	PT	Viana do Castelo	Arcos de Valdevez	Castro de Álvora	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	108463	32
pos-pt-dgpc-109989	review-pos-0209	control-v1-0022	positive	PT	Viana do Castelo	Viana do Castelo	Cividade de Âncora	Povoado Fortificado	large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	109989	11
pos-pt-dgpc-109988	review-pos-0210		positive	PT	Vila Real	Boticas	Castro da Giestosa/ Castro do Souto da Lama	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	109988	11317
pos-es-pba-24674	review-pos-0214	control-v1-0050	positive	ES	A Coruña	Valdoviño	Castro da Punta do Vico	Castro	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	24674	GA15087022
pos-es-pba-1861	review-pos-0215		positive	ES	A Coruña	Ares	Castro de Punta de Santa Mariña	Asentamento fortificado	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	1861	GA15004004
pos-es-pba-81	review-pos-0218		positive	ES	A Coruña	Abegondo	Castro de Abegondo	Asentamento fortificado/defensivo	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	130.0	Xunta PBA Catálogo. Elementos (xuño 2026)	81	GA15001006
pos-es-pba-27022	review-pos-0225	control-v1-0053	positive	ES	Lugo	Antas de Ulla	Castro de Santa Mariña	Castro	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	27022	GA27003024
pos-es-pba-28234	review-pos-0226		positive	ES	Lugo	Barreiros	Punta do Castro		coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	28234	GA27005005
pos-es-pba-57713	review-pos-0236		positive	ES	Ourense	A Veiga	Castro das Caborcas		coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	57713	GA32083018
pos-es-pba-65338	review-pos-0245		positive	ES	Pontevedra	A Guarda	Os Crestos/Os Castros/Castro de Zamar	Castro	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	65338	GA36023004
pos-es-pba-65697	review-pos-0246		positive	ES	Pontevedra	Agolada	Mámoa dos Cotos 2/Castro Marcelín/Monte da Vila	Túmulo	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	65697	GA36020147
pos-pt-dgpc-109794	review-pos-0254		positive	PT	Braga	Amares	Chã do Castro/ Portela da Joubreia	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	109794	98
pos-pt-dgpc-107539	review-pos-0257	control-v1-0024	positive	PT	Braga	Braga	Braga - Termas Romanas de Maximinos/ Alto da Cividade/ Colina de Maximinos	Termas	large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	107539	5055
pos-pt-dgpc-109077	review-pos-0258		positive	PT	Bragança	Bragança	Castro Mau	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	109077	17563
pos-pt-dgpc-106386	review-pos-0261	control-v1-0097	positive	PT	Porto	Felgueiras	Castro da Pedreira	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	106386	16191
