thumbnail_id	control_set_id	bank_id	review_role	country	name	morphology_proxy	negative_type	proposed_radius_m	thumbnail_status	image_path	image_width_px	image_height_px	gray_mean	gray_std	gray_entropy	black_fraction	white_fraction	edge_global_mean	edge_inner_mean	edge_annulus_mean	edge_outer_mean	edge_annulus_to_outer_ratio	edge_annulus_to_inner_ratio	texture_annulus_std	texture_outer_std	texture_annulus_to_outer_ratio	luminance_inner_mean	luminance_outer_mean	luminance_delta_inner_outer	ring_sector_coverage	ring_sector_balance	radial_peak_rank	radial_peak_count	ring_signal_score	ring_signal_tier	metric_eval_use	autonomous_visual_decision	training_use	status	error
thumb-v1-0017	control-v1-0017	pos-pt-dgpc-109676	positive	PT	Citânia de Santa Luzia	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0017-pos-pt-dgpc-109676.png	512	512	0.317531	0.096454	4.197851	0.000000	0.000000	0.195542	0.239716	0.200584	0.187145	1.071809	0.836755	0.104724	0.069638	1.503836	0.406701	0.289733	0.116968	0.527778	0.742652	7	13	40.64	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0018	control-v1-0018	pos-pt-dgpc-108502	positive	PT	Cividade de Cornes	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0018-pos-pt-dgpc-108502.png	512	512	0.471247	0.122251	4.843466	0.000000	0.000000	0.287106	0.327086	0.263762	0.219549	1.201379	0.806399	0.119417	0.107290	1.113023	0.467385	0.465797	0.001588	0.500000	0.726393	9	13	41.43	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0019	control-v1-0019	pos-pt-dgpc-109702	positive	PT	Castro de Vilanova/Alto da Cividade	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0019-pos-pt-dgpc-109702.png	512	512	0.478487	0.079955	3.810441	0.000000	0.000000	0.191715	0.155474	0.177697	0.217983	0.815190	1.142937	0.059878	0.092619	0.646497	0.453470	0.499428	-0.045958	0.250000	0.839340	5	13	18.23	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0020	control-v1-0020	pos-pt-dgpc-107515	positive	PT	Braga - Cividade de Baixo	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0020-pos-pt-dgpc-107515.png	512	512	0.525216	0.176129	5.392944	0.000000	0.004261	0.477079	0.477176	0.476947	0.459113	1.038845	0.999520	0.173304	0.174895	0.990901	0.502947	0.531569	-0.028621	0.611111	0.825162	8	13	31.84	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0021	control-v1-0021	pos-pt-dgpc-108140	positive	PT	Citânia de Sabroso	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0021-pos-pt-dgpc-108140.png	512	512	0.403766	0.142971	4.867697	0.000000	0.000000	0.283270	0.232007	0.296857	0.284766	1.042457	1.279518	0.156911	0.140670	1.115450	0.384556	0.391066	-0.006511	0.472222	0.760316	3	13	41.06	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0022	control-v1-0022	pos-pt-dgpc-109989	positive	PT	Cividade de Âncora	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0022-pos-pt-dgpc-109989.png	512	512	0.344972	0.074230	3.873102	0.000000	0.000000	0.205904	0.170478	0.208378	0.231077	0.901767	1.222317	0.070290	0.100128	0.701999	0.326093	0.360851	-0.034757	0.250000	0.789364	6	13	17.06	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0023	control-v1-0023	pos-pt-dgpc-109003	positive	PT	Cividade	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0023-pos-pt-dgpc-109003.png	512	512	0.538475	0.148073	4.812897	0.000000	0.000000	0.276154	0.170154	0.300530	0.315402	0.952849	1.766220	0.152460	0.160239	0.951452	0.580912	0.538733	0.042179	0.416667	0.686176	4	13	23.20	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0024	control-v1-0024	pos-pt-dgpc-107539	positive	PT	Braga - Termas Romanas de Maximinos/ Alto da Cividade/ Colina de Maximinos	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0024-pos-pt-dgpc-107539.png	512	512	0.517995	0.169079	5.351964	0.000000	0.000000	0.465873	0.438676	0.472663	0.483890	0.976798	1.077477	0.181350	0.162851	1.113600	0.508662	0.516842	-0.008180	0.333333	0.846941	8	13	25.94	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0025	control-v1-0025	pos-es-pba-17047	positive	ES	A Croa do Castro/A Croa de Posmarcos	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0025-pos-es-pba-17047.png	512	512	0.293088	0.100462	4.535342	0.000000	0.000000	0.276315	0.262000	0.275080	0.261596	1.051544	1.049925	0.106870	0.106602	1.002516	0.272866	0.302440	-0.029574	0.250000	0.822361	4	17	35.96	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0026	control-v1-0026	pos-es-pba-687	positive	ES	Castro da ermida de San Marcos	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0026-pos-es-pba-687.png	512	512	0.332978	0.103739	4.702639	0.000000	0.000000	0.313062	0.294829	0.302914	0.314928	0.961853	1.027424	0.106040	0.092414	1.147455	0.376949	0.317464	0.059485	0.250000	0.782800	7	17	25.30	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0027	control-v1-0027	pos-es-pba-1862	positive	ES	Castro de Punta Mourón ou Punta Caamouco	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0027-pos-es-pba-1862.png	512	512	0.384328	0.137967	4.854998	0.000000	0.000004	0.196136	0.377514	0.216737	0.138927	1.560078	0.574117	0.124324	0.133461	0.931543	0.391202	0.376644	0.014558	0.638889	0.557974	9	17	53.35	moderate_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_moderate	exclude_until_independent_label_review	ok	
thumb-v1-0028	control-v1-0028	pos-es-pba-1722	positive	ES	Castro do Cabo Cociñadoiro	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0028-pos-es-pba-1722.png	512	512	0.670004	0.100918	4.567167	0.000000	0.000000	0.231192	0.248898	0.226704	0.232121	0.976660	0.910829	0.100739	0.098557	1.022140	0.636370	0.671658	-0.035289	0.500000	0.769460	10	17	26.20	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0029	control-v1-0029	pos-es-pba-2042	positive	ES	A Roda do Castro de Maroxo	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0029-pos-es-pba-2042.png	512	512	0.409505	0.144252	5.044200	0.000000	0.000000	0.252322	0.258058	0.247770	0.251367	0.985688	0.960131	0.154454	0.142542	1.083568	0.463390	0.415468	0.047921	0.555556	0.693365	11	17	27.94	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0030	control-v1-0030	pos-es-pba-1275	positive	ES	Castro de Santa Marta de Babío	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0030-pos-es-pba-1275.png	512	512	0.556006	0.184752	5.488767	0.000000	0.000023	0.394701	0.363056	0.433443	0.384387	1.127621	1.193875	0.177831	0.187899	0.946415	0.460281	0.578161	-0.117881	0.555556	0.801283	5	17	59.91	moderate_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_moderate	exclude_until_independent_label_review	ok	
thumb-v1-0031	control-v1-0031	pos-es-pba-2764	positive	ES	Castro de Marco de Arriba	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0031-pos-es-pba-2764.png	512	512	0.528734	0.140432	4.845512	0.000000	0.000000	0.197037	0.202606	0.196894	0.216201	0.910699	0.971809	0.138431	0.141682	0.977055	0.540723	0.517813	0.022910	0.500000	0.624392	17	17	16.57	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0032	control-v1-0032	pos-es-pba-2609	positive	ES	Igrexa de Castro (Parroquial de Santa María)	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0032-pos-es-pba-2609.png	512	512	0.420147	0.158902	5.271191	0.000000	0.000000	0.377126	0.420767	0.380645	0.385825	0.986576	0.904648	0.126144	0.155677	0.810293	0.495858	0.403828	0.092030	0.055556	0.925271	10	17	18.01	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0033	control-v1-0033	pos-es-pba-4275	positive	ES	Campo da Romaría de San Fins de Castro	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0033-pos-es-pba-4275.png	512	512	0.450675	0.140100	5.066247	0.000000	0.000004	0.335865	0.352517	0.340324	0.331455	1.026758	0.965412	0.149439	0.140229	1.065682	0.483157	0.450887	0.032270	0.222222	0.799130	6	17	27.71	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0034	control-v1-0034	pos-es-pba-3723	positive	ES	Punta do Castro	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0034-pos-es-pba-3723.png	512	512	0.402409	0.162668	4.919972	0.000000	0.000000	0.207040	0.343159	0.175328	0.171515	1.022229	0.510924	0.175597	0.157937	1.111822	0.425206	0.386646	0.038560	0.472222	0.557981	7	17	30.08	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0035	control-v1-0035	pos-es-pba-27149	positive	ES	Castro de Cariño/Punta do Castro	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0035-pos-es-pba-27149.png	512	512	0.478021	0.167597	5.264037	0.000000	0.000458	0.310002	0.396563	0.340584	0.293672	1.159743	0.858840	0.153110	0.173411	0.882927	0.547982	0.461077	0.086905	0.722222	0.692426	9	17	39.27	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0036	control-v1-0036	pos-es-pba-5561	positive	ES	Castro Sete (San Martiño de Cerdido)	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0036-pos-es-pba-5561.png	512	512	0.315885	0.114071	4.721701	0.000000	0.000000	0.364506	0.368947	0.369975	0.365655	1.011813	1.002786	0.124747	0.103535	1.204877	0.300362	0.300342	0.000020	0.166667	0.843957	13	17	26.44	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0037	control-v1-0037	pos-es-pba-9621	positive	ES	Castro de Castromar	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0037-pos-es-pba-9621.png	512	512	0.424735	0.145377	5.221376	0.000000	0.000008	0.365288	0.365724	0.390277	0.371191	1.051418	1.067136	0.132610	0.147724	0.897686	0.389936	0.459114	-0.069178	0.388889	0.859767	3	17	40.34	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0038	control-v1-0038	pos-es-pba-9183	positive	ES	Castro de Marmancón/Castro de Papoi	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0038-pos-es-pba-9183.png	512	512	0.492779	0.142615	5.040850	0.000000	0.000011	0.306271	0.386341	0.317604	0.284599	1.115968	0.822081	0.135205	0.146250	0.924478	0.450868	0.499418	-0.048550	0.611111	0.724260	9	17	34.89	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0039	control-v1-0039	pos-es-pba-9894	positive	ES	Castro de Punta Sardiñeiro	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0039-pos-es-pba-9894.png	512	512	0.309764	0.117426	4.227708	0.000000	0.000000	0.164880	0.280493	0.202859	0.130266	1.557275	0.723226	0.137729	0.092791	1.484305	0.365132	0.280134	0.084998	0.722222	0.643035	8	17	65.93	strong_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_strong	exclude_until_independent_label_review	ok	
thumb-v1-0040	control-v1-0040	pos-es-pba-11754	positive	ES	Castro de San Amaro	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0040-pos-es-pba-11754.png	512	512	0.540426	0.125903	4.811959	0.000000	0.000000	0.159381	0.131651	0.104960	0.152345	0.688968	0.797261	0.099227	0.115322	0.860435	0.563552	0.553043	0.010509	0.472222	0.592258	17	17	14.42	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0041	control-v1-0041	pos-es-pba-12763	positive	ES	Castro de Entretorres/Castro de Punta Galeana	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0041-pos-es-pba-12763.png	512	512	0.516305	0.163730	5.276540	0.000000	0.004616	0.304045	0.172205	0.389749	0.324291	1.201852	2.263285	0.158780	0.177009	0.897018	0.592748	0.519150	0.073598	0.638889	0.744012	1	17	66.98	strong_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_strong	exclude_until_independent_label_review	ok	
thumb-v1-0042	control-v1-0042	pos-es-pba-12426	positive	ES	Castro de Marrás/O Convento	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0042-pos-es-pba-12426.png	512	512	0.372201	0.116904	4.793794	0.000000	0.000000	0.298296	0.233908	0.317068	0.315634	1.004541	1.355521	0.112746	0.126235	0.893144	0.378772	0.371152	0.007620	0.444444	0.711978	4	17	27.73	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0043	control-v1-0043	pos-es-pba-13836	positive	ES	Casa reitoral de Santa María de Castro	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0043-pos-es-pba-13836.png	512	512	0.503927	0.148553	5.193078	0.000000	0.000015	0.405641	0.477040	0.445779	0.379575	1.174416	0.934468	0.143930	0.142269	1.011674	0.534203	0.500444	0.033759	0.638889	0.775284	10	17	41.17	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0044	control-v1-0044	pos-es-pba-14517	positive	ES	Casa reitoral de Santa María de Castro	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0044-pos-es-pba-14517.png	512	512	0.525382	0.137385	4.989058	0.000000	0.000069	0.340997	0.318030	0.324416	0.357863	0.906539	1.020081	0.131297	0.136101	0.964700	0.522311	0.522107	0.000204	0.500000	0.738419	12	17	19.92	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0045	control-v1-0045	pos-es-pba-14227	positive	ES	Castro de Guimaráns/Alto dos Castros	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0045-pos-es-pba-14227.png	512	512	0.310527	0.089780	4.410107	0.000000	0.000004	0.269548	0.272040	0.276432	0.266320	1.037967	1.016143	0.081422	0.090341	0.901273	0.286039	0.320993	-0.034953	0.166667	0.835913	8	17	25.56	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0046	control-v1-0046	pos-es-pba-16735	positive	ES	Casa reitoral de Santa María de Castrofeito	coastal_promontory_hint		150.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0046-pos-es-pba-16735.png	512	512	0.479224	0.144292	5.095899	0.000000	0.000000	0.236052	0.221871	0.190704	0.256866	0.742426	0.859528	0.103011	0.156386	0.658700	0.551046	0.467396	0.083650	0.194444	0.645258	17	17	9.95	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
