site_id	primary_name	municipality	dataset_use	split	lat_wgs84	lon_wgs84	notes
tra-ferrol-ga15036001	Castro de Lobariz / Lobadiz	Ferrol	train_positive_candidate	train	43.66075514	-8.09129918	catálogo Ferrol; otros nombres Punta do Castro | Presente en lista clásica Pena/Calaméo nº 1. | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-ferrol-ga15036002	Castro de Tralocastro / Esmelle	Ferrol	train_positive_candidate	train	43.53191997	-8.26729807	catálogo Ferrol | Presente en lista clásica Pena/Calaméo nº 5. | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-ferrol-ga15036003	Castro de Marmancón / Papoi	Ferrol	train_positive_candidate	train	43.53979889	-8.24894103	catálogo Ferrol; otros nombres Castro de Papoi | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-ferrol-ga15036004	Monte do Castro / Castro de Vilela	Ferrol	train_positive_candidate	train	43.52436600	-8.24006400	catálogo Ferrol; OCR lee Vuela/Vilela | Presente en lista clásica Pena/Calaméo nº 7. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-ferrol-ga15036005	Os Castros de Mandiá	Ferrol	train_positive_candidate	train	43.51457186	-8.23112044	catálogo Ferrol
tra-ferrol-ga15036007	Castro de Santa Cecilia	Ferrol	train_positive_candidate	train	43.51114054	-8.19999608	catálogo Ferrol | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-ferrol-ga15036008	Castro de Vilasanche	Ferrol	train_positive_candidate	train	43.50009000	-8.26323300	catálogo Ferrol | Presente en lista clásica Pena/Calaméo nº 8. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-ferrol-ga15036009	A Croa / Castro da Croa de Fontá	Ferrol	positive_damaged_review	review_only	43.48804215	-8.30896887	catálogo Ferrol; Artabro/PG lo nombran como Croa de Fontá | Presente en lista clásica Pena/Calaméo nº 2. | Presente en lista clásica Pena/Calaméo nº 10. | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-ferrol-ga15036010	Coto dos Mouros / Castro de Vilabuíde	Ferrol	train_positive_candidate	train	43.49387984	-8.27676091	catálogo Ferrol; otros nombres Castelo dos Mouros/Castro de Vilabuíde | Presente en lista clásica Pena/Calaméo nº 3. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-ferrol-ga15036011	Castro de Santa Mariña / Casal dos Ovos	Ferrol	positive_damaged_review	review_only	43.49749092	-8.22509083	catálogo Ferrol | otros yacimientos documentados; posible equivalencia con Santa Mariña/Casal dos Ovos, revisar | Presente en lista clásica Pena/Calaméo nº 12. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-ferrol-ga15036012	Castro de Ferrol Vello	Ferrol	positive_damaged_review	review_only	43.47824913	-8.24286851	otros yacimientos documentados | Presente en lista clásica Pena/Calaméo nº 11. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-ferrol-ga15036014	Necrópolis de Santa Comba	Ferrol	train_positive_candidate	train	43.56033873	-8.28390598	el catálogo la tipa como castro/asentamiento fortificado y necrópolis | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-ferrol-o-xeixo	Castro de O Xeixo	Ferrol	needs_geocoding	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-ferrol-papoy	Castro de Papoy	Ferrol	needs_geocoding	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-ferrol-ref15036002	Pico de Ouro	Ferrol	review_only	review_only	43.51372366	-8.24948788	referencia del catálogo, no código GA
tra-ferrol-ref15036004	Castro de Arbosa	Ferrol	review_only	review_only	43.52437454	-8.32338843	referencia del catálogo, no código GA
tra-ferrol-ri-000007172	Castro da Croa de Leixa	Ferrol	review_only	review_only	43.52267864	-8.20805344	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-ri-000009062	Castro da Ermida	Ferrol	review_only	review_only	43.53361562	-8.10408029	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-ri-000015019	Castro de Crecente	Ferrol	review_only	review_only	43.59596363	-8.09338364	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-ri-000015021	Castro de Lodeiro	Ferrol	review_only	review_only	43.57592912	-8.16994461	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-ri-000015057	Castro do Rodo	Ferrol	review_only	review_only	43.64349750	-8.11020646	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-naron-castro-de-bicas	Castro de Bicás	Narón	review_only	review_only	43.53444400	-8.15873600	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-naron-castro-de-s-mateo	Castro de S. Mateo	Narón	review_only	review_only	43.54388900	-8.22250000	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-naron-castro-de-san-estevo	Castro de San Estevo	Narón	review_only	review_only	43.55031420	-8.13611070	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-naron-castro-de-sedes	Castro de Sedes	Narón	review_only	review_only	43.55106900	-8.13358600	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-naron-castro-de-sta-maria	Castro de Sta. María	Narón	review_only	review_only	43.54472200	-8.17833300	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-naron-ga15054001	X-39 Monte do Castro	Narón	positive_o_val_holdout	test_o_val	43.56700474	-8.22045693	
tra-naron-ga15054002	X-41 Castro de Quintá	Narón	positive_o_val_holdout	test_o_val	43.55278979	-8.21426440	Presente en lista clásica Pena/Calaméo nº 14. | 4 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
tra-naron-ga15054003	X-14 Castro de San Mateo	Narón	test_positive_candidate	test	43.54375029	-8.22226682	Presente en lista clásica Pena/Calaméo nº 15. | 2 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
tra-naron-ga15054004	X-40 Castro de Santa María	Narón	test_positive_candidate	test	43.54459412	-8.17813899	
tra-naron-ga15054005	X-10 Castro de Eiravedra	Narón	test_positive_candidate	test	43.55129878	-8.13376509	Presente en lista clásica Pena/Calaméo nº 18. | 3 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
tra-naron-ga15054006	X-09 Castro de Couto / O Petouzal	Narón	test_positive_candidate	test	43.50171132	-8.17873332	3 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
tra-naron-ga15054007	X-11 Castro de Sequeiro	Narón	test_positive_candidate	test	43.53362484	-8.17284242	Presente en lista clásica Pena/Calaméo nº 16. | 4 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
tra-naron-ga15054009	X-15 Castro de Vicás	Narón	test_positive_candidate	test	43.53438585	-8.15867341	Presente en lista clásica Pena/Calaméo nº 19. | 2 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
tra-naron-ga15054010	X-04 Castro da Ermida	Narón	test_positive_candidate	test	43.53370200	-8.10421499	Presente en lista clásica Pena/Calaméo nº 20. | 3 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
tra-naron-ga15054015	X-12 Castro de Pena Lopesa	Narón	positive_damaged_review	review_only	43.57709161	-8.22608591	Presente en lista clásica Pena/Calaméo nº 25. | 4 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
tra-naron-ga15054037	X-07 Castro de A Pedreira	Narón	positive_o_val_holdout	test_o_val	43.56080566	-8.22912986	4 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
tra-naron-o-castro	O Castro	Narón	positive_damaged_review	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial. | Presente en lista clásica Pena/Calaméo nº 22.
tra-naron-to15054003	X-08 Castro de Abaixo	Narón	review_only	review_only	43.52383309	-8.10647703	en PXOM como toponímico/castro; revisar código
tra-naron-vilasuso	Castro de Vilasuso	Narón	positive_o_val_holdout	test_o_val	43.56705213	-8.22056326	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial. | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-naron-x-05-castro-da-pereiruga	X-05 Castro da Pereiruga	Narón	test_positive_candidate	test	43.54320222	-8.11938616	Presente en lista clásica Pena/Calaméo nº 24. | 3 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
tra-naron-x-06-castro-da-revolta	X-06 Castro da Revolta	Narón	test_positive_candidate	test	43.53927232	-8.15707067	Presente en lista clásica Pena/Calaméo nº 17. | 3 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
tra-naron-x-48-castro-do-ramo	X-48 Castro do Ramo	Narón	test_positive_candidate	test	43.51985078	-8.10386314	en trámite según índice PXOM
tra-naron-x-50-cercado-neolitico-da-lagoa-pena-grande	X-50 Cercado neolítico da Lagoa / Pena Grande	Narón	review_only	review_only	43.55349236	-8.23824835	Pena Grande/Lagoa: no usar como positivo hasta resolver castro vs cercado neolítico. | no tratar automáticamente como castro; caso conflictivo | 2 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
tra-neda-castro-de-ancos	Castro de Ancos	Neda	train_positive_candidate	train	43.52196000	-8.14037000	catálogo NNSS Neda, ficha 42 | Presente en lista clásica Pena/Calaméo nº 46.
tra-neda-castro-de-viladonelle	Castro de Viladonelle	Neda	train_positive_candidate	train	43.48519520	-8.12008030	catálogo NNSS Neda, ficha 43 | Presente en lista clásica Pena/Calaméo nº 47.
tra-neda-castros	Castros	Neda	needs_geocoding	review_only			Plan Sectorial 2014, TOP15055002; topónimo/yacimiento a comprobar
tra-neda-ga150554006	Castro do Petouzal	Neda	review_only	review_only	43.50140574	-8.17839894	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-neda-monte-de-rabadena	Monte de Rabadeña	Neda	needs_geocoding	review_only			Plan Sectorial 2014, clave GA15055005; no sustituye al catálogo completo
tra-neda-santa-maria-de-neda	Castro de Santa María de Neda	Neda	positive_damaged_review	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-san-sadurnino-a-croa-naraio	A Croa / Naraío	San Sadurniño	review_only	review_only			posible castro/topónimo bajo lectura muy débil; confirmar
tra-san-sadurnino-castro-da-croa-do-redo	Castro da Croa do Redo	San Sadurniño	val_positive_candidate	val	43.54679590	-8.03469410	OCR lee Retío; Fálame/Galipedia leen Redo | Presente en lista clásica Pena/Calaméo nº 73. | parte del sistema de cinco castros del Val do Xuvia
tra-san-sadurnino-castro-da-croa-ou-castro-de-rupiallo	Castro da Croa ou Castro de Rupiallo	San Sadurniño	val_positive_candidate	val	43.53704092	-8.08040294	catálogo NNSS San Sadurniño | flanco suroeste del sistema; junto a A Portela | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-san-sadurnino-castro-das-croas	Castro das Croas	San Sadurniño	needs_geocoding	review_only			equivalente probable al Castro de San Sadurniño | Presente en lista clásica Pena/Calaméo nº 68.
tra-san-sadurnino-castro-de-castrelo	Castro de Castrelo	San Sadurniño	val_positive_candidate	val	43.58368750	-8.07517670	catálogo NNSS San Sadurniño | Presente en lista clásica Pena/Calaméo nº 69. | Presente en lista clásica Pena/Calaméo nº 70. | apoyo norte; deteriorado; fuente en Fálame y Ateneo 1987 | solo pista nominal Galipedia/O Noso Patrimonio; confirmar
tra-san-sadurnino-castro-de-croas-de-ramil	Castro de Croas de Ramil	San Sadurniño	val_positive_candidate	val	43.54115390	-8.04215600	catálogo NNSS San Sadurniño | Presente en lista clásica Pena/Calaméo nº 72. | flanco sureste del sistema según Fálame
tra-san-sadurnino-castro-de-riboira	Castro de Riboira	San Sadurniño	val_positive_candidate	val	43.54346474	-8.05528846	catálogo NNSS San Sadurniño | Presente en lista clásica Pena/Calaméo nº 67. | parte del sistema de cinco castros del Val do Xuvia | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-san-sadurnino-coto-da-croa-ou-a-croa-do-castro	Coto da Croa ou A Croa do Castro	San Sadurniño	needs_geocoding	review_only			catálogo NNSS San Sadurniño | solo pista nominal O Noso Patrimonio; confirmar
tra-san-sadurnino-coto-da-croa-ou-a-croa-do-castro-2	Coto da Croa ou A Croa do Castro	San Sadurniño	val_positive_candidate	val	43.57785460	-8.03303110	posible Escoitadoira/A Croa do Castro; distinguir de Bardaos
tra-san-sadurnino-cruceiro-do-castro-de-cores	Cruceiro do Castro de Cores	San Sadurniño	review_only	review_only	43.27205992	-8.87574911	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-san-sadurnino-fervenza-do-rio-castro	Fervenza do río Castro	San Sadurniño	review_only	review_only	43.49401840	-8.06102514	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-san-sadurnino-fraga	Castro de Fraga	San Sadurniño	needs_geocoding	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-san-sadurnino-ga15076004	Escoitadoira	San Sadurniño	review_only	review_only			apoyo norte; vigilancia/control visual; deteriorado por eucaliptos y silvas
tra-san-sadurnino-ga15076005	Bardaos	San Sadurniño	review_only	review_only			apoyo norte; topónimos Castro, Croa, Muíño do Castro; posible centro agrogandeiro
tra-san-sadurnino-ga15076006	Castro de San Sadurniño	San Sadurniño	review_only	review_only	43.54346750	-8.06533830	central del sistema del Val do Xuvia; torque de oro, fíbulas, cerámica, muros; tradición Loureana
tra-san-sadurnino-o-picho	O Picho	San Sadurniño	review_only	review_only			solo lista nominal débil
tra-san-sadurnino-san-cristobal	Castro de San Cristóbal	San Sadurniño	needs_geocoding	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-san-sadurnino-tralocastro	Tralocastro	San Sadurniño	positive_damaged_review	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-valdovino-as-filgueiras	Castro de As Filgueiras	Valdoviño	needs_geocoding	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-valdovino-castro-de-punta-castrelo	Castro de Punta Castrelo	Valdoviño	review_only	review_only	43.66066100	-8.09130700	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-valdovino-castro-de-punta-do-bico	Castro de Punta do Bico	Valdoviño	review_only	review_only	43.62250000	-8.14770000	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-valdovino-castro-de-rodo	Castro de Rodo	Valdoviño	review_only	review_only	43.64416600	-8.11055500	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-valdovino-castro-de-santo-tomas	Castro de Santo Tomás	Valdoviño	review_only	review_only	43.59203000	-8.18717000	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-valdovino-castro-de-villarrube	Castro de Villarrube	Valdoviño	review_only	review_only	43.62611100	-8.06611100	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-valdovino-fradigas	Castro de Frádigas	Valdoviño	review_only	review_only	43.63694400	-8.08694400	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-valdovino-ga15087001	Castro de Punta Taraza	Valdoviño	train_positive_candidate	train	43.60166600	-8.19888800	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 52. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-valdovino-ga15087002	O Castrillón	Valdoviño	train_positive_candidate	train	43.57555500	-8.19638800	tabla ID_IPAGA 2021 | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-valdovino-ga15087003	Castro de Coto Redondo	Valdoviño	needs_geocoding	review_only			tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 53.
tra-valdovino-ga15087004	Castro de Lagoa	Valdoviño	train_positive_candidate	train	43.63166600	-8.11944400	tabla ID_IPAGA 2021 | 4 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-valdovino-ga15087005	Os Castros	Valdoviño	train_positive_candidate	train	43.63972200	-8.09361100	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 55. | 4 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-valdovino-ga15087006	Castro de Vilarrube / Os Castros de Ferreirías	Valdoviño	train_positive_candidate	train	43.62602800	-8.06598600	tabla ID_IPAGA 2021
tra-valdovino-ga15087007	Castro de Casianes	Valdoviño	positive_damaged_review	review_only	43.63416600	-8.09888800	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 54. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-valdovino-ga15087008	Castro	Valdoviño	positive_damaged_review	review_only			tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 58. | Presente en lista clásica Pena/Calaméo nº 60. | Presente en lista clásica Pena/Calaméo nº 63.
tra-valdovino-ga15087009	Castro de Punta Frouxeira	Valdoviño	train_positive_candidate	train	43.61851000	-8.14900400	tabla ID_IPAGA 2021 | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-valdovino-ga15087010	Castro de Poulo	Valdoviño	train_positive_candidate	train	43.60416500	-8.14277800	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 51. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-valdovino-ga15087011	O Castro	Valdoviño	needs_geocoding	review_only			tabla ID_IPAGA 2021
tra-valdovino-ga15087012	Castro de Aviño	Valdoviño	needs_geocoding	review_only			tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 49.
tra-valdovino-ga15087013	Castro de Crecente	Valdoviño	train_positive_candidate	train	43.59638800	-8.09333300	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 50. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-valdovino-ga15087014	Castro de Vidueiros	Valdoviño	train_positive_candidate	train	43.59805500	-8.04805500	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 56. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-valdovino-ga15087015	Castro de Lodeiro	Valdoviño	train_positive_candidate	train	43.57591800	-8.17005600	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 57. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-valdovino-ga15087016	Castro de Carreira de Abaixo	Valdoviño	train_positive_candidate	train	43.55722200	-8.17555500	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 64. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-valdovino-ga15087017	Puerto de Meirás	Valdoviño	needs_geocoding	review_only			tabla ID_IPAGA 2021
tra-valdovino-ga15087020	Zona arqueológica de la Iglesia y Castro Sto. Tomás de Taraza	Valdoviño	train_positive_candidate	train	43.59222200	-8.18750000	tabla ID_IPAGA 2021
tra-valdovino-ga15087022	Castro de Punta do Vico	Valdoviño	needs_geocoding	review_only			tabla ID_IPAGA 2021
tra-valdovino-ga15087023	Castro y Mina do Pereiro	Valdoviño	positive_damaged_review	review_only	43.61856900	-8.13495200	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 62. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-valdovino-ga15087024	Castro de Lousada	Valdoviño	train_positive_candidate	train	43.61918876	-8.08928626	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 65. | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-valdovino-ga15087032	O Foro	Valdoviño	train_positive_candidate	train	43.58416600	-8.13305500	tabla ID_IPAGA 2021 | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
tra-valdovino-praia-frouxeira	Castro de Praia Frouxeira	Valdoviño	needs_geocoding	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
