bank_id	country	region	province_or_district	municipality	parish	place	name	source	source_quality	source_url	record_url	source_record_id	source_code	typology	generic_type	periods	longitude	latitude	coord_precision	negative_type	negative_confidence	review_priority	review_reason	training_use	generated_at
neg-es-pba-1521	ES	Galicia	A Coruña	A Baña	San Cibrán de Barcala (San Cibrán)	Tarroeira, A	Mámoa de Tarroeira 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	80	1521	GA15007080		-		-8.747560859653682	42.937034078265896	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1550	ES	Galicia	A Coruña	A Baña	San Cibrán de Barcala (San Cibrán)	Tarroeira, A	Mámoa de Tarroeira 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	81	1550	GA15007081		-		-8.747608010658492	42.936268741573286	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1551	ES	Galicia	A Coruña	A Baña	Lañas (Santa Baia)	Valiña	Mámoa de Turrisqueira	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	66	1551	GA15007066		-		-8.697031999790706	42.95335805340694	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1552	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Bafaduira	Mámoa de Ventureira 3	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	47	1552	GA15007047		-		-8.818264943406977	42.99356193822312	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1553	ES	Galicia	A Coruña	A Baña	Suevos (San Mamede)	Faílde, O	Mámoa de Vilar 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	18	1553	GA15007018		-		-8.747258151540478	42.994696180893726	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1554	ES	Galicia	A Coruña	A Baña	Suevos (San Mamede)	Faílde, O	Mámoa de Vilar 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	19	1554	GA15007019		-		-8.746810178240365	42.99409502838644	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1555	ES	Galicia	A Coruña	A Baña	Suevos (San Mamede)	Liñares	Mámoa do Agro dos Méndez	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	27	1555	GA15007027		-		-8.78678729459958	42.980750472106706	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1556	ES	Galicia	A Coruña	A Baña	Barcala (San Xoán)	Emes	Mámoa do Alto de Emes 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	58	1556	GA15007058		-		-8.763235615214672	42.9437067067453	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1557	ES	Galicia	A Coruña	A Baña	Barcala (San Xoán)	Emes	Mámoa do Alto de Emes 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	59	1557	GA15007059		-		-8.762925664612112	42.943519922906894	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1017	ES	Galicia	A Coruña	A Baña	Marcelle (Santa Cristina)	Outeiro	Mámoa do Campo Redondo	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	24	1017	GA15007024		-		-8.736837391901027	42.98644219973902	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1558	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Carballeira, A	Mámoa do Campo da Feira 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	40	1558	GA15007040		-		-8.80253219149385	42.978642024300484	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1011	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Carballeira, A	Mámoa do Campo da Feira 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	41	1011	GA15007041		-		-8.802383320794284	42.97823381289309	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1012	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Carballeira, A	Mámoa do Campo da Feira 3	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	42	1012	GA15007042		-		-8.801667264713874	42.97867445839568	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
