review_seed_id	review_role	class_hint	bank_id	country	region	province_or_district	municipality	parish	place	name	source	source_quality	source_url	record_url	source_record_id	source_code	typology	generic_type	periods	longitude	latitude	coord_precision	positive_confidence	morphology_proxy	terrain_context_proxy	proxy_tags	review_priority	review_reason	training_use	generated_at	negative_type	negative_confidence
review-pos-0011	positive	castro_candidate	pos-es-pba-11223	ES	Galicia	A Coruña	A Laracha	Montemaior (Santa María Madanela)	Pena, A	Castro da Pena/O Petón	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA-15041016	11223	GA15041016		-		-8.576713561026166	43.18284946716882	catalogue_point_wgs84	medium_official_name_or_type	hilltop_hint	hilltop_or_ridge_proxy	hilltop_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0012	positive	castro_candidate	pos-es-pba-25736	ES	Galicia	A Coruña	Vimianzo	Castrelo (San Martiño)	Lavandeira	Igrexa Vella (Citania de Vilaseco)/Castro de Lavandeira	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	PHA 20	25736	GA15092020		-		-9.05893610466568	43.06097394141789	catalogue_point_wgs84	medium_official_name_or_type	large_castrexo_civitas_hint	unknown_terrain_pending_visual_review	large_castrexo_civitas_hint	P0	High-diversity morphology proxy for early QGIS review.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0013	positive	castro_candidate	pos-es-pba-20614	ES	Galicia	A Coruña	Rois	Ribasar (Santa María)	Angueira de Castro	Castro Lupario	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA15074002	20614	GA15074002	Castro	-		-8.631749241499511	42.814394474952714	catalogue_point_wgs84	high_official_typology	valley_or_river_edge_hint	valley_or_river_edge_proxy	valley_or_river_edge_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0014	positive	castro_candidate	pos-es-pba-13019	ES	Galicia	A Coruña	A Laracha	Cabovilaño (San Román)	Forxa, A	Os Castros/O Petón do Castro/Castro de Riotorto	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA-15041004	13019	GA15041004		-		-8.599982770595988	43.25882475082304	catalogue_point_wgs84	medium_official_name_or_type	valley_or_river_edge_hint	valley_or_river_edge_proxy	valley_or_river_edge_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0015	positive	castro_candidate	pos-es-pba-44142	ES	Galicia	Lugo	Burela	Burela (Santa María)	Burela	Castro de Castrelo	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	104	44142	GA27902004	Castro	-		-7.355782225509024	43.657167227820416	catalogue_point_wgs84	high_official_typology	castrel_toponym_hint	unknown_terrain_pending_visual_review	castrel_toponym_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0016	positive	castro_candidate	pos-es-pba-31074	ES	Galicia	Lugo	A Fonsagrada	A Veiga de Logares (Santa María)	Dradas	O Castrillón	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA27018136	31074	GA27018136		-		-7.108959594359714	43.24390636711781	catalogue_point_wgs84	medium_official_name_or_type	castrel_toponym_hint	unknown_terrain_pending_visual_review	castrel_toponym_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0017	positive	castro_candidate	pos-es-pba-30753	ES	Galicia	Lugo	A Fonsagrada	San Martín de Arroxo (San Martín)	Castro de Arroxo	Castro de Marful	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA27018159	30753	GA27018159	Castro	-		-7.0354713797358555	43.050779964847315	catalogue_point_wgs84	high_official_typology	coastal_promontory_hint	coastal_or_promontory_proxy	coastal_promontory_hint	P0	High-diversity morphology proxy for early QGIS review.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0018	positive	castro_candidate	pos-es-pba-38499	ES	Galicia	Lugo	A Pobra do Brollón	Castrosante (Santa Mariña)	Castrosante	Igrexa de Castrosante (Parroquial de Santa Mariña)	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	-	38499	-	Igrexa	-		-7.403919758714463	42.57803895498548	catalogue_point_wgs84	medium_official_name_or_type	coastal_promontory_hint	coastal_or_promontory_proxy	coastal_promontory_hint	P0	High-diversity morphology proxy for early QGIS review.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0019	positive	castro_candidate	pos-es-pba-36807	ES	Galicia	Lugo	A Pastoriza	San Cosme de Piñeiro (San Cosme)	O Curro	Castro de Curro/A Croa	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA27044006	36807	GA27044006	Castro	-		-7.304901024267309	43.24838261142126	catalogue_point_wgs84	high_official_typology	croa_top_ring_hint	hilltop_or_ridge_proxy	croa_top_ring_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0020	positive	castro_candidate	pos-es-pba-29035	ES	Galicia	Lugo	A Fonsagrada	Freixo (San Xulián)	Ferreira de Abaixo	A Coroa do Castro	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA27018045	29035	GA27018045		-		-7.132206803648123	43.04436608312339	catalogue_point_wgs84	medium_official_name_or_type	croa_top_ring_hint	hilltop_or_ridge_proxy	croa_top_ring_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0021	positive	castro_candidate	pos-es-pba-29296	ES	Galicia	Lugo	Chantada	San Salvador de Asma (San Salvador)	Santo Estevo	Os Castros	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	CAS01	29296	GA27016047	Asentamento fortificado/defensivo	-		-7.763742030371587	42.59765240791933	catalogue_point_wgs84	medium_official_name_or_type	earthwork_or_wall_hint	unknown_terrain_pending_visual_review	earthwork_or_wall_hint	P0	High-diversity morphology proxy for early QGIS review.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0022	positive	castro_candidate	pos-es-pba-30749	ES	Galicia	Lugo	A Fonsagrada	Maderne (San Pedro)	Silvachá	Castro da Castañosa	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA27018280	30749	GA27018280	Castro	-		-7.135446104758093	43.171541662207744	catalogue_point_wgs84	high_official_typology	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0023	positive	castro_candidate	pos-es-pba-31176	ES	Galicia	Lugo	A Fonsagrada	Cuíñas (San Cristovo)	Castro	Capela de San Xoán Degolado en Castro	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	-	31176	-		-		-7.077247456700112	43.105493302301895	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0024	positive	castro_candidate	pos-es-pba-31188	ES	Galicia	Lugo	A Fonsagrada	A Allonca (Santa María)	Vilarello	Penas do Castro	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA27018018	31188	GA27018018	Castro	-		-6.993353123067239	43.190443862981404	catalogue_point_wgs84	high_official_typology	hilltop_hint	hilltop_or_ridge_proxy	hilltop_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0025	positive	castro_candidate	pos-es-pba-31156	ES	Galicia	Lugo	A Fonsagrada	San Martín de Suarna (San Martín)	Llencias	Pena do Castro	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA27018222	31156	GA27018222		-		-7.037521505980302	43.126393160429394	catalogue_point_wgs84	medium_official_name_or_type	hilltop_hint	hilltop_or_ridge_proxy	hilltop_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0026	positive	castro_candidate	pos-es-pba-41533	ES	Galicia	Lugo	Sober	Bolmente (Santa María)	Miradoiro do Cotarro 1	Castro da Cividade	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	204	41533	GA27059047	Castro	-		-7.614104336551358	42.39118762141284	catalogue_point_wgs84	high_official_typology	large_castrexo_civitas_hint	unknown_terrain_pending_visual_review	large_castrexo_civitas_hint	P0	High-diversity morphology proxy for early QGIS review.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0027	positive	castro_candidate	pos-es-pba-28721	ES	Galicia	Lugo	Baleira	A Esperela (San Pedro)	Castro de Valdería, O	Castro de Valdería	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	-	28721	GA27004011	Castro	-		-7.242662486302402	43.00010892231078	catalogue_point_wgs84	high_official_typology	valley_or_river_edge_hint	valley_or_river_edge_proxy	valley_or_river_edge_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0028	positive	castro_candidate	pos-es-pba-26889	ES	Galicia	Lugo	Abadín	Castromaior (San Xoán)	Barral, O	Cemiterio de Castromaior	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	1-02	26889	-		-		-7.544072767570134	43.34493846557691	catalogue_point_wgs84	medium_official_name_or_type	valley_or_river_edge_hint	valley_or_river_edge_proxy	valley_or_river_edge_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0029	positive	castro_candidate	pos-es-pba-53027	ES	Galicia	Ourense	A Merca	San Vitoiro da Mezquita (San Vitoiro)	Castro, O	Castro de Monte Castrelo/Castro de Cima de Vila	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	94	53027	GA32047011		-		-7.863194981984811	42.221777408529704	catalogue_point_wgs84	medium_official_name_or_type	castrel_toponym_hint	hilltop_or_ridge_proxy	castrel_toponym_hint;hilltop_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0030	positive	castro_candidate	pos-es-pba-56699	ES	Galicia	Ourense	Rubiá	Quereño (San Cristovo)	Quereño	Castro de Villabarbás	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA32073009	56699	GA32073009	Castro	-		-6.832413251247085	42.41266548727383	catalogue_point_wgs84	high_official_typology	coastal_promontory_hint	coastal_or_promontory_proxy	coastal_promontory_hint	P0	High-diversity morphology proxy for early QGIS review.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0031	positive	castro_candidate	pos-es-pba-53029	ES	Galicia	Ourense	A Merca	A Mezquita (San Pedro)	Compostela	Castro do Outeiro de San Marcos	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	86	53029	GA32047003		-		-7.869954167077398	42.22526443281915	catalogue_point_wgs84	medium_official_name_or_type	coastal_promontory_hint	coastal_or_promontory_proxy	coastal_promontory_hint;hilltop_hint	P0	High-diversity morphology proxy for early QGIS review.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0032	positive	castro_candidate	pos-es-pba-56166	ES	Galicia	Ourense	A Peroxa	Beacán (Santa María)	Santa Baia	Castro da Coroa de Santa Baia	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	CPA-03	56166	GA32059005	Castro	-		-7.745980610179959	42.44461688480813	catalogue_point_wgs84	high_official_typology	croa_top_ring_hint	hilltop_or_ridge_proxy	croa_top_ring_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0033	positive	castro_candidate	pos-es-pba-56165	ES	Galicia	Ourense	A Peroxa	San Xes (San Xes)	Redondelle	Castro da Coroa	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA32059002	56165	GA32059002		-		-7.814639776963249	42.429162529056505	catalogue_point_wgs84	medium_official_name_or_type	croa_top_ring_hint	hilltop_or_ridge_proxy	croa_top_ring_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0034	positive	castro_candidate	pos-es-pba-45973	ES	Galicia	Ourense	Boborás	Feás (Santo Antón)	Vilachá	Castro de Meimón	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	-	45973	GA32013050	Asentamento fortificado/defensivo	-		-8.188505401555636	42.427078731423826	catalogue_point_wgs84	medium_official_name_or_type	earthwork_or_wall_hint	unknown_terrain_pending_visual_review	earthwork_or_wall_hint	P0	High-diversity morphology proxy for early QGIS review.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0035	positive	castro_candidate	pos-es-pba-50548	ES	Galicia	Ourense	A Gudiña	O Tameirón (Santa María)	Tameirón, O	A Corbiza	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	A-9	50548	GA32034008	Castro	-		-7.089206796172843	42.0135825665802	catalogue_point_wgs84	high_official_typology	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0036	positive	castro_candidate	pos-es-pba-43801	ES	Galicia	Ourense	A Arnoia	A Arnoia (San Salvador)	Rial, O	Casa de Castro	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	10-6	43801	-		-		-8.12660565020516	42.24112634327623	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0037	positive	castro_candidate	pos-es-pba-48879	ES	Galicia	Ourense	Celanova	Celanova (San Rosendo)	Carreira, A	Castro de Monte Redondo	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	-	48879	GA32024022	Castro	-		-7.966011493000735	42.1422175584613	catalogue_point_wgs84	high_official_typology	hilltop_hint	hilltop_or_ridge_proxy	hilltop_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0038	positive	castro_candidate	pos-es-pba-43636	ES	Galicia	Ourense	A Arnoia	A Arnoia (San Salvador)	Carnós	Castro do Coto da Cidá	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA32003001	43636	GA32003001		-		-8.126959542127448	42.25082209687798	catalogue_point_wgs84	medium_official_name_or_type	hilltop_hint	hilltop_or_ridge_proxy	hilltop_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0039	positive	castro_candidate	pos-es-pba-52266	ES	Galicia	Ourense	Monterrei	Oímbra (Santa María)	Vilaza	Castelo das Chás/Citania das Laxes das Chás/A Cerca/Castro de Lobarz n	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA32053009	52266	GA32053009		-		-7.493169829647384	41.91688551511041	catalogue_point_wgs84	medium_official_name_or_type	large_castrexo_civitas_hint	unknown_terrain_pending_visual_review	large_castrexo_civitas_hint	P0	High-diversity morphology proxy for early QGIS review.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0040	positive	castro_candidate	pos-es-pba-50677	ES	Galicia	Ourense	A Gudiña	A Gudiña (San Martiño e San Pedro)	Gudiña, A	Castro da Ribeira	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	A-2	50677	GA32034001	Castro	-		-7.138494412784023	42.048688898919174	catalogue_point_wgs84	high_official_typology	valley_or_river_edge_hint	valley_or_river_edge_proxy	valley_or_river_edge_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0041	positive	castro_candidate	pos-es-pba-52892	ES	Galicia	Ourense	A Mezquita	A Mezquita (San Martiño)	Mezquita, A	Castro da Torre da Pousa/O Carballerego	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	-	52892	GA32048006		-		-7.03486892970278	41.993049217749885	catalogue_point_wgs84	medium_official_name_or_type	valley_or_river_edge_hint	valley_or_river_edge_proxy	valley_or_river_edge_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
